Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	187.90593	119.79133	300.0	-230.18178	71.68301	35.636963	112.0	-12.390406	234.35294	91.9	3999	6.116293	4.6105733	41.99506	-21.000725	-6.175649	0.1987057	19.883352279663086
2	240.99068	43.909523	300.0	152.45163	71.51316	35.246162	103.0	-12.56916	259.4	91.65	7999	18.319952	9.970111	42.517014	-41.72662	-18.377522	1.0010595	45.85367965698242
3	172.0152	115.86917	300.0	-131.2534	81.55768	38.83725	128.69858	-23.458353	252.9375	96.55	11999	28.808979	15.474862	77.84419	-57.715153	-28.830433	1.819503	69.6294322013855
4	113.93953	130.2029	300.0	-193.68445	60.209473	83.271904	154.0	-120.76209	200.25	108.8	15999	37.111866	20.40356	69.424484	-65.79283	-37.233185	2.4374063	98.13334465026855
5	137.92647	40.18293	239.0	47.73796	149.80884	58.120037	300.0	67.0	153.88461	143.5	19999	43.581417	25.001635	91.15228	-85.81169	-43.754463	3.3563507	125.91472840309143
6	178.41866	71.0917	300.0	87.0	234.9152	70.12303	305.53162	109.0	173.30435	230.8	23999	51.04776	27.46634	203.41267	-110.04046	-51.30892	4.15849	155.6690411567688
7	257.68387	65.94986	310.32773	101.17461	281.83582	53.459465	348.53214	130.47128	264.33334	286.35	27999	59.74604	28.509907	144.863	-131.80869	-60.083187	4.930287	185.8588900566101
8	200.76517	95.36649	300.0	40.513428	179.69666	84.1769	300.0	6.728201	210.1579	199.1	31999	67.95127	28.773989	139.48587	-173.6251	-68.34195	5.639968	217.01795864105225
9	163.23073	76.070595	300.0	9.887388	150.80757	85.410675	300.0	-57.794735	176.13637	183.25	35999	75.0973	29.074028	140.18706	-213.83287	-75.57795	7.3602843	246.87965869903564
10	177.05908	91.81566	300.0	-20.708427	224.8908	72.987854	300.0	107.18984	229.44444	268.7	39999	80.22815	29.24813	147.0465	-221.20903	-80.65386	6.9197	275.8050982952118
11	185.16061	122.03851	300.0	-74.374626	231.73172	111.60266	302.50345	-56.919586	253.375	261.4	43999	83.23474	29.310326	172.84874	-215.282	-83.6613	6.046011	305.76332998275757
12	253.32321	71.25	313.77676	83.62453	277.83133	37.538982	301.74188	154.33195	271.85715	300.0	47999	85.98293	30.088526	172.74602	-228.26828	-86.43831	5.9090924	334.22691917419434
13	294.72934	13.927491	304.9974	249.29155	299.38434	2.7434537	308.1568	294.795	300.0	300.0	51999	90.01376	31.312948	183.2424	-318.98822	-90.54628	6.639327	363.332501411438
