Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-125.49719	118.06653	129.81627	-279.2111	-33.540524	201.6829	300.0	-320.24353	123.65625	195.95	3999	-4.741864	4.788236	6.7798195	-17.785263	4.3969784	1.6746228	23.814647436141968
2	-96.44161	142.99937	140.0	-293.05893	-30.151367	179.13121	300.0	-252.88187	120.93939	197.6	7999	-8.948582	16.00577	19.604475	-39.561253	8.646559	5.227953	49.42044019699097
3	-121.5433	113.82048	123.0	-273.2477	-53.524487	159.16513	262.8162	-275.10867	120.06061	169.55	11999	-14.389253	25.525719	29.48786	-57.67771	13.84191	9.741273	79.54672050476074
4	-104.02701	130.98679	129.0	-279.71588	-94.44622	127.383354	212.4964	-241.99864	124.645164	176.7	15999	-19.01989	33.763283	36.93432	-71.89951	18.59832	14.183702	109.63052129745483
5	-96.03625	138.50925	166.0	-318.1801	-56.09007	134.81064	148.0	-277.94363	173.08696	187.4	19999	-24.612555	40.2527	42.306576	-83.71234	24.235983	17.834719	143.38100719451904
6	-36.187435	149.90508	162.0	-278.77145	-70.391525	141.09482	150.0	-244.74162	199.28572	176.65	23999	-26.267351	44.869522	46.418995	-92.85689	25.882797	19.323662	176.50631046295166
7	-28.703505	149.6971	205.0	-214.61124	-35.041656	139.03348	202.0	-239.58678	182.86363	172.1	27999	-25.562346	47.666103	49.606194	-99.14966	25.17448	18.835209	207.54519534111023
8	-52.645	148.2663	146.64198	-353.25308	18.078415	113.58158	189.89523	-171.23563	213.66667	232.55	31999	-25.176273	48.96651	51.74814	-104.09803	24.825386	17.825039	239.05418634414673
9	39.729046	118.96125	248.0	-141.06294	-15.920492	128.69151	242.0	-261.1893	195.4762	231.65	35999	-23.325047	50.09479	53.78057	-107.89795	22.959105	17.48719	272.0754904747009
10	-28.062904	137.15886	165.59653	-242.4852	-26.002506	136.47824	236.0	-242.0237	184.71428	190.2	39999	-20.335485	50.73987	55.26702	-111.94019	20.008226	17.550688	300.4394519329071
11	-60.57369	146.17355	190.0	-253.7746	29.530416	119.949974	216.04431	-270.17654	200.15	206.6	43999	-20.065218	51.42648	56.986324	-115.46205	19.787128	17.684925	334.6969437599182
