Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	18.93697	9.453889	32.009544	5.095946	8.973367	10.299156	34.555565	-3.352847	150.0	146.8	1099	-0.002073298	0.35423177	7.123927	-8.064719	-0.047188178	0.10090316	1.6163268089294434
2	12.917166	16.213306	40.298782	-4.5414214	11.732302	13.75344	38.606205	-11.720065	150.0	150.0	2199	0.6756314	0.85625225	5.8874507	-4.248752	-0.756733	0.02938079	7.6401143074035645
3	11.732132	11.238407	34.474335	-4.6679173	15.117922	12.689865	41.919918	1.9124386	150.0	150.0	3299	1.9419572	1.7829663	10.701072	-6.5323353	-2.1253877	0.050988965	13.65605354309082
4	15.846046	10.696107	28.61732	-0.26000172	14.943853	8.34211	36.069084	-0.6121723	150.0	150.0	4399	3.6054885	2.9157467	33.47993	-13.501192	-3.8157341	0.07799465	20.1057345867157
5	13.389783	4.866043	19.913591	3.7734973	8.421819	10.70289	41.521038	-4.0329757	150.0	144.3	5499	4.950248	3.7508588	24.585546	-5.172033	-5.19783	0.096052304	25.769142627716064
6	1.0594536	6.9973574	15.068807	-8.097632	13.322403	11.109878	37.972725	-3.7799466	139.75	143.05	6599	6.376165	4.4710374	25.261555	-0.18958004	-6.6160154	0.13964623	31.18005132675171
7	17.057962	8.9293585	32.102577	3.8353808	8.586102	8.809983	36.3696	-1.0365907	150.0	140.35	7699	8.18813	5.7440095	46.409523	0.51907194	-8.457619	0.22459863	37.01466751098633
8	12.849996	12.761939	30.515282	-6.4568048	13.761838	11.958869	39.70644	-7.3515863	144.0	146.65	8799	9.600391	6.3416433	41.22497	-1.1152627	-9.846793	0.27614295	42.75999140739441
9	18.285763	9.072466	32.421772	1.2656323	16.908388	10.024363	33.98066	0.68105346	150.0	150.0	9899	10.980504	6.571675	44.102394	0.18839937	-11.263198	0.38129142	48.382497787475586
10	16.28588	13.242174	35.63957	-11.244017	14.55398	10.807313	37.314342	-0.3070461	130.88889	143.0	10999	12.070158	6.840546	46.03212	1.0064988	-12.357426	0.42626187	53.666407108306885
11	15.188148	9.61311	33.09413	0.51729566	17.131655	12.558378	45.20469	-1.4102837	139.75	145.95	12099	12.979048	7.185926	53.73793	1.0600137	-13.244139	0.4811098	59.25400257110596
12	10.201914	9.447097	21.331884	-8.606005	15.323517	14.333919	42.711872	-27.987604	140.71428	144.2	13199	13.561377	7.6784115	50.521084	1.203563	-13.8337755	0.51648563	64.54274535179138
13	21.122387	8.091314	31.5405	9.5928335	11.995993	16.826815	33.79382	-27.615507	150.0	140.0	14299	14.156571	8.18465	58.67245	1.3625792	-14.415356	0.57496303	70.07240533828735
14	17.854343	11.450792	38.19764	4.1457157	13.679495	8.448547	35.09972	1.8975797	150.0	146.65	15399	14.3067665	8.050865	53.695366	1.8638175	-14.585121	0.46430075	76.31510806083679
15	15.200537	9.615218	33.68991	3.2120948	15.552183	10.060782	30.460564	-4.561264	150.0	150.0	16499	14.9546795	8.015077	52.325478	2.2368088	-15.248001	0.4851223	82.11441254615784
16	14.724323	5.8057046	21.867205	3.965256	7.4510827	9.491682	24.223316	-14.027816	150.0	141.4	17599	15.536396	8.137819	54.033596	2.2604284	-15.822795	0.47089723	87.22273278236389
17	12.177042	10.549584	27.473656	-5.565422	13.0288925	11.028841	35.6435	-8.337418	150.0	150.0	18699	16.570633	8.431203	57.37599	1.9625087	-16.88396	0.62467265	93.63136434555054
