Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	24.88239	9.464721	36.76056	6.8153486	18.44141	11.883897	48.014557	-3.7870235	150.0	146.9	1099	0.43644378	0.23592357	1.4415281	-2.0427225	-0.46126872	0.035993945	1.778979778289795
2	18.982737	13.144995	43.271137	2.9859085	12.183722	11.055266	32.789932	-9.856117	150.0	146.7	2199	1.0823274	0.99980855	6.414286	-3.2443364	-1.1440883	0.014554093	7.745360612869263
3	18.897285	17.949821	48.734535	-4.9281096	13.4651	16.680632	44.760807	-8.88697	150.0	147.3	3299	2.571285	2.4099698	14.514157	-5.738636	-2.7311192	0.035280336	13.744781970977783
4	22.015903	9.3064375	36.834164	8.282258	21.859318	15.515282	53.494324	-10.589177	150.0	147.05	4399	4.120491	3.8151102	22.869818	-4.69335	-4.3468165	0.07159867	19.957921028137207
5	12.191492	9.403196	25.763515	-5.401596	17.170795	10.054305	34.356163	1.791839	140.125	150.0	5499	5.8578167	4.7680774	25.998957	-4.680941	-6.114724	0.1024421	26.11178183555603
6	34.15289	8.690202	42.31536	20.897596	22.609606	10.430779	43.870506	4.6647153	150.0	150.0	6599	7.2832117	5.607422	32.50246	-4.106235	-7.53576	0.20421371	33.22912859916687
7	17.310534	16.959085	51.779316	-3.4987633	21.709812	13.625668	45.250103	-0.6417865	141.875	146.05	7699	8.433398	6.2685027	34.686996	-3.9017131	-8.700602	0.17442067	39.60157299041748
8	14.401909	8.499304	25.984665	2.5369592	26.665533	10.289441	42.332222	5.227659	150.0	150.0	8799	9.723109	6.762889	38.168846	-2.2056763	-9.988215	0.33305892	45.088812828063965
9	22.436337	7.4748354	37.869034	13.943892	20.226114	12.604332	48.864967	-0.43768087	150.0	146.1	9899	10.70337	6.976671	40.589752	-2.0444317	-10.955707	0.32197875	51.239439249038696
10	11.594597	10.94306	34.76084	-2.7931437	23.060495	12.571108	47.944527	2.5600855	139.5	150.0	10999	11.434573	7.235242	45.230957	-2.5513923	-11.723727	0.31608602	57.362277030944824
11	21.37175	8.974455	32.35954	3.4362059	23.768944	8.087142	37.298122	9.873317	150.0	150.0	12099	12.12293	7.547758	47.3644	-3.6269374	-12.423943	0.27938515	64.26015496253967
12	17.89947	7.331281	26.924883	4.6134596	19.059998	12.103318	44.798386	0.54185015	150.0	150.0	13199	12.929702	7.742838	52.345604	-5.4555964	-13.1756525	0.35842523	70.6498715877533
13	23.973013	10.997896	45.470413	11.661812	19.88579	10.050078	40.516003	-0.90137875	150.0	146.4	14299	13.6292515	8.095864	58.893806	-6.2174444	-13.877152	0.36550504	77.22486305236816
14	30.241505	8.620782	42.90183	13.562522	22.933458	10.903315	43.18289	3.9696991	150.0	150.0	15399	14.807045	8.482071	66.691216	-6.8727837	-15.093597	0.3614234	83.75500273704529
15	19.409971	9.747776	37.326122	6.809575	23.30764	12.456864	42.968628	1.1459937	150.0	150.0	16499	15.824191	8.45131	71.610825	-6.696872	-16.178762	0.36595055	89.79126024246216
16	8.922648	5.3306847	16.854029	0.7888158	13.945079	8.904313	29.246805	-1.2594862	150.0	150.0	17599	16.820572	8.804169	72.766785	-6.3678694	-17.199362	0.38527346	95.86517977714539
17	7.062764	6.9103336	18.054441	0.24555929	15.357941	10.892502	36.178234	-2.5452948	140.0	150.0	18699	17.715635	8.914959	78.90384	-3.2611275	-17.972631	0.37149912	101.93481492996216
18	21.996422	10.775272	39.06588	0.6789899	14.13267	8.769569	28.888868	-3.2691782	150.0	146.3	19799	19.251463	9.122892	71.79251	8.331635	-19.504227	0.40196046	108.13583731651306
19	14.149545	8.855549	25.348211	-0.53752196	13.575563	12.331375	32.644573	-10.700306	150.0	150.0	20899	20.146875	9.643243	69.18425	4.143435	-20.38033	0.42067495	114.25690484046936
