Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	60.27127	13.750188	81.72668	42.53308	52.97309	15.4596	87.36636	31.795218	150.0	150.0	1099	0.3881879	0.43012348	2.6695037	-6.8577623	-0.690619	0.062049646	1.6043188571929932
2	36.739994	46.356663	90.95937	-46.700455	-17.85068	31.647745	89.219284	-53.426365	150.0	126.55	2199	1.858734	1.3479042	5.900981	-8.703734	-1.9089178	0.016538128	7.891418218612671
3	-48.67434	37.70695	-0.012822099	-108.20588	-54.796913	34.15622	-2.0191665	-120.85783	150.0	143.65	3299	2.838442	3.6370113	8.098837	-12.282799	-2.9675834	0.034477517	14.39673900604248
4	-57.872917	39.23999	13.344452	-106.830925	-7.4036345	51.500824	90.43953	-90.051254	143.14285	143.05	4399	2.7345004	6.0448093	11.994501	-18.924883	-2.8910782	0.06975088	20.86356806755066
5	7.44063	55.99876	91.89313	-61.48203	6.577109	50.886314	82.2512	-74.96003	141.5	146.75	5499	2.8147676	8.36404	15.651866	-20.908627	-3.0405405	0.15609525	27.731855869293213
6	-11.186811	56.60406	77.69384	-81.351036	-7.889415	39.636616	61.172222	-85.02902	150.0	135.0	6599	4.585412	10.014066	19.217558	-30.040451	-4.894675	0.18204506	34.25202035903931
7	-24.10447	36.72911	37.79744	-84.77219	-18.702915	41.357437	52.764473	-87.339836	150.0	138.95	7699	6.0085144	11.144432	22.607555	-22.649242	-6.3780346	0.24979356	40.99282646179199
8	-13.922335	36.69945	71.51154	-50.86459	-28.687317	41.886543	44.79461	-102.02405	131.875	139.2	8799	7.1538835	11.959447	29.060871	-24.655182	-7.5403585	0.31986934	47.256572246551514
9	-2.258597	46.34345	45.65166	-93.593765	-10.866625	48.456795	65.04663	-105.424644	135.875	149.9	9899	7.2734466	12.421205	30.800962	-24.531223	-7.7411995	0.4414477	54.13720417022705
10	-15.408198	56.537247	52.34178	-123.34651	18.34197	41.32978	96.81241	-56.144245	150.0	142.1	10999	8.834297	13.501688	35.077496	-26.655289	-9.366244	0.69690627	61.1317617893219
11	42.153946	29.359346	89.07135	-4.908897	34.343723	40.721745	85.12371	-104.46734	150.0	150.0	12099	13.100447	14.71151	41.37313	-29.485893	-13.694855	0.69558287	68.2876935005188
12	44.294216	25.810984	90.362885	10.453478	27.308523	34.929447	68.61041	-50.67792	150.0	146.75	13199	18.403883	14.648859	51.6627	-31.471888	-18.9688	0.77232736	75.51757550239563
13	43.89805	21.895504	80.323944	3.321693	37.420044	30.663877	74.63721	-70.352036	150.0	150.0	14299	22.073528	14.424649	43.285625	-29.375513	-22.64283	0.73251945	81.8937451839447
14	35.33933	37.74366	68.3211	-53.066975	21.524605	41.29643	75.314224	-89.75578	150.0	150.0	15399	25.831087	14.041416	52.33358	-34.37042	-26.378084	0.78362286	89.1226167678833
15	9.136476	41.667503	78.2871	-49.838154	18.3103	49.29977	86.321754	-45.15263	150.0	137.7	16499	29.653955	13.3305435	47.59127	-19.290586	-30.17213	0.6866846	96.32488870620728
16	26.549791	51.580185	87.49316	-70.79962	35.55561	44.022736	88.372246	-66.57344	141.75	150.0	17599	32.613003	12.8627615	51.746	-21.135906	-33.100384	0.59090984	102.83218884468079
17	2.9556315	41.138565	58.29275	-59.93677	39.55072	29.370476	84.83925	-17.637833	150.0	150.0	18699	35.47851	12.289649	54.420845	-13.094353	-35.865925	0.645531	109.26344990730286
18	17.96858	20.371397	62.434376	-2.2350378	37.68517	32.621883	85.55495	-47.573612	150.0	150.0	19799	37.88648	11.3979435	58.34132	-15.001635	-38.253	0.61727196	116.13575029373169
19	23.84669	42.347298	84.192024	-67.879	23.114477	23.980972	63.33331	-26.614988	150.0	150.0	20899	39.263645	11.9052105	56.74928	-13.050854	-39.689312	0.57584405	123.51820802688599
20	19.871084	38.235176	63.603333	-39.16209	22.422466	26.42531	67.436485	-33.81136	150.0	150.0	21999	40.836285	12.066946	52.708588	-12.594685	-41.309284	0.6493661	130.05780124664307
21	28.415638	29.318932	71.44536	-11.219394	40.273857	35.385635	92.06792	-39.952175	150.0	146.2	23099	42.807056	11.365007	54.243652	-5.888853	-43.29479	0.5776251	136.87264752388
22	41.162903	31.623417	78.12494	-27.283339	5.0954704	30.178207	64.19848	-50.596863	150.0	150.0	24199	44.698402	10.729264	57.325356	-4.050715	-45.169937	0.44651565	143.43415665626526
23	12.197821	26.036024	41.03009	-24.27881	27.849209	40.948986	78.13788	-97.625885	139.75	150.0	25299	46.91343	9.53519	61.499855	-1.8154631	-47.367146	0.34692085	149.3664312362671
24	29.391724	8.334652	45.412758	21.789064	33.117702	34.366604	72.256935	-83.82987	150.0	150.0	26399	48.361427	8.776798	60.617672	2.7796478	-48.754837	0.36280388	155.8902087211609
25	38.99835	16.39595	55.127144	9.157842	45.06353	33.32271	90.82931	-57.009537	150.0	150.0	27499	49.92819	8.439339	57.553516	0.63618195	-50.28143	0.2670519	162.29514575004578
26	49.32714	44.58711	92.90087	-63.542683	25.198206	59.122974	81.6966	-83.07063	150.0	150.0	28599	51.34168	8.048815	60.718296	2.3642688	-51.726418	0.27498713	168.71450781822205
27	22.467821	31.331564	56.400078	-49.22352	34.588535	24.197664	65.70266	-17.077316	150.0	150.0	29699	52.514614	7.604546	66.24544	-16.665888	-52.848335	0.26629624	175.39971113204956
28	39.333637	32.77599	74.36352	-11.834158	28.239843	31.160427	75.990005	-35.133286	150.0	150.0	30799	53.55551	7.197208	67.186455	-1.7858105	-53.90474	0.3200368	181.8731508255005
29	45.984	27.33602	81.14888	0.73454934	46.33895	19.851679	81.01464	15.856611	150.0	150.0	31899	54.46951	6.669289	68.36712	6.056167	-54.819233	0.34148484	188.19949388504028
30	31.630457	16.45529	56.343403	2.0524478	36.21336	18.042524	65.31128	1.7144321	150.0	150.0	32999	55.15786	6.032132	70.76707	4.544263	-55.486294	0.3389083	194.77108669281006
31	33.740604	17.902637	63.95527	14.459608	43.063747	27.156181	83.28317	-43.26437	150.0	150.0	34099	55.776096	5.6519966	66.40852	12.60109	-56.081738	0.26507306	201.31486225128174
32	27.932009	36.16774	73.68705	-23.56482	45.863434	21.775131	91.75792	-5.9312086	150.0	150.0	35199	56.252155	5.834691	65.28286	14.224744	-56.540474	0.27562565	207.9888687133789
33	35.451424	31.88936	65.678925	-37.379536	12.500822	39.542088	58.036835	-55.769405	150.0	150.0	36299	56.720226	5.626147	65.56942	16.033798	-57.02351	0.1989487	215.2727882862091
34	31.136295	29.27293	53.98186	-34.382183	24.127598	31.865562	78.40911	-54.59712	150.0	150.0	37399	56.923943	5.9118333	64.92156	16.06219	-57.189964	0.15375832	221.92175960540771
35	37.51437	38.696503	68.666954	-59.385178	40.210777	28.199177	90.151825	-19.142345	150.0	150.0	38499	57.034916	6.1423783	65.013985	18.21758	-57.29719	0.18566503	229.32133674621582
36	17.92677	35.677658	68.49123	-33.57805	44.463226	27.915405	85.09111	1.6870822	150.0	150.0	39599	56.956123	6.7521553	65.77232	0.0766747	-57.19096	0.20667431	236.58421564102173
37	39.62597	18.113201	64.15774	15.860784	26.835175	35.272835	84.37954	-42.65015	150.0	150.0	40699	56.806435	7.005849	65.48269	17.655008	-57.04783	0.15460294	243.5461232662201
38	30.98295	7.989807	44.923912	15.107077	14.515544	40.51191	97.713806	-99.99942	150.0	150.0	41799	56.794785	7.59716	66.45312	15.229441	-57.09157	0.17920269	250.19406175613403
39	3.8797672	37.278095	57.335007	-50.88078	-4.5947304	27.09874	49.502136	-46.354004	150.0	150.0	42899	57.149773	8.121738	67.23963	9.248576	-57.469723	0.19435611	257.486923456192
