Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	59.32658	17.760605	86.55563	28.213192	20.3791	28.629885	84.32799	-29.47673	150.0	150.0	1099	0.8903907	0.117031746	1.1296544	0.40493953	-0.91303205	0.1475683	1.9154374599456787
2	55.766663	29.41545	94.22994	-1.6089745	55.398994	18.066774	78.862114	30.12989	150.0	150.0	2199	2.4734752	1.2146925	4.734071	-1.4820014	-2.6321006	0.052387387	8.670968532562256
3	50.968544	22.95373	89.85535	19.775827	54.39464	17.16335	90.627594	24.756516	150.0	150.0	3299	5.1015334	2.0210104	7.9987063	-3.0026343	-5.1435213	0.02030679	15.027411699295044
4	48.04775	13.313444	68.69408	30.80482	56.48929	17.193916	90.317474	27.485613	150.0	150.0	4399	7.1965075	3.4274724	11.035206	-6.412125	-7.2170134	0.040277496	22.207250118255615
5	11.809105	38.231026	60.86914	-61.56933	2.70184	30.084877	46.132782	-60.674873	139.25	150.0	5499	9.064093	4.936749	13.80979	-9.587935	-9.177049	0.072377525	29.253079652786255
6	14.385636	44.035484	53.394924	-53.998016	21.70967	37.33103	78.454544	-38.45534	150.0	142.6	6599	10.630501	6.386726	16.610792	-11.976318	-10.713973	0.11862704	36.0536675453186
7	10.834074	45.91586	70.546196	-63.107197	-2.0861151	39.155506	66.32397	-70.533165	150.0	145.95	7699	12.176338	7.800984	19.395397	-14.6415615	-12.339441	0.16750588	43.21374869346619
8	-3.6400461	32.477585	26.512897	-58.359947	-9.348579	25.081596	34.473392	-51.3114	139.125	145.65	8799	14.135015	8.418232	22.023254	-17.330692	-14.365735	0.23335816	49.7006893157959
9	9.879734	20.248781	33.270638	-24.628372	13.126879	22.710485	53.918507	-32.356777	150.0	141.4	9899	15.795734	8.633591	24.434233	-16.901247	-16.07834	0.30125487	56.405051708221436
10	16.843332	27.655134	46.41365	-29.469542	1.7311113	34.206142	52.73688	-53.999302	140.375	146.3	10999	17.789677	8.346787	26.60066	-15.027037	-18.126284	0.2800783	63.11123704910278
11	2.2557507	27.773317	47.145184	-31.80311	17.943665	45.65435	80.59464	-47.014286	150.0	143.25	12099	19.492659	8.097554	28.646868	-13.681095	-19.849798	0.28643748	70.11242938041687
12	1.989126	41.17818	63.117424	-48.064022	-21.944586	36.76948	42.824577	-84.08454	150.0	129.8	13199	21.190912	8.268556	30.943626	-8.860854	-21.63379	0.33454165	76.31114101409912
13	-6.187862	28.024961	31.338753	-59.110214	-3.8466392	38.867695	66.41177	-61.51944	138.5	124.85	14299	22.971972	8.298352	32.582184	-6.9270315	-23.45198	0.34435436	82.51706838607788
14	-4.2981014	37.231625	42.06264	-67.55328	19.677881	38.9053	66.90257	-79.61161	150.0	145.3	15399	24.78206	8.121985	33.723206	-6.2510815	-25.163176	0.3523904	88.86772298812866
15	13.870052	38.00246	67.75568	-64.70514	-8.638322	34.643078	50.454044	-62.68938	150.0	145.7	16499	25.529194	8.56498	34.966	-4.9723635	-25.852938	0.30315265	94.6178777217865
16	30.624287	28.111477	53.06473	-40.214867	8.625382	46.921585	79.18985	-75.19124	139.375	137.25	17599	27.140211	8.5888195	35.850933	-6.5078926	-27.50581	0.2742507	100.38561272621155
17	-12.892829	33.801327	52.386784	-46.866497	0.62258184	36.497795	64.57283	-58.02478	129.5	143.8	18699	28.130806	8.780523	36.789734	-7.65526	-28.477655	0.35385433	107.32323694229126
