Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	39.37709	7.7262897	47.10338	31.650799	37.047493	18.954409	83.20315	9.970195	400.0	400.0	1099	-0.003507826	0.3128353	2.6403017	-5.0043764	-0.05625135	0.060254205	3.35540509223938
2	28.93483	11.317648	44.9318	20.482029	29.58846	13.893187	50.62167	-0.0007023883	400.0	400.0	2199	0.5628669	1.0567015	12.999137	-6.6015596	-0.6832246	0.014114243	12.672064065933228
3	33.46427	15.6043005	55.222626	19.39577	28.925777	19.42281	62.426693	-6.006979	400.0	400.0	3299	1.7746565	2.2633076	32.150303	-25.428148	-1.9643856	0.029832767	22.520336866378784
4	23.62166	15.827886	43.99474	5.4047914	32.766243	19.235823	69.31548	2.6110258	400.0	400.0	4399	2.8426497	3.1295788	20.974663	-8.516021	-3.0102084	0.015459203	32.136611461639404
5	38.40815	0.65485954	39.063007	37.75329	30.532715	16.178122	64.23293	10.552407	400.0	400.0	5499	4.0065207	4.3614063	27.437342	-11.120813	-4.2085733	0.03320556	43.58641529083252
6	34.64673	11.659739	47.4308	19.235275	22.768322	11.159973	40.07468	0.34686545	400.0	400.0	6599	5.307105	5.499819	35.38934	-12.944707	-5.536941	0.05421907	53.37046670913696
7	26.811228	10.148625	41.07039	18.267727	24.468716	15.585362	53.940845	-2.6298237	400.0	385.0	7699	6.5817585	6.285367	43.292633	-13.590187	-6.853831	0.06504164	64.54502892494202
8	29.216192	4.4123163	33.84673	23.278576	19.152805	18.650476	59.362473	-13.782265	400.0	384.1	8799	7.74506	6.618208	49.735764	-14.453655	-7.996843	0.09349482	74.21252989768982
9	29.219147	0.6542187	29.873365	28.564928	19.305815	16.19833	45.303005	-10.900899	400.0	384.85	9899	8.775275	6.9182963	53.797222	-15.664278	-9.010449	0.10476173	83.901939868927
10	50.23381	6.0092664	58.631184	44.90375	23.615522	12.40506	41.089256	0.57064414	400.0	400.0	10999	9.85098	7.625658	60.929234	-16.79945	-10.090954	0.1005916	93.47532415390015
11	26.134491	7.3091826	35.29845	17.41094	18.130224	18.218618	61.928024	-16.66862	400.0	384.45	12099	10.686988	7.742366	61.893093	-16.8961	-10.941293	0.112821534	102.76205277442932
12	22.837595	7.6805134	33.126717	14.67875	31.679346	19.13656	68.720146	0.737948	400.0	400.0	13199	11.417235	7.558144	64.76695	-16.048357	-11.691204	0.1412544	112.63069891929626
13	40.926018	9.6508665	50.576885	31.275152	21.320864	18.542683	52.98377	-15.330991	400.0	400.0	14299	12.426941	7.4769216	66.96059	-13.587075	-12.72329	0.16044338	122.50374102592468
14	25.29893	13.84526	42.76628	8.903301	25.333683	16.55854	57.9999	-0.29023165	400.0	400.0	15399	13.338781	7.365385	88.70501	-9.856617	-13.623572	0.17364609	132.98496961593628
15	36.337482	13.433579	52.09578	19.268742	20.761595	16.184391	52.039543	-14.603185	400.0	400.0	16499	14.235946	7.5528717	84.03931	-6.9904065	-14.4951515	0.13535947	143.61833000183105
16	7.6224074	7.30179	17.513655	0.108391054	12.701376	19.567116	53.47337	-27.939394	400.0	387.45	17599	14.486832	7.517011	70.52756	-6.620066	-14.72127	0.12734464	154.97397470474243
17	21.912514	16.842346	38.75486	5.070167	19.000235	24.741474	57.376274	-21.652557	400.0	354.75	18699	15.331153	7.6403403	74.774864	-5.1863923	-15.5432	0.12225457	164.57978439331055
18	13.616759	31.261002	49.777344	-26.490438	18.640478	24.760838	61.64974	-23.61263	400.0	359.7	19799	15.598453	7.4708157	83.71707	-4.8851314	-15.790128	0.11048955	174.13134837150574
19	44.759983	12.308025	61.268764	31.727898	7.7104583	16.66732	32.50335	-28.711962	400.0	369.95	20899	15.778362	7.4599466	74.92449	-4.2005215	-15.974297	0.086223826	187.49991083145142
20	-15.244388	21.800505	5.148951	-53.70145	10.9898815	17.672014	60.665806	-18.4916	209.4	371.95	21999	15.851788	7.448802	74.68884	-2.5296535	-16.075827	0.2509631	197.86788940429688
21	29.417768	10.242443	43.1897	18.644403	16.581926	13.072518	39.720665	-11.547451	400.0	400.0	23099	16.341936	7.431627	76.55105	-1.1947727	-16.59187	0.47801512	207.9840168952942
22	22.59311	6.2235513	29.803709	14.616961	27.685644	16.788584	55.120293	-9.670714	299.66666	400.0	24199	16.682373	7.789137	80.22721	-0.85572314	-16.909023	0.4416265	219.42255282402039
23	24.701715	9.729706	38.18081	15.567115	16.699032	14.767675	44.030334	-14.72772	400.0	354.45	25299	16.926281	7.762703	75.668945	-0.62732375	-17.12063	0.4225402	229.34479928016663
24	7.5914407	19.145844	33.37861	-12.451371	18.921152	18.538868	65.37755	-14.441964	292.33334	367.2	26399	17.115349	7.575411	73.506454	0.8922578	-17.315649	0.37539628	239.04452323913574
25	-0.3325076	14.073955	18.969547	-14.350193	2.1275585	22.379263	62.835335	-31.341934	315.25	385.2	27499	17.541496	7.6303344	81.246735	-2.393534	-17.741808	0.41262355	250.06548714637756
26	1.8403645	9.136209	17.140514	-10.942437	18.750757	14.610985	51.33122	-5.07428	234.6	385.05	28599	17.959814	7.792604	80.04045	-2.3880036	-18.180347	0.50231725	261.378689289093
27	17.27139	7.012672	22.310806	7.354416	24.262106	12.621004	43.483932	1.0105625	400.0	400.0	29699	18.283457	7.8550553	83.27935	-0.7950994	-18.51952	0.50969315	270.9629821777344
28	8.058927	8.636144	17.281668	-3.4864368	27.981253	18.177729	64.76727	-10.002139	305.33334	400.0	30799	18.466087	8.010411	83.03483	-0.24981284	-18.704855	0.40695918	281.18851494789124
29	12.963237	5.2805037	20.25374	7.9172707	31.011734	13.439711	59.928677	8.85078	400.0	400.0	31899	18.707956	8.069052	90.43217	-1.0686738	-18.95988	0.42940468	292.68306612968445
30	33.818813	5.1023083	41.004856	29.659307	36.881195	19.736826	67.235855	6.0913653	400.0	400.0	32999	18.890245	8.00653	88.248955	-1.7201089	-19.135235	0.40228456	302.65389227867126
31	28.964725	3.359417	32.324142	25.605309	21.916504	11.782181	43.680367	2.5011506	400.0	400.0	34099	19.04134	8.058179	90.71869	-2.5862596	-19.284925	0.41596454	313.01671171188354
32	32.682114	7.646676	43.1558	25.114195	32.75331	13.472984	58.284607	3.8306675	400.0	400.0	35199	19.302744	8.363489	88.30548	-3.3569198	-19.553305	0.542673	322.917044878006
33	24.885744	11.630799	39.276314	10.791412	27.686924	15.513029	57.049545	2.2200384	400.0	400.0	36299	19.619045	8.700794	88.713264	-3.5176868	-19.879858	0.6481838	332.83115243911743
34	32.583294	16.439062	55.40055	17.315422	31.664495	18.243914	67.603714	-3.2656064	400.0	400.0	37399	19.87564	8.953816	83.976006	-2.6826048	-20.125824	0.8156201	344.24997186660767
35	16.51939	2.4735413	18.992931	14.045849	23.014359	17.75425	59.476727	2.522747	400.0	400.0	38499	20.156624	9.088538	88.71663	-1.8683089	-20.428448	0.8458641	355.7685298919678
36	28.619799	19.76577	54.072426	5.885924	26.07836	15.486606	69.81936	5.659456	400.0	369.6	39599	20.539017	9.204504	89.56099	-1.7404042	-20.798689	1.0259997	365.7334907054901
