Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	40.408813	8.630316	49.03913	31.7785	-0.06902246	20.804077	51.912666	-33.690994	400.0	240.0	1099	-0.06380397	0.312131	9.874037	-3.642564	-0.0014258437	0.14211984	1.9147334098815918
2	34.841038	9.454366	46.49539	23.338514	1.3049061	20.763063	43.090008	-39.925697	400.0	255.5	2199	0.48954028	1.0566435	7.836599	-7.161531	-0.58505374	0.034745768	8.576847076416016
3	38.58415	6.8848352	47.444706	30.658255	-7.2011743	12.926003	21.168354	-25.124733	400.0	246.5	3299	1.4706535	2.2557774	28.903173	-7.9959054	-1.5947016	0.042904343	14.044540405273438
4	25.845472	10.637289	40.847366	17.377443	6.9976945	28.24084	55.936237	-46.454723	400.0	250.35	4399	2.391325	3.2730577	24.556778	-9.209888	-2.4923043	0.050325144	19.638099908828735
5	17.900623	9.020505	26.92113	8.880119	3.521024	15.289024	39.878754	-25.23721	400.0	188.05	5499	3.0293756	3.980991	32.05564	-11.501464	-3.1502576	0.062273532	24.885145664215088
6	24.440054	2.9158268	28.359465	21.370514	-0.19391449	20.292387	45.284958	-26.01636	400.0	168.25	6599	3.689063	4.6011815	30.032833	-13.487597	-3.808053	0.0488457	29.921622276306152
7	37.67984	5.330865	45.103592	32.830814	5.079144	28.791986	62.534428	-44.072773	400.0	229.6	7699	4.3058124	5.4259276	36.555187	-15.683472	-4.4152412	0.061500717	35.079166650772095
8	36.233093	8.856108	43.978188	23.836693	-5.1846557	26.6895	46.682247	-58.351402	400.0	243.25	8799	5.0299563	6.276359	47.438007	-16.976501	-5.160183	0.10041616	40.71233820915222
9	45.125084	5.959406	51.08449	39.16568	9.139821	28.867159	54.71224	-39.853104	400.0	336.3	9899	5.7851315	6.8977723	45.053925	-16.944927	-5.9467225	0.16167317	46.58707308769226
10	27.652578	8.691781	38.9488	17.807192	-10.432746	17.533642	13.413667	-39.995327	400.0	266.85	10999	6.465519	7.044971	54.46648	-16.552898	-6.654024	0.27651495	52.2484290599823
11	31.592276	11.200785	42.662296	16.245165	-12.940195	14.2069235	22.665863	-38.14834	400.0	240.75	12099	7.1117973	7.052781	54.95883	-16.527544	-7.3065925	0.22427554	57.610710859298706
12	31.118223	1.4604094	33.174313	29.921165	-5.7092686	16.683527	28.113417	-47.072575	400.0	299.8	13199	7.7329826	7.052612	58.374763	-16.097713	-7.919249	0.20761953	63.24575471878052
13	16.729462	2.5227475	19.252209	14.206714	-20.377588	13.164366	4.404067	-48.78548	400.0	181.75	14299	8.265139	6.8155923	56.352295	-15.409108	-8.455124	0.19079348	68.48724579811096
14	28.126535	3.4454496	31.972961	23.612871	-20.185326	17.278667	3.4578402	-60.434124	400.0	201.45	15399	8.862717	6.607823	64.470535	-14.7000475	-9.064352	0.22505511	73.6497552394867
15	-23.202145	17.78786	9.685167	-47.843105	-16.193304	16.976074	9.751822	-48.030434	154.0	190.65	16499	10.1121855	8.334588	89.639465	-13.318882	-10.3020525	0.8744222	78.82589364051819
16	-20.012323	21.91186	7.5414095	-54.708538	-16.125763	16.810663	13.315528	-53.081375	231.4	253.15	17599	11.282211	9.060993	89.71168	-11.410666	-11.514179	1.4476317	84.29101967811584
17	7.8837485	15.660849	34.12725	-4.7744923	-13.879282	19.650866	13.146562	-60.940765	242.0	252.5	18699	12.219339	9.062868	87.21509	-9.3089485	-12.458657	1.4137807	91.04053258895874
18	-8.088933	10.218315	1.3925601	-22.274092	-7.1917763	17.172218	16.840538	-44.123093	376.66666	179.65	19799	12.916469	8.593123	80.7015	-8.55878	-13.115949	1.4794776	96.92144227027893
19	1.6412623	7.6072235	11.353026	-10.702169	-3.6179738	15.405954	18.421585	-26.74073	203.2	281.9	20899	13.161225	8.298331	72.65278	-8.801394	-13.35294	1.3647788	102.9229187965393
20	-4.914908	11.268577	12.861748	-17.443573	1.534652	20.517967	45.767307	-30.941755	283.25	311.8	21999	13.329179	7.918936	67.80682	-9.049492	-13.557984	1.2956651	108.90191841125488
21	-12.68466	29.241405	20.258696	-62.10316	-20.760544	22.440853	23.747057	-63.101383	232.0	264.85	23099	13.707072	7.625829	64.28548	-9.033148	-13.9306755	1.1431383	114.24875617027283
22	-8.526831	13.775393	14.282932	-24.10795	-4.0351925	27.318342	63.52129	-51.917408	218.6	240.8	24199	14.130321	7.4961	61.40721	-8.523985	-14.348239	1.2853094	120.29376697540283
23	-15.824715	20.364012	-3.500749	-60.840042	6.074067	25.286173	48.584972	-34.322525	176.66667	314.8	25299	14.560273	7.275246	56.608288	-7.4971027	-14.806811	1.2111615	126.47993326187134
24	0.92338836	11.204105	17.314367	-17.300205	-4.3097863	17.68586	35.656033	-38.79703	138.44444	210.25	26399	14.801602	7.0040503	52.767193	-7.7496567	-15.01674	1.1971076	131.796053647995
25	9.861683	17.35319	30.165808	-9.226258	3.9753017	21.310738	39.262844	-29.226622	272.0	302.8	27499	14.849372	6.9397693	72.609924	-9.594024	-15.047448	1.0032504	137.54725980758667
26	0.29529634	1.1496419	1.4449382	-0.8543455	4.6839743	24.749147	60.435387	-44.383892	400.0	344.3	28599	14.936223	6.966145	45.26787	-10.071117	-15.170383	0.85340977	143.59721398353577
27	32.13093	23.887499	54.815964	-0.89016867	10.255674	15.404335	41.388023	-10.707441	400.0	400.0	29699	15.103638	7.121686	48.065166	-10.690412	-15.356748	0.7403614	149.56377720832825
28	31.898102	18.00748	48.92883	6.985491	26.429718	20.679386	67.857124	-5.1269035	400.0	369.75	30799	15.380095	7.3146276	55.46979	-13.18471	-15.664734	0.7885348	155.82266283035278
29	13.293809	5.3866615	18.175034	5.788178	22.20103	16.266281	55.95035	-0.3995425	400.0	400.0	31899	15.88944	7.480214	52.201206	-15.613899	-16.211582	0.81642085	162.18591356277466
30	30.345215	10.677568	41.908295	16.15314	25.782648	12.1884575	49.707783	3.8139954	298.33334	384.55	32999	16.421818	7.5501885	78.27022	-15.795853	-16.762268	0.8782289	170.41213750839233
31	42.29469	5.7919626	47.61801	34.24165	18.985	11.667922	41.925	0.07880371	400.0	400.0	34099	17.08759	7.5598707	67.45258	-13.979002	-17.444687	0.90607405	177.05517172813416
32	26.347635	4.9439163	30.840143	19.461718	26.48432	13.246208	60.24947	2.347925	400.0	400.0	35199	17.76521	7.461381	77.60158	-11.909206	-18.137888	0.872693	183.3644998073578
33	-4.7433395	3.2292492	-1.5140905	-7.972589	27.393673	15.928197	54.24867	-1.8744375	400.0	400.0	36299	18.488142	7.389391	63.212345	-8.717058	-18.863424	0.90071046	189.97296047210693
34	31.4629	11.806057	47.45662	19.31572	23.911999	11.954289	42.831917	0.1507246	400.0	383.25	37399	19.232536	7.337005	60.054855	-7.175959	-19.616655	0.88488567	196.25499749183655
35	28.255636	11.066627	40.938625	15.984204	16.513954	17.927021	53.49673	-12.100478	316.0	351.4	38499	19.980686	7.3740354	68.964195	-4.8621273	-20.339964	0.90537214	202.30358386039734
36	48.536034	3.6083317	52.144363	44.9277	16.976498	21.29349	56.73404	-24.149899	400.0	368.3	39599	20.657318	7.504879	62.889645	-6.2903357	-21.009289	0.8630125	208.9091079235077
37	22.59017	17.520712	47.109795	7.2393956	31.35351	12.417322	52.079853	4.651188	400.0	400.0	40699	21.192965	7.632084	65.75307	-8.208064	-21.541647	0.8516019	215.3170804977417
38	34.206985	15.52367	55.994896	20.980278	19.53265	17.538778	54.378387	-16.18183	400.0	400.0	41799	21.651257	7.7825513	67.51585	-9.280294	-21.989187	0.7966122	221.27463459968567
39	22.403246	17.488283	47.031662	8.129225	18.83392	14.769123	39.267956	-9.743082	400.0	392.8	42899	22.04435	7.925317	75.16182	-11.663759	-22.380806	0.82842606	227.691792011261
40	27.69065	5.90487	33.59552	21.78578	23.118626	15.542445	65.36414	1.5853769	400.0	371.75	43999	22.420034	8.095622	64.30038	-10.906661	-22.758564	0.88892484	233.99467158317566
41	30.317	2.3443918	33.100468	27.365301	29.04621	14.105037	51.33861	5.851568	400.0	386.0	45099	22.762133	8.215627	72.07311	-10.7453575	-23.09816	0.8700677	240.752507686615
42	24.101591	13.055903	42.431076	13.011392	26.026825	13.938527	61.275105	0.40804192	400.0	400.0	46199	23.075111	8.275587	76.87571	-8.685498	-23.411406	0.945262	247.4665665626526
43	23.245886	19.145279	48.63339	2.4023764	23.681068	14.136961	51.129402	-2.9113042	400.0	400.0	47299	23.425022	8.274139	75.54271	-7.0415163	-23.7772	0.93284976	254.22071623802185
44	7.87654	10.111474	17.988014	-2.2349343	23.842167	23.073093	62.252174	-19.558382	400.0	400.0	48399	23.797108	8.283202	89.111946	-5.182123	-24.141409	1.0072503	260.5024173259735
45	40.668262	18.338745	61.540066	16.900434	30.331049	17.24617	56.862125	0.2096625	400.0	400.0	49499	24.08368	8.375363	69.217125	-3.413197	-24.416254	0.97974557	268.67671966552734
46	40.182034	5.6105	46.83497	33.111183	29.170877	19.746788	71.390526	-7.5035563	400.0	400.0	50599	24.412897	8.500365	76.58533	-6.274826	-24.755596	0.9937957	276.99729561805725
47	12.858017	16.194523	35.66796	-0.32843426	23.33044	20.701347	61.42089	-11.7474575	400.0	369.05	51699	24.688494	8.528897	82.40128	-2.150428	-25.027765	1.0112385	282.7708353996277
