Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	34.68259	13.518529	48.20112	21.16406	31.371769	16.91001	58.653763	1.1751177	400.0	382.85	1099	-0.0815731	0.1354549	0.9970874	-0.70061725	0.04318927	0.06435555	3.0843520164489746
2	24.38292	20.781862	53.28733	5.323112	-15.526486	17.385155	13.7514	-47.01222	400.0	226.75	2199	0.5019465	0.86836386	7.8476706	-2.2636425	-0.64090556	0.022593029	8.929656982421875
3	27.9979	13.825463	46.817295	13.996039	2.009167	25.64028	43.597397	-42.039413	400.0	268.0	3299	1.7526226	2.0609028	15.043146	-3.8324256	-1.9753948	0.025846755	16.078294038772583
4	29.721922	19.73601	57.374134	12.612299	-8.551182	15.626388	24.282883	-34.10381	400.0	179.25	4399	3.14342	3.2010953	21.655567	-5.620049	-3.401286	0.034580592	22.266490936279297
5	19.427103	6.2665	25.693604	13.160604	-13.288328	15.5094185	15.981994	-47.627964	400.0	163.85	5499	4.7032037	4.296454	27.841362	-6.0716515	-5.0008993	0.05174991	27.510358095169067
6	28.418139	18.421898	43.4891	2.4788797	-7.1561217	24.307562	51.74066	-49.44247	400.0	207.8	6599	6.2632318	5.6093802	33.73816	-7.223259	-6.5889425	0.081127636	34.01542615890503
7	39.1376	3.239975	43.7031	36.518234	-5.7945805	18.460587	27.821262	-27.729149	400.0	276.55	7699	8.008195	7.127135	39.700333	-9.584607	-8.296082	0.10856523	41.09491586685181
8	39.895687	12.055698	55.75234	26.54198	-0.8932518	24.528563	41.44018	-48.311108	400.0	369.25	8799	9.515007	8.544766	45.72396	-10.705153	-9.846174	0.14231905	48.921666383743286
9	29.903696	5.8080845	35.71178	24.095612	-2.4653473	18.494255	41.22086	-45.304863	400.0	333.05	9899	10.89883	9.524058	51.03681	-10.487987	-11.229114	0.18650524	55.57576894760132
10	30.370363	8.330843	39.017406	19.11677	-0.0703017	17.23716	51.401554	-26.474987	400.0	241.45	10999	12.361155	10.512859	56.2166	-9.107725	-12.737335	0.20164923	61.64945840835571
11	26.392298	9.911603	37.263817	13.293813	-4.39556	19.445986	29.226934	-40.722004	400.0	280.95	12099	13.510083	11.357057	59.46859	-9.235535	-13.896546	0.254288	67.90721940994263
12	33.135746	14.440463	51.593376	16.338747	-2.689013	20.781765	35.723602	-44.178158	400.0	209.4	13199	15.134601	12.354128	60.911648	-9.897481	-15.599242	0.25463885	73.80961513519287
13	43.579987	4.679123	48.25911	38.900864	2.0984511	14.3403425	23.902594	-39.311733	400.0	274.75	14299	16.64921	13.024341	63.004715	-10.011722	-17.108799	0.25149125	79.72925758361816
14	15.50523	7.8813586	21.22815	2.0021915	2.932929	20.17436	44.25914	-42.75573	315.25	265.3	15399	17.856983	13.518109	65.40185	-9.615404	-18.271828	0.25979123	85.94445633888245
15	2.8028774	13.846255	13.05675	-16.771265	17.758564	21.58006	57.948353	-33.090446	400.0	340.8	16499	18.838923	14.542958	67.87642	-12.718682	-19.0669	0.2827809	92.7475254535675
16	-2.2619734	15.344922	8.821307	-28.602016	12.321434	17.1441	70.92206	-20.988602	271.0	263.45	17599	19.466776	15.403067	69.60062	-12.723653	-19.735662	0.3663687	98.69517970085144
17	26.096008	7.3496027	33.44561	18.746405	19.478703	16.454008	62.546276	-9.345695	400.0	385.15	18699	20.569984	15.801182	70.2067	-9.3554945	-20.893595	0.43801898	105.85704374313354
18	11.8629265	23.236006	44.19084	-18.92624	8.512772	15.784088	44.487644	-22.443512	350.5	356.3	19799	21.534218	15.912468	73.01326	-3.6338515	-21.87891	0.4703848	112.25444722175598
19	32.311054	5.06411	37.375164	27.246944	0.9428245	24.077904	44.051216	-44.09559	400.0	322.15	20899	22.428432	15.980665	72.345924	-0.6022396	-22.769993	0.4958912	118.64818477630615
20	5.93107	19.93289	25.844648	-26.53042	-4.1664515	17.163193	31.543932	-31.89104	346.25	323.05	21999	23.152737	15.897291	70.3708	2.1785948	-23.508057	0.44007385	124.95770478248596
21	16.652664	18.843372	35.339737	-19.471422	14.690353	20.428648	60.118626	-22.978064	222.6	352.0	23099	24.310217	15.892762	78.19524	2.5049858	-24.694073	0.6241969	131.45740222930908
22	24.06605	2.9745827	27.040632	21.091467	25.306532	14.314313	48.266605	-0.5743099	400.0	396.85	24199	25.489002	15.809251	80.22111	2.4622345	-25.905727	0.5796872	138.8035180568695
23	14.78842	12.143792	37.632603	4.3152404	22.355186	18.314152	53.036556	-10.763181	283.8	343.15	25299	26.785303	15.636389	80.56079	2.5449018	-27.206648	0.6409069	145.23925495147705
24	26.336725	19.22702	45.563744	7.109706	19.514225	13.224335	49.98625	-6.0025873	400.0	368.7	26399	27.638538	15.272512	79.40082	0.91572595	-28.103264	0.66466963	151.83896851539612
25	20.717873	13.334664	30.925016	1.8818364	20.191671	18.507795	48.844036	-13.466895	400.0	346.4	27499	28.451582	15.168981	78.15614	-1.3589826	-28.878721	0.63398457	158.61198568344116
26	34.974827	5.111769	41.97671	29.916487	14.477715	18.390938	52.537037	-26.77383	400.0	400.0	28599	29.045357	15.537273	81.29014	-8.403143	-29.431166	0.61522126	166.18848991394043
27	14.092538	2.7877786	17.77141	11.025506	20.566967	16.26783	44.5948	-21.778639	400.0	332.8	29699	29.374096	15.862851	84.842964	-3.739691	-29.802692	0.6000604	173.83818197250366
28	21.51645	15.232637	42.25149	6.089936	26.106781	14.39666	55.03629	-5.135307	289.0	383.75	30799	30.106428	15.894708	86.50597	-3.529823	-30.57571	0.5948162	180.5077521800995
29	25.372412	1.6698068	26.716919	23.018906	14.74252	24.04258	49.692703	-20.568445	400.0	293.2	31899	31.187891	15.989733	88.47214	-2.2543597	-31.63287	0.6117098	186.67343163490295
30	9.517488	1.3167675	11.379592	8.570902	19.070837	20.604961	55.511635	-17.244724	400.0	346.0	32999	31.92223	16.079943	89.39497	-1.3064833	-32.365257	0.65958226	194.51072525978088
