Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	11.352528	3.2133422	14.565869	8.139185	-0.8860582	11.7452	15.504992	-28.023214	400.0	254.25	1099	-0.13808157	0.22292122	7.7332745	-1.560651	0.08423544	0.06375402	2.1942501068115234
2	14.672905	2.8291802	18.540226	11.850841	-12.529659	14.759906	22.160757	-38.16361	400.0	209.65	2199	0.13977143	0.5795671	4.2864532	-1.9159385	-0.20847984	0.0066133817	7.452400207519531
3	13.23217	3.6187334	16.95498	8.329654	-11.887715	10.254802	4.251825	-35.652786	400.0	85.95	3299	0.6365596	1.2006692	51.537518	-23.69886	-0.7126609	0.020084828	11.658661842346191
4	16.141075	2.333715	17.846659	12.8413315	-12.478944	13.572313	16.020433	-46.936565	400.0	99.35	4399	1.2181984	1.694948	12.584232	-22.826189	-1.296501	0.020791626	15.863722562789917
5	5.237996	3.3775556	8.615552	1.8604407	-21.458088	11.89734	-0.83861476	-42.593937	400.0	178.15	5499	1.6140294	1.8999782	12.457577	-12.533304	-1.700352	0.017261758	20.9484760761261
6	9.6179695	2.4759002	12.946744	7.013068	-21.896038	11.831097	3.1533947	-41.15961	400.0	136.4	6599	2.02763	2.0860474	22.679358	-15.391798	-2.128846	0.020213325	26.586650371551514
7	9.037433	2.629225	12.605975	6.3485246	-19.02782	10.523348	6.0501165	-38.066483	400.0	111.1	7699	2.515435	2.3316991	19.613676	-5.1381507	-2.6079614	0.019937744	31.29930543899536
8	10.689422	6.714998	19.927095	4.1638	-18.092016	12.313217	7.618816	-41.182365	400.0	154.1	8799	2.892162	2.4778268	17.8927	-5.2047324	-2.9790375	0.024299854	36.24085521697998
9	19.484379	2.5931692	22.077549	16.89121	-19.507402	9.84153	3.783679	-41.929863	400.0	137.15	9899	3.2798197	2.6998682	19.949993	-7.702611	-3.3692758	0.02689362	41.385377645492554
10	11.835668	8.397218	19.99625	0.28385884	-15.987712	9.241618	3.5508137	-33.199883	400.0	143.4	10999	3.6009138	2.9004843	33.249016	-25.631416	-3.6843226	0.043966196	46.2327516078949
11	12.460393	5.6348233	19.534098	5.7456675	-17.897324	12.467341	1.1156833	-52.22467	400.0	192.15	12099	3.8973205	3.0029726	31.152214	-6.5110364	-3.9943004	0.043832764	51.520567417144775
12	11.372871	6.8347545	20.459347	3.9752004	-17.720613	9.327564	4.661767	-32.23622	400.0	183.1	13199	4.163913	2.9584296	31.872124	-4.540364	-4.271437	0.039896104	57.14437294006348
13	8.572853	5.0657315	13.638585	3.5071218	-25.318195	14.137494	0.96790874	-55.5673	400.0	215.3	14299	4.5100665	2.9673853	36.466938	-7.0365715	-4.642542	0.052591484	62.147270917892456
14	1.2770271	14.440907	11.859656	-23.40872	-10.409542	8.907866	9.096067	-31.725294	342.75	222.55	15399	5.0476246	3.0496655	40.8355	-2.7144372	-5.2177577	0.056112755	67.44147157669067
15	-16.592617	6.9650984	-8.567756	-28.404371	-19.218592	9.522375	-0.28925055	-35.002502	216.0	218.9	16499	6.1785207	4.335528	75.321304	-41.00227	-6.328819	0.38140208	72.91555094718933
16	-18.784891	10.140871	-4.2995176	-28.100626	-15.077185	10.929183	5.264917	-37.011444	174.0	231.85	17599	6.898583	4.470155	38.613277	-2.1329255	-7.0035043	0.47443703	79.21664214134216
17	-13.913424	8.503037	-0.72686404	-23.261335	-16.888454	8.731614	-3.8588488	-30.230455	170.28572	235.6	18699	7.1269107	4.2094903	40.8371	-8.773341	-7.2132874	0.51086307	84.55858278274536
18	-17.278006	9.662698	-2.7097208	-27.690624	-17.623545	11.271975	9.908413	-35.437317	163.42857	149.55	19799	7.2704577	3.8795571	30.820442	-3.8771315	-7.3616285	0.5136662	89.36585998535156
19	-14.078506	17.322327	12.772279	-34.865555	-1.0222584	9.97203	19.664474	-18.764355	292.25	345.25	20899	7.3848057	3.6355438	30.83917	-2.1818833	-7.52223	0.40256754	96.26276016235352
20	-0.4139371	8.821716	8.40778	-9.235654	-0.13339481	10.912738	13.9454	-28.88858	400.0	337.15	21999	7.7619944	3.9263651	28.196278	-1.9271033	-7.942145	0.39724198	102.3150885105133
21	8.573778	11.772034	23.88689	-4.7398634	7.106785	6.5951753	16.477016	-3.7834556	400.0	383.1	23099	8.201598	4.207702	28.383602	-1.9860512	-8.392841	0.3964388	108.84691095352173
22	12.01843	7.3115454	18.40358	1.7823868	4.742633	8.425602	23.032091	-15.035072	400.0	365.9	24199	8.628367	4.2305193	32.483997	-4.391121	-8.835991	0.3869537	115.35679531097412
