Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	136.91661	49.435776	186.35239	87.480835	108.01524	38.58275	167.31099	52.676575	400.0	400.0	1099	0.2845697	0.22263879	0.85277176	-3.2802734	-0.42143232	0.042803437	4.997111558914185
2	112.3272	34.26984	160.79207	88.086624	32.4123	49.312744	132.18697	-24.823189	400.0	400.0	2199	1.4361945	1.0600666	11.859425	-14.232058	-1.5193751	0.010976405	18.194526195526123
3	56.883343	49.824448	121.72424	0.5786544	41.95669	56.461967	199.96744	-23.03864	400.0	400.0	3299	3.0685818	2.2003548	48.055027	-34.47868	-3.1736298	0.028337354	30.893694400787354
4	102.31397	58.944847	178.22551	34.528328	66.19327	73.43921	188.08182	-30.136515	400.0	400.0	4399	4.8584156	3.0951905	9.42201	-24.6764	-4.95546	0.020687236	40.9236626625061
5	93.26657	51.92859	145.19516	41.337982	27.998545	59.35368	173.999	-33.787125	400.0	400.0	5499	6.5542893	4.029724	11.659888	-24.259733	-6.6593447	0.022599602	53.82806444168091
6	79.5122	16.219471	102.44932	67.89075	52.985638	66.89796	198.96407	-24.807705	400.0	400.0	6599	8.04039	4.706154	24.58238	-31.189802	-8.104212	0.05036544	64.23036217689514
7	131.59515	73.62707	184.0675	27.471834	27.037222	72.648094	196.79977	-49.76628	400.0	400.0	7699	9.544964	5.049357	14.885233	-18.624763	-9.595713	0.038695153	74.6736307144165
8	118.78463	36.800564	170.67282	89.35712	21.479282	66.286194	165.82602	-43.955753	400.0	356.45	8799	11.1904545	5.3358827	16.74988	-19.279808	-11.332752	0.06147411	83.95090246200562
9	104.47129	16.952965	121.424255	87.518326	6.0816803	64.40723	179.17122	-73.43054	400.0	286.1	9899	13.059248	5.3941045	18.633886	-15.535887	-13.2067795	0.07355069	92.99363446235657
10	102.68094	27.138721	140.92558	80.7701	0.6537325	51.19126	96.11831	-64.13809	400.0	299.2	10999	14.857786	5.4657254	22.780586	-20.997675	-15.026705	0.08140923	105.89985990524292
11	85.92291	64.90545	166.69159	7.770968	5.004043	57.59722	141.90501	-98.78822	400.0	341.6	12099	16.406525	5.7259355	22.453941	-11.011878	-16.57801	0.10974152	115.95895910263062
12	91.48165	62.334877	179.57484	44.580772	8.450759	80.1179	232.4809	-73.11535	400.0	329.5	13199	18.01483	5.783305	24.35538	-11.303072	-18.194729	0.10634349	126.18425941467285
13	125.94983	8.996555	134.94638	116.95327	48.77349	97.94277	240.0715	-73.469734	400.0	358.7	14299	19.721916	5.8753567	26.47986	-11.073491	-19.94643	0.08682706	136.20333051681519
14	76.65218	50.49931	142.84918	20.342953	79.20595	73.09516	227.79982	-25.031645	400.0	385.65	15399	21.403496	6.05316	30.650274	-11.471591	-21.664978	0.093698256	146.8673415184021
15	83.055244	64.7544	144.5702	-6.452827	45.262196	58.947678	176.08557	-47.00378	400.0	384.75	16499	22.976042	6.1328444	32.60236	-9.38459	-23.177357	0.08908422	156.66138362884521
16	-49.702045	20.411825	-30.402231	-77.94232	67.14913	53.230206	163.61768	-46.32106	400.0	400.0	17599	23.558195	6.9235497	36.36559	-11.205121	-23.709675	0.09711098	166.21297550201416
17	-5.4857597	76.74606	71.2603	-82.23182	0.9106968	71.20629	207.234	-112.5299	400.0	180.6	18699	23.857635	7.830851	32.871605	-8.596226	-23.999329	0.08398144	174.75103998184204
18	0.73305476	72.72466	144.88031	-47.47172	6.2219915	84.56719	230.6934	-98.31207	207.0	265.45	19799	24.408794	8.189642	34.091866	-11.16228	-24.555038	0.111225024	183.82835245132446
