Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	89.66974	10.697544	100.36728	78.97219	-62.314434	46.823765	52.577663	-135.06496	400.0	400.0	1099	0.22183734	0.091219574	0.5452566	-0.320847	-0.26083377	0.07061144	3.0014607906341553
2	146.92566	49.888268	211.3945	89.87018	-31.638834	89.365875	234.63768	-165.48608	400.0	400.0	2199	1.1797405	0.7573499	2.7707636	-1.7263824	-1.2444226	0.026666641	10.117422103881836
3	81.816124	44.553215	132.39282	23.985771	-35.43059	72.95517	137.38924	-168.37578	400.0	400.0	3299	3.0150375	1.6195061	5.5160227	-3.7688491	-3.0807905	0.015140367	17.499589443206787
4	124.6731	56.008904	171.939	45.995193	123.159	46.52056	225.94421	54.870975	400.0	400.0	4399	4.819595	2.449463	7.9230247	-4.0465546	-4.9466887	0.019218665	24.444533586502075
5	10.787995	22.947056	33.73505	-12.15906	129.07474	41.651997	218.62723	69.409294	400.0	400.0	5499	7.392852	2.3095446	10.381829	-3.4868293	-7.672887	0.019507425	31.421109914779663
6	79.73709	43.41793	141.09909	47.131554	131.23131	39.49408	230.30554	73.05351	400.0	400.0	6599	9.637288	2.1729205	12.14563	0.7362635	-9.823226	0.013960369	40.16799855232239
7	86.12423	8.319383	97.44726	77.69505	114.21849	41.29218	210.36446	54.210438	400.0	400.0	7699	11.333596	1.995081	13.505712	2.5433764	-11.475598	0.012138491	47.544854402542114
8	57.52582	10.177685	67.77515	43.64951	115.18522	35.29296	173.54015	52.515446	400.0	400.0	8799	12.623132	2.0200772	14.662811	3.13488	-12.712742	0.011246587	54.91921639442444
9	28.75527	12.047739	40.80301	16.707531	123.19234	38.09762	174.34914	56.816616	400.0	400.0	9899	13.57129	2.0967329	15.63875	3.4397354	-13.64959	0.0109727075	61.88876128196716
10	101.82648	27.259079	138.74953	73.767944	114.724045	30.020298	161.73561	63.089947	400.0	400.0	10999	14.524184	2.130005	16.619701	4.2897	-14.615408	0.012419208	68.86442542076111
11	127.49232	6.432243	132.68803	118.428085	109.81813	37.7275	186.08626	60.538715	400.0	400.0	12099	15.573911	2.130041	17.552942	5.0395055	-15.686441	0.014774029	75.24406218528748
12	158.8507	10.995126	173.67372	147.3713	120.95084	31.321863	202.49686	69.88342	400.0	400.0	13199	16.658781	2.084238	18.635286	5.958212	-16.753185	0.018317696	82.95336627960205
13	114.59279	49.063778	163.65657	65.529015	120.57764	35.865334	189.51645	60.13049	400.0	400.0	14299	17.542269	2.18248	19.466259	6.0670347	-17.595173	0.015052315	91.1429009437561
14	146.78545	83.6794	211.54967	28.627108	118.28461	40.24355	198.78917	53.230732	400.0	400.0	15399	18.270561	2.2995572	20.426914	6.0539703	-18.34506	0.014254311	98.92311263084412
15	117.35139	19.892303	143.51343	95.314	114.789406	28.758223	184.94685	53.25395	400.0	400.0	16499	19.264553	2.5982049	21.785793	5.856472	-19.353264	0.017152075	106.65730214118958
16	192.09648	26.946358	215.37427	154.32776	113.983116	29.830202	173.81754	56.01668	400.0	400.0	17599	20.263828	3.1254904	23.237635	4.5464916	-20.350489	0.0222372	115.61728501319885
17	94.99315	19.147793	114.140945	75.84536	125.94118	25.349928	186.31479	81.09785	400.0	400.0	18699	21.237246	3.6643546	24.667528	2.808926	-21.309069	0.027353395	123.31421995162964
18	165.6421	32.022835	191.15804	120.482056	121.157486	34.377472	206.27797	68.74493	400.0	400.0	19799	22.107285	4.2376184	26.04834	1.3009638	-22.167482	0.033194236	130.98353052139282
19	123.97666	33.674854	163.32286	81.067795	115.87706	46.17397	222.98334	62.60048	400.0	400.0	20899	22.940294	4.799695	27.309124	-0.0775491	-22.993294	0.03557727	138.3484718799591
20	95.125496	2.8926542	97.915245	91.13946	127.02562	33.620163	229.44406	80.52199	400.0	400.0	21999	23.641705	5.402579	28.479126	-1.270412	-23.686377	0.041995827	145.81919884681702
21	177.82144	10.948502	188.76994	166.87294	114.287964	33.867817	195.30147	54.825264	400.0	400.0	23099	24.387636	5.8985996	29.605364	-2.4513595	-24.432234	0.04945017	152.91043066978455
22	157.92183	38.22686	203.16716	109.67526	117.35001	46.233105	211.52086	61.457874	400.0	400.0	24199	25.190847	6.327294	30.76039	-3.2007103	-25.23728	0.05670806	160.50605869293213
23	156.2936	46.394367	194.58688	91.00723	121.19541	43.212894	218.18034	63.244755	400.0	400.0	25299	25.96384	6.7429624	31.883083	-3.753521	-26.008583	0.058042385	168.0224335193634
24	109.61719	16.298332	129.11507	89.22269	116.23903	46.710426	204.58333	56.075447	400.0	400.0	26399	26.626379	7.1903114	32.929726	-4.6016874	-26.669651	0.06726181	174.543288230896
25	150.15904	6.1200867	156.27913	144.03896	121.50883	41.92736	181.14223	58.111088	400.0	400.0	27499	27.311865	7.53591	33.9352	-4.8405867	-27.351124	0.07281198	182.01777601242065
26	103.222115	7.168028	109.145096	93.13605	117.299545	39.87513	221.76323	58.5147	400.0	400.0	28599	27.894001	7.9188137	34.86798	-4.776885	-27.928892	0.076978125	189.93439197540283
