Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	109.090164	8.728115	117.81828	100.36205	93.66072	88.15349	221.397	-99.170815	400.0	366.0	1099	0.15161629	0.1519401	0.49593636	-1.0918133	-0.19993526	0.043097943	7.3539605140686035
2	140.90999	27.66084	178.23694	112.11206	-27.738974	18.380589	18.085335	-57.717693	400.0	128.55	2199	1.3201691	0.8587461	3.2243078	-1.4472165	-1.4065351	0.010764018	21.42220425605774
3	123.69462	30.872625	156.16644	82.182945	-49.37924	55.481297	3.2807817	-232.68893	400.0	157.15	3299	3.418796	1.4741867	5.9333735	-1.4588503	-3.5108905	0.0044084005	36.44270896911621
4	127.46469	76.02947	193.80783	21.015146	-42.589996	50.899696	-5.388992	-214.99977	400.0	143.05	4399	5.58336	2.0182207	8.570791	-2.6754248	-5.6544914	0.0042786268	53.343305587768555
5	144.93452	56.38496	201.31949	88.54957	-46.563137	43.53973	-10.375433	-181.96594	400.0	165.2	5499	7.507557	2.746526	11.2527485	-4.9884896	-7.613812	0.005903695	66.3381187915802
6	155.19415	91.65018	231.81497	26.348825	-8.824461	64.47505	97.387764	-188.99695	400.0	216.3	6599	9.519586	3.3753283	13.524583	-6.156214	-9.653444	0.013891607	79.21621251106262
7	68.89289	28.702599	105.65395	35.605083	39.122475	87.56238	147.59694	-212.54816	400.0	331.6	7699	11.494492	3.8797953	15.829763	-6.3743505	-11.639536	0.0137941	96.3377959728241
8	17.555422	11.638649	29.667665	1.8474935	38.891575	77.95225	137.01765	-109.8181	400.0	305.65	8799	13.176271	4.354242	17.976147	-6.4438577	-13.372258	0.019797672	108.59443497657776
9	114.08679	77.831924	191.91872	36.254868	11.769339	91.14987	124.45231	-217.6444	400.0	356.65	9899	15.02675	4.392301	19.51649	-6.5287743	-15.201988	0.027587797	120.64011287689209
10	100.088356	48.945263	150.68338	33.881607	11.661726	71.038155	110.783264	-180.92198	400.0	328.05	10999	16.849821	3.9563556	20.690296	-6.4509296	-16.974888	0.03195021	134.27723288536072
11	66.03738	25.069464	94.82058	33.719193	25.047314	70.23366	121.04022	-152.5954	400.0	320.25	12099	18.16496	3.4304612	21.340824	-2.22486	-18.293541	0.028509378	147.4937117099762
12	122.48449	55.84011	193.77267	57.41808	35.330833	53.309204	130.84393	-49.61559	400.0	353.8	13199	19.35307	3.1229417	22.080067	3.4554384	-19.463793	0.024982665	161.29481720924377
13	86.98028	20.943893	107.92417	66.036385	34.7719	87.632256	142.56375	-158.99257	400.0	332.45	14299	20.434963	3.0201333	23.201307	3.7721562	-20.555546	0.021464761	177.62215852737427
14	85.103676	93.50532	217.48615	-41.01441	38.12455	57.416477	117.62704	-118.36835	325.5	330.3	15399	21.618517	2.8901005	24.328413	7.1603246	-21.743452	0.02013158	192.72602891921997
15	68.14838	1.8212852	69.96966	66.32709	-4.004195	49.892227	117.702484	-93.68869	400.0	303.95	16499	22.305248	2.9588468	24.731745	4.1238284	-22.325686	0.025043298	208.22242903709412
16	-24.786808	43.74795	38.96426	-70.11018	-12.576251	51.372696	43.877026	-114.04774	313.25	324.95	17599	22.435135	3.3307214	25.703373	2.7118485	-22.45425	0.031385925	222.42574858665466
17	-2.798355	36.956306	44.372387	-45.873314	82.894295	83.28475	254.13696	-46.779068	400.0	368.9	18699	22.604536	4.1745744	26.865383	1.0764483	-22.654137	0.03558146	237.6843934059143
18	74.3009	46.567406	137.30011	26.184736	52.964806	51.854816	156.08272	-66.81417	400.0	384.4	19799	22.923635	4.9709463	28.167953	0.79910225	-23.000298	0.037948087	251.20446491241455
19	6.2164044	16.054863	22.271267	-9.838458	35.95675	70.55185	141.32175	-85.190834	400.0	400.0	20899	23.27941	5.626154	29.329351	0.034571648	-23.363867	0.04969529	269.504269361496
20	80.94352	52.01716	133.02293	9.909612	101.71982	67.46017	215.52023	-12.747707	400.0	400.0	21999	23.72225	6.2279515	30.70652	-0.27912813	-23.839703	0.052179545	285.5291574001312
21	40.210052	44.24541	88.97065	-22.055098	-48.334152	47.01965	86.254524	-117.654274	319.75	241.1	23099	24.433685	6.7432137	32.184994	-0.26051277	-24.592505	0.058843322	299.4923276901245
22	-36.050533	16.728662	-18.626644	-67.55077	-44.918358	50.976906	128.12068	-130.48137	147.14285	238.35	24199	25.208443	7.1469884	33.805023	-2.4543524	-25.424067	0.09155378	313.29881715774536
23	-64.16267	71.525185	23.669733	-151.23378	-19.920347	63.29228	96.13336	-130.23798	285.0	298.6	25299	25.70371	7.8868575	35.344814	-2.9282727	-25.925404	0.11379055	326.6794078350067
24	-75.74942	12.074962	-61.61523	-91.11565	-25.585457	36.522472	39.65521	-90.376884	324.33334	361.1	26399	26.135313	8.480925	36.90237	-1.985264	-26.344042	0.11338978	342.42513847351074
25	-14.843626	30.542866	37.136116	-39.205864	0.98714674	95.409836	183.35393	-131.11076	269.25	374.3	27499	26.437801	8.920354	38.042156	-1.990339	-26.633171	0.11813464	356.22819471359253
26	30.468023	70.06674	147.28221	-26.1816	-23.128687	50.23674	104.1969	-109.580025	251.25	279.55	28599	26.995205	9.203816	39.193844	-2.84927	-27.228395	0.12575322	369.68818378448486
27	-9.0778675	41.168293	61.302265	-42.54578	-61.01834	55.385593	51.502983	-167.8875	266.75	308.4	29699	27.55199	9.557648	40.87716	-5.239154	-27.81855	0.14173764	382.4189007282257
28	-48.637848	60.046364	-4.5661783	-133.53555	-26.31759	45.559444	53.748158	-148.22278	400.0	297.65	30799	27.838459	9.939137	41.6738	-7.326924	-28.039816	0.14814048	395.24708890914917
29	73.88984	82.24512	135.64998	-42.346268	40.97182	107.027	192.89009	-139.25217	400.0	356.6	31899	28.037626	10.35759	42.34457	-8.998118	-28.243408	0.14501391	408.1154634952545
30	19.91466	73.52489	108.51605	-71.51574	62.10082	85.51074	214.51547	-36.05056	400.0	289.1	32999	28.358667	10.584833	42.983604	-10.003957	-28.575365	0.14668582	420.80197525024414
31	24.680035	67.8574	139.64696	-26.719984	68.13968	84.82218	178.94339	-129.02557	247.25	400.0	34099	28.625301	10.802106	43.84171	-10.568851	-28.833437	0.16083388	434.98403549194336
32	125.91573	6.9581056	135.17073	118.39313	84.67757	79.298065	171.27974	-138.74112	400.0	367.5	35199	28.903711	11.11784	44.68642	-9.475797	-29.120764	0.18225232	448.5818932056427
33	-12.191665	45.47839	51.940483	-48.468014	64.87148	95.36646	155.97299	-181.35246	296.66666	368.8	36299	29.272575	11.316177	45.624226	-6.625703	-29.519678	0.20801139	464.3420603275299
34	90.51721	29.19807	131.80646	69.43716	98.81652	73.94153	191.8083	-33.79286	400.0	354.4	37399	29.762426	11.490383	46.384144	-8.17233	-30.01317	0.19827642	479.6101243495941
35	134.6227	18.719904	158.49704	112.77775	82.58911	82.310036	230.13095	-50.086266	400.0	337.25	38499	30.299343	11.614738	47.084137	-8.831974	-30.544884	0.20444809	495.76415848731995
36	3.8944244	37.968346	48.34715	-43.41315	85.38391	69.28968	179.92326	-25.153383	243.0	323.85	39599	30.640612	11.739542	47.694977	-10.100265	-30.871672	0.21771044	510.5093319416046
37	175.62968	11.737317	192.2111	166.67627	124.37897	64.055405	218.73076	-17.22372	400.0	385.05	40699	31.103422	11.825393	48.270027	-10.797308	-31.351917	0.22878213	533.4214556217194
38	81.35577	67.6421	153.30205	-9.215711	94.90614	79.93362	219.29121	-40.383114	400.0	323.1	41799	31.802666	11.856651	48.942703	-11.04501	-32.065147	0.23686051	544.5550634860992
39	154.2257	46.86069	201.08638	107.365	80.09493	82.1011	236.94969	-51.667816	400.0	364.4	42899	32.452904	11.861993	49.61003	-11.112068	-32.73443	0.24505238	554.3624200820923
40	47.067333	85.49013	149.43967	-56.96553	96.14387	78.386665	247.26988	-84.372	322.75	393.05	43999	33.300972	11.855257	50.384712	-11.493229	-33.60743	0.26535615	569.4376876354218
41	141.7119	15.84457	164.11523	130.13177	90.35957	82.433685	239.79741	-75.20324	400.0	376.8	45099	34.128536	11.8534355	51.418755	-12.433589	-34.446014	0.29624277	590.2690982818604
42	72.435905	40.44783	112.883736	31.988073	93.274376	66.73717	202.76596	-34.87382	400.0	400.0	46199	34.985794	11.767615	52.13281	-12.356453	-35.292465	0.31526816	611.0840191841125
43	146.24501	18.330296	161.7694	120.503815	77.984024	65.94783	187.61775	-33.096664	400.0	386.6	47299	35.73972	11.669844	52.8489	-13.126217	-36.027832	0.33004877	626.0526037216187
44	93.955666	96.286545	168.29854	-42.016075	98.455376	70.55513	181.39282	-46.272747	315.0	385.75	48399	36.45506	11.501137	53.43771	-13.099801	-36.74242	0.3294144	642.633288860321
45	176.92082	7.011313	185.84166	168.71184	34.239296	87.252396	234.77126	-121.14368	400.0	384.15	49499	37.215874	11.409275	53.58744	-11.547505	-37.495483	0.33712605	657.650232553482
46	103.18183	74.99997	204.60803	25.597965	77.18692	101.86583	227.3554	-128.96085	400.0	384.75	50599	37.804718	11.378393	53.7623	-10.701229	-38.09399	0.35022327	674.0569143295288
47	123.96119	86.72162	186.31313	-25.04313	43.46399	76.55845	171.91173	-59.3265	321.25	368.25	51699	38.547375	11.250304	54.22851	-10.154648	-38.8689	0.35893315	688.1860766410828
48	-36.61132	52.70671	16.095394	-89.31803	87.82087	65.83718	190.95882	-47.184086	400.0	400.0	52799	39.27398	11.22619	54.688236	-10.05449	-39.61259	0.38465032	702.2202060222626
49	70.23993	29.304651	110.637726	42.0312	116.96057	77.11313	191.46797	-90.75273	400.0	400.0	53899	39.93569	11.206282	55.13611	-8.914322	-40.24564	0.36920828	717.0211408138275
50	95.201515	26.772522	132.74815	72.20451	87.1674	83.048874	200.38518	-100.67337	400.0	374.35	54999	40.48743	11.114974	55.504387	-9.061166	-40.79377	0.39996767	733.5878555774689
51	94.75492	52.424908	133.31438	20.635128	143.65231	43.985744	217.80074	61.062393	400.0	400.0	56099	41.003586	10.997422	55.87314	-8.47931	-41.323032	0.41459724	751.4439389705658
52	193.32834	11.514038	204.84238	181.8143	101.969894	66.01449	198.60327	-78.93911	400.0	400.0	57199	41.64548	10.891533	56.957737	-10.097266	-41.9684	0.42764473	767.4976308345795
53	79.328545	107.385	213.07027	-49.849384	117.14516	62.98746	196.2132	-5.2835007	400.0	400.0	58299	42.20896	10.867574	58.581154	-10.263861	-42.519135	0.47589484	782.1224389076233
