Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.1851845	45.833294	47.01848	-44.64811	-63.02533	194.2233	268.54453	-309.5576	400.0	400.0	1099	-0.30152553	0.044852983	-0.11872724	-0.5438745	0.26849103	0.07560411	3.535768508911133
2	-26.447538	108.44767	126.09447	-116.48619	-105.50051	159.88747	136.58427	-361.44168	400.0	400.0	2199	-0.020067563	0.7751129	2.3745747	-4.2038794	-0.08304692	0.029470721	13.662196159362793
3	-28.405586	40.336365	27.71734	-65.30993	-89.76636	157.45558	107.58177	-338.90005	400.0	400.0	3299	0.5209825	2.0596423	4.647668	-9.396038	-0.6558091	0.015141688	25.680256605148315
4	-36.662663	61.55891	47.626022	-97.67	-168.26733	133.0305	128.32964	-338.11642	400.0	400.0	4399	0.72864217	3.2130728	6.564281	-13.4972725	-0.892184	0.0219814	35.960859060287476
5	-17.718863	36.337456	18.618591	-54.056316	-110.511635	166.55077	248.96706	-291.8158	400.0	400.0	5499	1.451635	3.9547236	8.317997	-15.965586	-1.6156191	0.032388683	45.85999870300293
6	-13.802116	26.189415	22.89799	-36.47131	-176.90886	131.87766	92.0323	-341.1306	400.0	400.0	6599	1.9748923	4.4909606	9.838592	-18.56917	-2.1582096	0.037895404	56.309388875961304
7	-64.97576	66.55549	25.282536	-133.2248	-138.9693	150.8517	258.0342	-324.33972	400.0	400.0	7699	2.3332784	5.250145	11.486422	-20.35024	-2.5410368	0.060942024	66.4921646118164
8	-72.55448	52.439373	-3.519732	-130.53426	-170.14915	119.37093	83.591896	-349.36166	400.0	400.0	8799	2.8878813	5.959835	13.2289915	-22.582571	-3.1400235	0.084227726	78.28192567825317
9	-55.188976	30.091017	-25.09796	-85.27999	-144.17758	150.19337	170.38312	-361.3917	400.0	400.0	9899	3.5863965	6.451673	14.489738	-25.105043	-3.8688152	0.0822508	88.21044421195984
10	-100.19108	7.937744	-91.50596	-110.69304	-134.09427	175.39598	183.66745	-365.78607	400.0	400.0	10999	4.0775743	6.7883654	15.056783	-27.245897	-4.3346925	0.09253802	98.4457311630249
11	-85.067055	7.1798587	-75.94794	-93.49402	-158.22699	144.18394	101.04612	-351.61288	400.0	400.0	12099	4.444698	6.8260574	15.19649	-28.13835	-4.6964407	0.10398723	110.02708029747009
12	-59.336422	24.294163	-41.258	-93.67756	-184.23276	115.71089	116.32951	-328.1052	400.0	400.0	13199	4.936914	6.6136355	14.992997	-30.59087	-5.182178	0.11253824	120.66903185844421
13	-92.02383	25.091522	-66.932304	-117.11535	-160.40317	144.37482	182.8217	-352.02502	400.0	400.0	14299	5.436991	6.414257	14.617225	-32.0034	-5.702815	0.124248296	131.3506224155426
14	-45.968792	22.570038	-14.231751	-64.78355	-85.61152	152.78029	119.98238	-338.04843	400.0	400.0	15399	5.9402003	6.103207	14.524721	-31.947437	-6.193962	0.10811027	143.61887216567993
15	-108.545006	131.64969	69.818504	-243.95769	-129.19273	124.24759	118.14395	-313.7284	400.0	400.0	16499	6.181014	5.975526	14.350346	-31.30332	-6.360296	0.08883263	154.52177906036377
16	-204.42552	49.859432	-168.59546	-274.93427	-142.95233	154.54292	97.86068	-352.98053	400.0	400.0	17599	5.3731575	6.817484	14.468735	-31.743435	-5.4932823	0.09875915	165.6609489917755
17	-76.25125	165.60028	89.34904	-241.85153	-106.87364	156.73003	186.0773	-314.52866	400.0	400.0	18699	4.222575	8.004101	14.680625	-35.345543	-4.344023	0.09113753	175.62591218948364
18	-216.20378	81.15487	-117.03089	-315.81744	89.83703	39.3188	167.4268	21.604548	400.0	400.0	19799	3.4067054	9.078808	14.85591	-33.63485	-3.52273	0.082698464	186.0536720752716
19	43.507305	9.128488	56.400677	36.499737	62.463512	56.925667	232.54308	5.434921	400.0	400.0	20899	4.7638764	8.28912	14.919617	-41.142723	-5.5471764	0.115761034	196.8695707321167
20	40.07722	17.599255	54.117867	15.259543	66.01716	62.93297	244.35083	-13.604414	400.0	400.0	21999	7.4453073	5.2662587	13.401184	-33.377396	-7.834002	0.058647037	208.30725073814392
21	46.209595	23.867445	70.07704	22.34215	90.04426	60.29706	221.02953	11.448609	400.0	400.0	23099	7.9875393	4.8542943	14.2718525	-33.060463	-8.230497	0.044811063	220.6861674785614
22	92.16598	49.6487	129.88536	22.018606	42.1096	31.074286	132.86795	-1.9827605	400.0	400.0	24199	8.198307	5.1619635	15.205092	-32.53313	-8.39978	0.04013576	231.4330234527588
23	46.447845	9.581527	57.747505	34.321384	77.45316	52.716972	203.95863	7.3288617	400.0	400.0	25299	8.347473	5.579499	16.389803	-34.02337	-8.522545	0.03573087	242.33156204223633
24	81.481255	18.374973	104.33751	59.345505	53.98767	46.11438	223.99008	4.3297024	400.0	400.0	26399	8.456344	6.034676	17.679907	-32.776783	-8.609063	0.03900708	253.11511087417603
25	69.67097	31.967134	101.6381	37.70383	61.297127	42.740223	161.4305	-4.787874	400.0	400.0	27499	8.661706	6.5503683	18.957144	-30.80023	-8.838821	0.040493425	265.3572516441345
26	98.96595	95.38552	232.70253	16.81719	39.77314	39.584568	177.19221	-5.2909265	400.0	400.0	28599	9.039043	6.898721	19.826727	-27.82972	-9.215197	0.04196864	276.66429591178894
27	51.339474	24.009272	85.12835	31.546494	73.41362	40.909996	173.1233	16.24624	400.0	400.0	29699	9.334767	7.197793	20.19674	-29.506203	-9.511477	0.04269518	287.2792594432831
28	23.791048	11.689855	39.599854	11.69853	69.061806	63.77991	257.43152	10.95197	400.0	400.0	30799	9.741284	7.4316254	20.223158	-34.676517	-9.936662	0.047867045	298.01184368133545
29	100.76546	16.325832	117.091286	84.43962	59.795013	46.7082	184.50555	7.238737	400.0	400.0	31899	10.265658	7.538197	20.667856	-36.545406	-10.470779	0.058578935	310.2769949436188
30	16.787292	4.686897	21.635231	10.448783	69.062454	73.586464	281.21497	5.649736	400.0	400.0	32999	10.787294	7.455473	21.039377	-37.720936	-10.985909	0.07635226	320.6928770542145
31	20.804682	8.656382	32.04499	10.984408	73.78349	48.27209	209.42146	17.18619	400.0	400.0	34099	11.153136	7.3606095	21.793093	-35.991215	-11.312415	0.08086822	331.6892261505127
32	25.77075	29.368986	67.16731	2.1485536	75.64888	64.86314	247.51254	0.5651379	400.0	400.0	35199	11.364109	7.448393	22.387032	-33.83747	-11.500181	0.087061495	341.94142031669617
33	68.29847	20.34224	88.64071	47.95623	92.10048	77.078354	247.80873	0.124760374	400.0	400.0	36299	11.50331	7.617645	22.81703	-34.21719	-11.62883	0.089107774	352.52329683303833
34	81.52913	62.218346	163.12794	12.21816	58.22238	40.7935	158.25705	4.363802	400.0	400.0	37399	11.721435	7.841883	23.299135	-33.349873	-11.842962	0.08615251	362.5780119895935
35	102.450386	56.190895	173.24803	35.796238	59.078045	38.523983	171.52504	8.5633135	400.0	400.0	38499	11.882963	8.153941	24.065983	-37.75674	-12.004945	0.08360586	374.8087499141693
36	35.183697	33.59009	82.226875	5.948439	73.37168	58.558426	218.65227	-9.206998	400.0	400.0	39599	12.088337	8.44197	24.79791	-35.618904	-12.204705	0.08507063	385.9162163734436
37	70.44098	62.38924	132.83022	8.051736	78.9501	61.912666	236.50493	-7.635465	400.0	400.0	40699	12.294704	8.741211	25.712229	-37.64281	-12.4144535	0.08638716	396.5428650379181
38	30.083908	21.52156	56.39442	3.6778393	64.48032	54.664047	207.57199	3.624588	400.0	400.0	41799	12.5256405	8.980963	26.515675	-37.40996	-12.650909	0.09725347	407.65149903297424
39	43.277252	41.45639	101.85566	11.896038	40.895115	33.132034	95.668465	-3.1926534	400.0	400.0	42899	12.794355	9.212757	27.35136	-40.89496	-12.918032	0.09654773	418.55626249313354
40	21.757063	24.364511	53.424892	-5.837186	35.36364	22.210518	109.20007	10.986529	400.0	400.0	43999	12.9749975	9.369781	28.146072	-37.999207	-13.092477	0.09677977	429.20633697509766
41	58.35039	12.503811	70.8542	45.84658	68.639015	34.722248	137.66167	18.0452	400.0	400.0	45099	13.229621	9.514439	28.78628	-36.09102	-13.344099	0.110485144	438.92961287498474
42	102.92124	93.51718	234.64447	26.815756	77.500206	46.965443	170.48462	7.8041477	400.0	400.0	46199	13.536415	9.7651415	29.647657	-39.976807	-13.644424	0.11869081	449.73387718200684
