Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-78.96745	32.88481	-46.08264	-111.852264	-125.49453	68.04419	-40.071705	-258.82867	400.0	225.9	1099	-0.30924493	0.2454196	8.743515	-5.8329215	0.19749899	0.08472418	8.220057487487793
2	-21.995064	64.98915	48.144276	-108.50147	-90.939804	50.464443	-28.108088	-232.6373	400.0	151.9	2199	-0.19641942	1.0079023	12.663419	-16.683462	0.093733266	0.017359858	51.138874530792236
3	-31.953018	75.887314	75.20768	-90.60932	-100.27476	74.97226	-22.799482	-256.1612	400.0	179.15	3299	-0.07299502	2.174493	13.009377	-32.486156	-0.035834286	0.023507793	96.08018803596497
4	-49.768673	28.759327	-27.059025	-90.344246	-143.6842	71.23934	25.376724	-257.74698	400.0	263.5	4399	-0.03614061	3.3144333	7.8156266	-23.918818	-0.08590231	0.02864398	124.031090259552
5	-58.73842	6.0837383	-52.654682	-64.82216	-134.0946	95.12628	70.52629	-318.4378	400.0	249.35	5499	0.2000809	4.0904593	9.716119	-38.96273	-0.3476961	0.060981985	181.7064642906189
6	-5.7383194	72.11827	92.179214	-79.409134	-106.137955	97.53743	232.09586	-238.12257	400.0	246.85	6599	0.5722057	4.616416	12.2072525	-44.459534	-0.7773458	0.08008241	201.74007940292358
7	-72.4882	4.3787365	-67.56244	-78.2011	-131.38803	119.56107	245.95024	-282.8775	400.0	276.6	7699	1.1300145	4.9364123	12.934305	-43.437008	-1.3255686	0.101477355	253.00815176963806
8	-23.183416	39.4954	32.637314	-52.786316	-101.31234	45.872948	-46.468685	-191.20567	400.0	194.7	8799	1.5645971	5.2245502	13.792297	-39.03258	-1.7766038	0.09421645	306.7929468154907
9	-42.236904	22.238132	-19.99877	-64.47504	-103.35034	107.64146	270.42865	-270.5077	400.0	219.05	9899	2.3503842	5.1932387	34.00555	-48.545677	-2.611117	0.11704587	324.4296386241913
10	-79.29209	38.05953	-25.84175	-111.50247	-118.809204	75.66329	8.270645	-296.41296	400.0	254.3	10999	3.4199882	5.5866513	16.611282	-67.80961	-3.8732448	0.16103691	389.6691823005676
11	-93.11918	10.008713	-85.95484	-107.273285	-68.68318	32.1921	-29.74764	-150.48831	400.0	117.65	12099	5.020555	5.5220222	17.948261	-57.624207	-5.477612	0.115715176	426.1279647350311
12	-66.94437	39.478867	-23.895615	-119.25795	-96.90152	55.07352	-21.371218	-251.34288	400.0	195.65	13199	6.3789945	5.5014815	42.321278	-72.63006	-6.7713914	0.14473502	464.83953285217285
13	-83.334885	8.175156	-75.15973	-91.51004	-75.5266	48.51429	-10.03063	-232.107	400.0	160.15	14299	7.353927	5.559741	20.002401	-61.64758	-7.7191815	0.11326797	526.2702462673187
14	-57.235626	85.53327	81.10322	-144.20026	-94.9297	57.247692	-19.47107	-228.89055	346.25	220.45	15399	8.351151	5.6356454	28.596043	-98.04368	-8.6852865	0.15038341	542.4808797836304
15	-111.222984	72.331924	-27.081856	-200.2174	-99.04462	71.98402	-30.652882	-269.6777	260.5	169.45	16499	8.127755	6.7220287	28.213535	-43.518425	-8.337232	0.24662887	604.6687750816345
16	-55.06612	59.359207	23.333475	-159.0646	-49.13446	168.18422	217.23924	-360.1153	223.2	274.65	17599	7.4946795	7.9674873	34.58992	-59.71826	-7.7051597	0.59727615	639.7297315597534
17	-102.488434	137.65904	10.028189	-338.16055	-107.17717	86.33521	97.65567	-259.657	251.5	215.95	18699	6.9815583	8.958134	30.55642	-63.023327	-7.2223225	0.6877606	674.5761551856995
18	-90.504234	184.11601	164.407	-263.9301	-82.683975	136.26813	209.7	-247.58618	400.0	258.6	19799	6.9343953	9.452004	26.162207	-65.86642	-7.220139	0.7654732	738.1209256649017
19	-205.3587	24.25149	-177.86378	-236.86072	-140.56763	133.5733	186.71078	-376.3997	345.33334	261.15	20899	6.8191414	10.661706	27.527863	-68.77946	-7.1316223	0.8429114	752.6319997310638
20	-141.6083	117.30066	-42.436565	-378.67944	-59.638134	178.0427	249.39813	-264.23355	186.33333	318.1	21999	6.1943736	12.0297365	27.644226	-65.32629	-6.5012474	1.0915283	804.2144968509674
21	-86.663994	78.759415	4.2273383	-224.87451	0.0388649	191.49666	279.03217	-357.8986	219.0	363.9	23099	5.8825307	12.72011	26.727243	-63.00535	-6.213899	1.2728662	867.2784085273743
