Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-141.98326	13.106567	-128.8767	-155.08983	-78.89342	43.21299	-13.709834	-152.20628	400.0	152.9	1099	-0.46590492	0.09202145	-0.04163082	-0.68691236	0.4651906	0.10042193	2.729761838912964
2	-69.33854	34.589622	-23.825583	-107.62213	-101.01499	58.276043	-25.397257	-239.92003	400.0	196.5	2199	-1.1868352	0.8568034	0.94034684	-4.9336843	1.1377558	0.022126395	18.839030981063843
3	-36.586803	9.60432	-23.03352	-44.13532	-81.91281	140.71591	280.89548	-261.965	400.0	328.8	3299	-1.3485378	1.7230196	2.4284587	-7.7061076	1.0645064	0.019224778	35.251147508621216
4	-22.340485	41.50146	36.057556	-56.619694	-40.621693	114.825264	249.34547	-146.1633	400.0	400.0	4399	-0.26101953	2.226006	4.2666907	-9.204637	-0.08923001	0.017141439	52.18368315696716
5	-60.66732	11.094658	-49.572662	-71.76198	-0.91461676	47.97521	96.79812	-89.37273	400.0	400.0	5499	1.0247655	2.522504	6.2575355	-9.521711	-1.4103913	0.012670217	69.5631754398346
6	-24.812048	60.910763	61.328392	-68.10548	30.643574	30.780428	101.08432	-12.938324	400.0	400.0	6599	2.3969026	2.8645973	8.145574	-9.81395	-2.8037002	0.014965685	86.81255865097046
7	-41.276417	55.749325	29.574966	-106.65276	43.22342	47.965046	121.3273	-18.466013	400.0	400.0	7699	3.8514245	3.25688	10.021719	-9.9162	-4.277375	0.01327744	103.71181011199951
8	-103.867836	37.28515	-52.3942	-139.51028	42.715233	51.655136	196.43704	-28.306889	400.0	400.0	8799	5.2826467	3.633644	11.7556715	-10.303528	-5.721411	0.013828183	120.3712375164032
9	-26.084743	5.7317486	-20.352995	-31.816492	44.763763	39.048008	126.55587	0.6545843	400.0	400.0	9899	6.6464868	3.9903324	13.31099	-10.8573675	-7.10156	0.016475767	138.4354386329651
10	-72.58165	31.004244	-29.11676	-99.313835	50.783268	53.985527	198.93327	-5.82554	400.0	400.0	10999	8.079407	4.1208415	14.8508835	-11.059977	-8.537079	0.016234215	156.70393538475037
11	-94.88155	8.637402	-87.01299	-106.90727	46.413555	35.040604	131.8226	8.29337	400.0	400.0	12099	9.278166	4.2324896	16.163065	-11.022238	-9.725969	0.019577483	175.04832768440247
