Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	141.96527	4.570015	146.5353	137.39526	88.44828	52.26253	202.23402	11.245	400.0	400.0	1099	0.4637435	0.10723917	0.61645484	-0.05356309	-0.47219318	0.11175165	5.3733837604522705
2	76.292114	30.712776	113.074776	37.896065	112.17751	54.97131	204.55182	29.1655	400.0	400.0	2199	1.7127433	1.0612022	4.3081746	-0.16458356	-1.8227426	0.03805456	24.357759714126587
3	74.07604	23.523504	101.609406	44.13938	80.76366	57.74737	215.40828	11.145577	400.0	400.0	3299	3.745619	1.9448532	7.4793596	-0.6797806	-3.9143138	0.025140183	42.74490261077881
4	68.81992	12.074429	85.31749	56.755314	98.633	56.762367	218.02	7.5517893	400.0	400.0	4399	5.925673	2.6302218	10.4736	-0.6688326	-6.220024	0.04921008	61.09119510650635
5	117.50757	9.903732	127.4113	107.603836	94.12959	42.350925	189.5557	22.395603	400.0	400.0	5499	8.596633	3.005772	13.291737	-0.20683554	-8.968388	0.06274848	78.91242671012878
6	103.07168	31.641655	142.46744	64.995224	109.674484	48.64759	185.17714	37.381893	400.0	400.0	6599	11.293748	3.3446896	16.162838	0.06865114	-11.658525	0.079152204	98.79974389076233
7	29.810019	20.430502	57.844505	9.738127	74.913445	45.004555	181.29839	11.591027	400.0	400.0	7699	13.735545	3.6726441	18.825544	-1.141645	-14.148801	0.112252854	116.05039811134338
8	66.75115	11.836561	82.3536	53.698364	122.71216	48.57028	217.71222	18.806936	400.0	400.0	8799	16.180788	3.8687298	21.200912	-1.114557	-16.610321	0.120268136	134.39713311195374
9	81.33786	1.4825668	82.82043	79.85529	122.85321	59.997868	233.07901	24.048496	400.0	400.0	9899	18.482702	3.8239098	23.251709	0.02930671	-18.860703	0.11426324	153.07705974578857
10	67.2165	44.43964	117.35333	9.329709	88.08229	56.896275	192.92874	3.1569414	400.0	400.0	10999	20.399387	3.8013031	25.04675	1.9150872	-20.731451	0.119120926	170.8729166984558
11	83.4804	14.785405	102.79181	66.881035	95.58556	50.268467	199.67668	4.948743	400.0	400.0	12099	21.963787	3.850479	26.565128	3.0305033	-22.272772	0.107044674	190.34161615371704
12	72.8709	35.67533	116.968254	29.593441	88.27902	56.410305	252.91933	8.072437	400.0	400.0	13199	23.385735	3.8873975	28.000196	2.552586	-23.688902	0.107595704	208.41924023628235
13	95.45032	22.855553	118.30587	72.594765	72.69457	51.895794	166.37064	-8.898274	400.0	400.0	14299	24.742321	3.9673736	29.402706	2.7722085	-25.040874	0.10549276	226.80823421478271
14	93.62128	29.174728	128.31696	56.936825	77.96983	40.87161	139.00314	-1.1531647	400.0	400.0	15399	25.994396	4.103538	30.678587	3.4188867	-26.275972	0.12095642	247.1318483352661
15	117.59271	26.800127	155.46071	97.28699	107.62804	53.23202	189.70773	6.536733	400.0	400.0	16499	26.708662	4.4241695	31.860113	2.881339	-26.820885	0.16085441	266.335834980011
16	65.47701	73.41959	162.50319	-15.053199	95.66026	41.975494	190.94916	13.451597	400.0	400.0	17599	26.82624	5.2786894	33.098625	1.8892539	-26.891272	0.31027022	286.00564908981323
17	105.08044	49.223335	154.30377	55.8571	86.95636	52.174305	195.46432	2.9880562	400.0	400.0	18699	26.655943	6.424733	34.444862	0.89288574	-26.700834	0.5604918	305.25691628456116
18	73.83495	30.266912	105.76108	33.180374	87.020035	63.60286	222.70148	8.225384	400.0	400.0	19799	26.492817	7.4675546	35.657322	0.2356162	-26.537819	0.87921506	324.25247168540955
19	52.996586	27.453373	83.94092	17.217583	64.379196	51.689556	178.55266	-1.3433998	400.0	400.0	20899	26.19759	8.4354925	36.702255	-0.9097552	-26.244635	1.2887965	343.1090257167816
20	143.97615	53.9701	190.53636	68.319824	110.74503	65.171555	233.56956	4.25097	400.0	400.0	21999	25.976515	9.2220955	37.599026	-3.0007646	-26.024649	1.541014	363.71314215660095
21	64.15612	23.299072	87.45519	40.857044	84.1765	47.761345	192.21811	-11.508432	400.0	400.0	23099	25.858234	9.793548	38.16029	-5.283381	-25.904926	1.9403563	383.91744780540466
22	97.32858	11.289877	105.72936	81.369705	110.644226	60.59507	244.07231	10.261994	400.0	400.0	24199	25.577726	10.239014	38.472363	-7.70134	-25.61821	2.2997866	403.015944480896
23	98.35723	26.474901	123.71513	61.822186	79.211624	46.66784	185.45575	7.4147277	400.0	400.0	25299	25.35324	10.637569	38.73403	-9.738266	-25.396624	2.3926985	422.3223750591278
24	64.49131	46.481487	110.10154	0.6914048	87.14193	53.571728	204.32776	-0.022541359	400.0	400.0	26399	25.09828	10.989923	39.03414	-11.964731	-25.130697	2.446998	441.80099987983704
25	112.565186	35.204685	147.76987	77.3605	100.11487	57.753033	237.4491	14.630458	400.0	400.0	27499	24.812449	11.33644	39.3476	-14.054444	-24.844784	2.5065098	460.76720571517944
26	100.03423	64.74583	174.16693	16.424465	85.68854	62.242752	206.60977	-5.5968337	400.0	400.0	28599	24.705233	11.662811	39.74928	-15.60467	-24.738926	2.4881175	480.1096353530884
27	86.77766	48.492523	155.27193	49.58287	98.178566	52.915257	216.88695	20.489553	400.0	400.0	29699	24.372272	12.155633	40.303623	-17.20796	-24.406073	2.68104	500.01347398757935
28	94.18966	42.87249	145.32808	40.4119	98.32969	65.14149	238.50089	-6.811416	400.0	400.0	30799	24.128405	12.628094	40.714264	-18.765034	-24.160957	2.7258606	519.0439355373383
29	83.805145	67.76103	151.56618	16.04412	85.57532	38.967632	166.1527	30.944921	400.0	400.0	31899	23.883743	13.0002985	41.244118	-20.048157	-23.915073	2.8571205	537.7275288105011
30	81.117775	17.849426	104.12751	60.623074	108.00966	57.98053	202.84093	-4.5522304	400.0	400.0	32999	23.580706	13.375029	41.587418	-21.116123	-23.607702	3.1547596	556.3544707298279
31	101.85128	38.60617	143.5886	50.50062	122.408264	61.741467	215.1573	11.639081	400.0	400.0	34099	23.236628	13.664745	41.911182	-22.086815	-23.27113	2.9716897	575.480818271637
32	139.41557	41.689144	181.1886	82.49799	103.551865	48.930126	190.71402	-6.84799	400.0	400.0	35199	23.129215	13.948942	42.287674	-22.94044	-23.162588	3.016707	595.4590442180634
33	162.52979	10.003326	172.53311	152.52646	108.57798	59.24739	216.67897	7.033559	400.0	400.0	36299	23.14736	14.300658	42.70624	-23.66907	-23.183899	3.0758393	615.0878279209137
34	103.90635	7.206059	113.98748	97.573875	100.922485	51.32451	212.56798	27.239779	400.0	400.0	37399	23.068909	14.539133	43.13772	-24.337711	-23.106258	3.325046	633.1047344207764
35	88.351204	27.100645	125.9015	62.93156	86.43473	53.95603	232.61154	7.9055486	400.0	400.0	38499	22.832481	14.792804	43.47582	-24.869843	-22.87097	3.3520916	652.8314583301544
36	58.87527	33.799553	106.661606	34.00005	106.41173	63.58405	212.94563	16.424149	400.0	400.0	39599	22.61653	15.030254	43.8709	-25.629808	-22.651455	3.3234143	672.6983597278595
37	69.37919	56.57102	125.95021	12.808169	98.22849	51.14293	219.77061	4.4935493	400.0	400.0	40699	22.357956	15.337152	44.212193	-26.405668	-22.394125	3.503888	691.6971929073334
38	114.242424	5.073418	121.3861	110.09158	95.876396	51.59767	200.37546	18.22719	400.0	400.0	41799	22.118515	15.5017395	44.49956	-27.067837	-22.158255	3.5559704	711.7792477607727
