Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	146.27794	9.615982	155.89392	136.66196	-46.26674	32.04451	48.822697	-91.12605	400.0	327.35	1099	0.108329915	0.10700494	0.35544583	-0.46976256	-0.14117488	0.11201953	4.4987006187438965
2	97.71579	40.393837	149.87798	51.464848	88.77732	57.375675	197.31142	-3.443245	400.0	400.0	2199	1.4490697	1.0415195	3.8181343	-0.69280714	-1.5748833	0.044105783	21.17191505432129
3	79.96494	27.63362	118.72808	56.283417	81.803024	47.908363	198.06514	-1.2805791	400.0	400.0	3299	3.7604845	1.6804978	7.3683095	-1.3402039	-3.9527283	0.026816573	37.73223423957825
4	63.727657	21.476381	91.96916	39.928814	117.71681	51.53689	215.39891	42.356487	400.0	400.0	4399	6.1070333	2.2254753	10.3887615	-1.276751	-6.386282	0.03749819	54.22721600532532
5	43.412018	11.324324	54.73634	32.087692	98.688126	56.197685	252.04613	27.686087	400.0	400.0	5499	8.470643	2.619861	13.365447	0.2231943	-8.796131	0.044623133	70.77486252784729
6	42.482807	8.44308	51.12408	31.026018	91.877884	56.082428	251.16101	11.152903	400.0	400.0	6599	10.7010145	2.864937	15.70314	0.5246064	-11.029673	0.059205364	87.0879635810852
7	61.856934	14.761557	73.02139	40.998207	85.982285	53.43171	228.6315	3.568973	400.0	400.0	7699	12.910756	3.1253135	17.879158	0.5431364	-13.282898	0.072156124	103.3701536655426
8	96.507835	17.737318	121.513664	82.287415	122.97768	61.886024	233.11105	31.531895	400.0	400.0	8799	15.239319	3.2962186	20.041553	1.2226626	-15.63156	0.070405506	119.80197072029114
9	105.72606	17.215641	122.941696	88.510414	84.09322	49.41186	178.58151	7.5419054	400.0	400.0	9899	17.469217	3.2541258	22.091433	3.5863721	-17.842306	0.061435934	135.24910354614258
10	77.1307	49.906395	147.56549	38.017475	98.07326	64.358665	214.11406	2.7868104	400.0	400.0	10999	19.517365	3.3357942	24.101109	2.8378336	-19.899315	0.06530725	151.1075780391693
11	38.57388	35.906815	88.69106	6.4336443	89.77997	50.622494	190.17105	-8.023091	400.0	400.0	12099	21.486942	3.403487	25.998878	5.247596	-21.873697	0.057839625	168.27415084838867
12	41.49374	6.2572517	50.29869	36.32679	97.28327	41.52316	172.29951	18.366901	400.0	400.0	13199	23.317022	3.4322107	27.805206	6.330635	-23.70586	0.06419024	185.34490609169006
13	70.75484	45.76618	116.52101	24.988655	126.49742	67.18271	274.6014	-6.174122	400.0	400.0	14299	24.982304	3.4792767	29.36503	7.423203	-25.355148	0.063554116	202.25381803512573
