Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	122.1821	8.520157	130.70226	113.66194	119.80416	67.98936	280.26672	12.394299	400.0	400.0	1099	0.53680784	0.3208615	1.952431	-2.976531	-0.99965566	0.13885584	3.0399343967437744
2	54.397938	10.702225	62.835747	39.297447	130.28119	36.327908	189.70728	57.008385	400.0	400.0	2199	2.2554648	1.3792853	11.74934	-8.438299	-2.485253	0.042959828	9.692713022232056
3	63.359924	17.57788	85.33257	42.30509	-73.770584	55.678623	49.286556	-154.98317	400.0	331.7	3299	4.555493	2.7190437	10.227372	-11.196055	-4.811252	0.10724626	17.37341547012329
4	111.39501	46.580853	156.89256	47.389202	-54.063526	42.36714	74.581795	-114.05125	400.0	388.5	4399	6.857207	4.275204	26.245388	-41.426407	-7.160938	0.25125968	23.981266498565674
5	42.08504	15.562684	57.647724	26.522356	88.94084	48.892197	186.92699	-0.3146369	400.0	400.0	5499	9.016003	5.221549	23.54778	-19.925894	-9.353521	0.47841376	31.096352338790894
6	85.33259	23.763092	118.89434	67.05724	88.21888	41.407303	182.44159	16.035505	400.0	382.6	6599	11.441081	5.8051925	30.942533	-52.21534	-11.863981	0.67832166	37.93494462966919
7	88.59936	43.238132	146.7061	43.053303	84.065506	47.82268	175.65852	-17.155745	400.0	400.0	7699	14.359319	6.0724206	25.133955	-21.558617	-14.894218	0.8053912	45.9590744972229
8	40.04935	26.314442	68.48157	5.0394545	64.35244	62.379326	167.87549	-29.956692	400.0	393.35	8799	17.448923	6.3850617	30.879013	-18.23142	-18.006027	0.8331792	52.67784261703491
9	124.08859	48.892242	172.98083	75.19635	63.465538	58.237167	192.29231	-35.86292	400.0	400.0	9899	20.353111	6.88655	32.697483	-33.701603	-20.963572	1.0146216	59.51317095756531
10	94.38373	35.391666	129.16208	45.822376	42.214714	55.038586	151.21574	-88.58724	400.0	400.0	10999	23.570086	7.0987434	39.445587	-24.223293	-24.2114	1.092349	66.63782572746277
11	112.51709	63.592003	163.2284	22.840466	67.16758	67.6999	141.79411	-100.01843	400.0	400.0	12099	26.60694	7.4382625	42.72235	-21.290192	-27.26327	1.0995735	73.55714011192322
12	53.604084	24.493437	85.18161	25.484972	49.672935	65.69047	137.51605	-131.82326	400.0	400.0	13199	29.648016	7.651824	45.930965	-28.907448	-30.287663	1.0566342	81.7833514213562
13	111.40822	20.8334	132.24162	90.57482	80.12439	61.7238	173.56627	-46.599873	400.0	393.3	14299	32.312046	7.777978	48.44993	-43.19092	-32.95513	1.1607947	88.89062738418579
14	56.567608	14.30795	76.801094	46.275986	41.501865	65.487076	140.07983	-108.28487	400.0	394.5	15399	34.972775	7.8515353	52.553574	-25.861937	-35.584652	1.1433046	95.75172710418701
15	-23.140251	54.4188	49.29683	-81.87015	18.202505	62.5163	123.48649	-111.22236	400.0	400.0	16499	35.926834	8.805753	54.927914	-26.849873	-36.167572	1.2466567	103.26372218132019
16	-14.738717	63.666153	69.21814	-84.88634	-36.340992	58.181892	98.997154	-110.45878	400.0	378.7	17599	35.600204	10.434285	71.21852	-28.494684	-35.909195	1.5202936	110.12272310256958
17	-28.771765	65.404945	36.633183	-94.17671	-13.169904	48.7532	89.54395	-113.657364	400.0	390.25	18699	35.791225	11.732393	70.96879	-23.567719	-36.1788	1.7736359	116.31993699073792
18	-0.029582977	28.223646	35.21786	-33.872875	28.432318	32.912907	118.79588	-8.605594	400.0	400.0	19799	36.04635	12.982205	63.959297	-31.76724	-36.396076	1.9180241	124.57475304603577
19	16.487915	6.6363564	22.292032	7.1986804	6.775476	42.77146	65.46921	-58.28206	341.33334	391.1	20899	36.06997	13.93365	66.199745	-49.45138	-36.406128	2.3870356	131.22870755195618
20	12.607356	3.7148275	16.885677	7.8277617	42.662518	61.54145	161.90913	-58.210094	400.0	392.25	21999	36.301777	14.785526	67.33532	-32.67871	-36.71694	2.6810222	138.1785078048706
21	64.558525	21.522278	90.640526	37.930416	44.055763	68.28061	211.52328	-77.70143	400.0	400.0	23099	37.17628	15.244176	71.43786	-38.80472	-37.67454	2.9172873	144.92435598373413
22	38.838257	72.198555	128.23674	-48.579605	45.366802	78.25897	251.46584	-51.403618	360.66666	381.45	24199	38.328533	15.741854	74.2948	-56.774406	-38.904568	3.256601	151.59998989105225
23	46.983814	36.47836	83.46217	10.505454	62.119343	52.526157	187.39055	-40.453857	400.0	394.25	25299	39.4361	16.756483	77.769966	-57.084408	-39.9956	3.394479	158.61366319656372
24	80.84493	54.037113	129.35889	5.4527307	95.75182	63.487614	221.25449	-20.237692	400.0	400.0	26399	40.48037	17.202724	78.86342	-58.900635	-41.01376	3.623033	165.8297951221466
25	128.08516	68.39488	224.4593	72.77005	135.46603	51.685493	217.19788	3.8055565	400.0	400.0	27499	41.482986	17.627804	79.430626	-60.278057	-42.00604	3.504695	176.43850445747375
26	77.62162	73.620895	175.24086	-2.5395288	129.39883	51.20276	206.4575	19.476027	400.0	394.15	28599	42.625206	18.006277	82.435	-60.655857	-43.161358	3.6639786	185.45803594589233
27	138.32996	68.54825	206.8782	69.7817	75.22522	52.676243	172.89815	-35.269814	400.0	400.0	29699	43.76936	18.258825	84.64005	-63.101288	-44.331932	3.6418447	197.76057028770447
28	106.43511	22.824461	134.48038	78.573	75.898964	71.99011	220.68057	-53.852036	400.0	393.1	30799	44.869316	18.290236	85.34093	-64.20842	-45.41532	3.7721093	208.79427242279053
29	47.284657	80.16175	127.268715	-62.283028	84.84787	67.74214	257.56937	-96.63194	400.0	400.0	31899	45.72931	18.230236	91.699776	-66.15787	-46.259575	3.7941344	221.17430663108826
30	85.05176	15.011765	101.11969	65.00131	58.796913	63.557133	189.29665	-86.42401	400.0	400.0	32999	46.351933	18.44342	88.44493	-66.17463	-46.86774	3.8243456	231.2554008960724
31	121.350334	82.58896	203.93929	38.76138	90.393326	53.18337	184.76965	-2.4730582	400.0	400.0	34099	47.096264	18.51529	90.26692	-66.67025	-47.62108	3.9552734	241.6404869556427
32	43.0948	39.530247	74.40371	-12.669197	126.4496	40.25739	200.4639	65.60261	400.0	400.0	35199	47.80239	18.670427	87.53293	-66.56511	-48.32458	4.011836	253.6215250492096
33	75.64124	28.679033	103.44575	36.167274	119.42992	56.362003	229.57375	14.167064	400.0	400.0	36299	48.375256	18.783964	89.12294	-67.388145	-48.901516	4.2664566	264.0093858242035
34	137.70781	45.409252	200.30574	93.99413	143.84251	53.016293	241.35701	-2.9247136	400.0	400.0	37399	49.117596	18.71893	90.60247	-68.93363	-49.611237	4.299017	274.22632098197937
35	74.81051	79.05755	153.86806	-4.2470427	146.13951	50.133377	247.91466	34.833054	400.0	400.0	38499	49.64808	18.571428	91.266685	-69.03118	-50.130783	4.325998	286.4260802268982
36	154.4717	20.69211	183.05138	134.737	152.40443	37.101696	234.71951	89.57102	400.0	400.0	39599	50.124226	18.434132	90.44304	-67.31911	-50.6093	4.34403	296.82627415657043
37	127.16803	53.285492	191.60043	61.1086	110.26896	70.71733	231.69525	-12.175251	400.0	400.0	40699	50.604	18.248405	89.51589	-64.86256	-51.082752	4.237009	306.99469351768494
38	156.76205	29.999336	193.8059	120.33048	141.06267	53.37034	235.10327	38.623604	400.0	400.0	41799	51.19395	18.023336	89.668	-62.945152	-51.685265	4.149519	320.1324610710144
39	202.5367	10.108154	212.64485	192.42854	142.84036	58.78999	240.96873	11.088003	400.0	400.0	42899	51.85821	17.806181	91.55302	-62.182117	-52.339073	3.8919904	330.375839471817
40	145.46272	59.23104	206.45836	65.24446	125.880554	46.324795	191.33897	36.157703	400.0	400.0	43999	52.43993	17.526556	88.764336	-62.069424	-52.934566	3.8777642	341.9847905635834
41	159.62354	25.829334	180.89397	123.270454	154.98653	41.509125	231.4914	62.203632	400.0	400.0	45099	53.009865	17.305807	90.78289	-62.24896	-53.494213	3.9649463	355.63285088539124
42	137.4522	62.353844	216.56075	64.15803	164.20421	45.092285	264.78534	68.72047	400.0	400.0	46199	53.561466	17.03788	90.92001	-62.96766	-54.086666	3.6451073	366.79520654678345
43	152.44077	49.377144	201.8179	103.063614	168.03079	33.685795	220.82971	81.19506	400.0	400.0	47299	54.413307	17.027079	89.85186	-63.72372	-54.942772	3.4768236	377.51466631889343
44	236.17021	33.953064	263.21414	188.28714	141.43301	59.981644	255.49767	33.34771	400.0	400.0	48399	55.1944	16.934729	92.48071	-63.444176	-55.719288	3.479158	389.06416416168213
45	163.82661	38.91382	213.83205	118.92364	143.99236	50.81513	243.14995	61.15115	400.0	400.0	49499	55.942635	16.836458	93.087234	-64.06619	-56.44881	3.40487	399.9473569393158
46	181.4522	41.209404	239.64105	149.55339	171.87727	56.020527	257.67343	42.66718	400.0	400.0	50599	56.51259	16.744125	100.81277	-64.374214	-57.002594	3.4804385	413.75894570350647
47	157.6034	18.80935	176.41273	138.79404	149.63258	34.008617	203.04938	83.59352	400.0	400.0	51699	57.074978	16.554964	92.10042	-61.864216	-57.5574	3.216426	425.0932581424713
48	162.63576	9.8932705	172.73262	149.19952	144.16824	36.823795	194.94504	66.614944	400.0	400.0	52799	57.512344	16.314714	94.762245	-58.741978	-57.974808	3.2347937	435.90566873550415
