Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-17.145905	4.351804	-12.7941	-21.497707	-20.90481	171.95361	248.14052	-295.0509	400.0	400.0	1099	-0.12305724	0.12540305	0.44100326	-1.0146122	0.08689421	0.08899052	3.170165777206421
2	-96.00089	42.38808	-38.491306	-139.40524	32.468	64.992386	144.82935	-86.849655	400.0	369.25	2199	-0.44530472	0.8055935	1.5818365	-5.6385765	0.38846818	0.030374894	11.173030853271484
3	-60.491135	74.06951	24.506472	-156.00876	70.217636	58.099796	192.37099	-55.5717	400.0	367.85	3299	-0.57286286	1.819074	3.13619	-7.461904	0.4262137	0.025491295	20.5261127948761
4	-65.120384	17.744879	-40.36878	-81.07944	-17.002779	66.973015	102.07894	-137.48964	400.0	322.8	4399	-0.34782687	2.3792336	4.224497	-10.146664	0.14475228	0.027797412	29.762552499771118
5	24.611332	75.04988	99.66122	-50.438553	22.267263	78.483185	228.57758	-87.06306	400.0	367.7	5499	0.12361656	2.7974527	5.626633	-11.720349	-0.30594635	0.019692257	38.25072455406189
6	-60.448017	10.444991	-49.26767	-74.39861	38.929844	71.62964	134.97554	-94.57913	400.0	368.7	6599	0.8415657	3.107263	6.9654093	-12.381278	-1.1258179	0.014791426	46.25687527656555
7	-79.91511	58.413452	-15.435043	-156.87581	30.713482	67.50748	169.53978	-57.3705	400.0	352.85	7699	1.6922817	3.3183918	8.228111	-12.826762	-2.0035894	0.015172681	54.50716781616211
8	-84.28403	31.259779	-41.236893	-114.523605	37.62915	80.9143	248.5415	-77.35107	400.0	385.25	8799	2.6368139	3.572311	9.501157	-13.099055	-2.9867334	0.014466447	63.83726191520691
9	-111.882866	39.17846	-72.70441	-151.06133	45.317787	58.672184	166.51036	-83.33347	400.0	369.8	9899	3.621891	3.718425	10.967538	-13.442841	-3.9828036	0.0140301725	72.39928483963013
10	-134.177	9.9740505	-122.938194	-147.1781	48.25129	47.722782	118.56581	-58.129932	400.0	384.55	10999	4.305246	4.0328126	12.092447	-15.673069	-4.6509924	0.01931279	80.77275729179382
11	24.303282	79.12278	115.668236	-77.32519	36.506554	48.63406	143.0322	-25.34895	400.0	400.0	12099	5.1356683	4.2336025	13.408429	-15.964214	-5.489243	0.025627015	89.51146054267883
12	-23.749857	36.362663	9.0527525	-74.44922	44.132156	39.728096	120.37191	-58.77852	400.0	384.95	13199	6.275459	4.4090343	14.733925	-16.458527	-6.6613517	0.028959563	99.22423601150513
13	-104.7101	32.14407	-72.56603	-136.85417	54.734184	30.8699	146.72878	6.7657	400.0	400.0	14299	7.3330264	4.4859633	16.095512	-16.48341	-7.729027	0.028020497	107.42169308662415
14	35.768116	128.12819	216.47086	-66.20815	62.588768	29.229847	108.346466	-1.4596999	400.0	400.0	15399	8.397641	4.5918236	17.741428	-16.599712	-8.80713	0.031306088	117.11320781707764
15	50.751324	66.581345	144.89508	2.153697	43.367374	37.20304	108.32849	-66.44324	400.0	385.6	16499	9.722398	4.790927	19.468142	-17.192034	-10.058194	0.039464034	125.49298477172852
16	57.635456	34.466564	96.382614	12.651149	26.918385	31.83269	99.12439	-31.279024	400.0	400.0	17599	10.36843	5.2892632	21.031366	-18.995535	-10.605071	0.0435591	134.43974804878235
17	60.011833	24.07686	84.08869	35.93497	69.84078	33.21589	164.48514	22.983723	400.0	400.0	18699	10.710045	5.921269	22.70494	-22.172537	-10.908325	0.05063784	143.08635067939758
