Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	282.38892	5.087082	287.476	277.30185	291.77026	0.010498673	291.81598	291.76773	400.0	400.0	1099	1.197912	0.24819745	1.4755815	0.4387759	-1.2255956	0.042002127	3.249647617340088
2	284.2986	0.93147284	285.442	283.16037	299.20248	0.0032591003	299.20325	299.1883	400.0	400.0	2199	3.5362601	1.2160962	5.6073914	1.4114977	-3.6031098	0.001606156	11.745757579803467
3	285.02234	2.5485816	287.3465	281.47455	299.20795	3.0517578e-05	299.20792	299.20792	400.0	400.0	3299	7.4199743	1.0473139	9.227477	5.484681	-7.4474993	0.0009959544	22.055925369262695
4	287.0333	0.2680771	287.4057	286.7856	299.20993	0.0	299.20993	299.20993	400.0	400.0	4399	10.936558	0.9843514	12.63029	9.115045	-10.954362	0.0008430321	30.35619854927063
5	282.72827	4.560196	287.28848	278.1681	299.211	0.0	299.211	299.211	400.0	400.0	5499	14.239425	0.92389643	15.826383	12.559486	-14.251977	0.00075952034	38.86302304267883
6	283.7665	3.121391	288.01166	280.59576	299.2118	3.0517578e-05	299.21176	299.21176	400.0	400.0	6599	17.344816	0.8708209	18.848566	15.755106	-17.355614	0.00078577123	47.390827655792236
7	285.8848	4.880973	291.13864	279.38055	-27.07644	23.989075	29.23752	-58.967743	400.0	397.6	7699	20.27504	0.8194784	21.727116	18.772713	-20.279715	0.00072044815	55.81231212615967
8	282.1395	0.121465266	282.22836	281.96774	-54.791786	0.08289377	-54.430576	-54.81149	400.0	400.0	8799	23.035404	0.77575	24.417046	21.327892	-23.04097	0.0005823013	66.19393372535706
9	282.7392	1.6101532	284.34933	281.12903	-78.889626	1.1580973	-73.85287	-79.17978	400.0	313.55	9899	25.64976	0.73951906	26.949327	23.510159	-25.659472	0.00051738875	74.74169373512268
10	287.06735	2.310279	289.52014	283.97174	-78.42301	0.1863125	-78.37583	-79.23181	400.0	307.05	10999	28.11061	0.67756736	29.308872	26.210203	-28.120634	0.0004544065	84.47082734107971
11	282.72424	3.740248	287.90445	279.20773	-99.95851	0.28296813	-99.87902	-101.16819	400.0	318.25	12099	30.436232	0.6705565	31.644407	28.637356	-30.449396	0.0002769916	95.59909725189209
12	287.0333	2.1506386	289.97476	284.89273	-100.08583	0.117556415	-100.04338	-100.55686	400.0	322.1	13199	32.680283	0.6392158	33.852753	30.822388	-32.69313	0.00024541968	108.68307042121887
13	281.21774	3.9077454	285.1255	277.31	-101.56206	0.34704888	-101.01299	-101.98683	400.0	329.7	14299	34.802315	0.61230004	35.952225	32.93007	-34.81505	0.00026387975	121.63055443763733
14	283.06665	5.205908	289.7864	277.1018	284.59344	26.536072	290.8769	168.97995	400.0	400.0	15399	36.80244	0.59926426	37.93903	34.833145	-36.8122	0.0002808798	132.59952402114868
