Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	284.37024	2.148819	286.51907	282.22144	295.46173	0.0025537123	295.47287	295.46115	400.0	400.0	1099	0.87101233	0.3180683	1.6180435	-0.2257874	-1.0115497	0.09061183	4.265345335006714
2	282.462	2.8594146	286.00052	278.9976	298.5323	0.0017095429	298.53265	298.5248	400.0	400.0	2199	3.0989242	1.079457	5.057406	0.48898143	-3.23268	0.007593005	14.382263660430908
3	285.4823	2.1311517	288.30185	283.1504	279.53574	0.08934391	279.56494	279.1464	400.0	400.0	3299	6.598336	1.0260407	8.622553	4.62425	-6.625289	0.0012576522	23.26905655860901
4	281.99442	2.6491172	284.88232	278.48364	-70.41169	13.747705	-36.053543	-98.19422	400.0	316.65	4399	10.161488	1.0503261	12.357885	8.054419	-10.2258005	0.0011476864	30.456783294677734
5	283.0993	1.2751312	284.37445	281.8242	-72.78891	5.1476636	-61.50617	-84.76806	400.0	280.8	5499	13.820689	1.082888	16.145596	11.530849	-13.933516	0.0011056381	37.552278995513916
6	285.2853	1.0144031	286.6969	284.35794	-74.10921	5.162257	-69.97951	-88.53643	400.0	284.05	6599	17.434578	1.0196936	19.52636	15.016504	-17.545277	0.00080578146	44.524691104888916
7	282.15277	1.5154567	283.93173	280.2282	-77.147804	8.654603	-62.016598	-96.0085	400.0	288.7	7699	20.826605	0.9881407	22.945087	18.202145	-20.940228	0.0004973227	51.38646626472473
8	280.73038	3.137335	283.1246	276.29828	-94.27299	5.298768	-73.89337	-98.17563	400.0	307.85	8799	24.075523	0.9629866	26.23365	20.96296	-24.18268	0.00054619537	59.30534029006958
9	285.77063	4.158432	289.92905	281.61218	-77.99907	10.820442	-57.91208	-99.744545	400.0	290.45	9899	27.05814	0.9567472	29.191183	23.330835	-27.141285	0.00056566804	66.43355417251587
10	286.86118	2.025041	288.5433	284.01288	-76.109024	10.512716	-57.318825	-90.56251	400.0	288.7	10999	29.789726	0.9628481	31.928164	25.426304	-29.854261	0.0005977111	74.43508052825928
11	283.8449	1.2949401	285.17868	282.09125	-77.89261	12.179546	-58.04058	-100.80868	400.0	289.9	12099	32.282787	0.9784625	34.317932	27.379887	-32.33509	0.0006388359	84.48457956314087
12	282.20532	0.6648725	283.1419	281.66507	-79.20619	10.559394	-56.940697	-99.92131	400.0	289.8	13199	34.56959	1.0160668	36.622124	29.176441	-34.61009	0.0005909725	91.72815132141113
13	284.15466	3.296112	287.45078	280.85855	-75.32384	11.550631	-56.516735	-101.228355	400.0	286.05	14299	36.670372	1.061172	38.882195	30.958107	-36.698593	0.00063745043	98.95493364334106
14	256.83362	41.273952	287.18298	198.47914	-74.54784	8.29791	-66.15519	-94.21068	400.0	285.0	15399	38.579556	1.3526528	46.40864	6.781507	-38.59549	0.0011779958	106.45592331886292
15	-86.69165	6.3543153	-79.17079	-96.627174	-42.849083	0.11874588	-42.331505	-42.88156	297.5	286.0	16499	38.99956	10.873418	165.82216	-134.55887	-38.9829	1.3020645	113.95699405670166
16	-55.18344	23.559309	-29.974464	-91.201935	-53.30895	1.1266786	-48.745243	-55.286964	292.25	282.3	17599	39.374763	13.563422	63.255188	-120.62548	-39.526913	1.4595646	122.1802077293396
17	-111.239296	63.247902	-47.991394	-174.4872	32.410603	1.3318444	37.74812	30.907867	400.0	400.0	18699	39.94859	14.8099165	55.46581	-108.84665	-40.12835	1.2119843	130.2436385154724
18	22.369284	75.12444	112.17382	-71.69478	124.272865	13.993243	164.54521	109.6441	400.0	400.0	19799	40.02742	17.063429	55.498066	-95.11937	-40.240646	0.92648864	137.97645711898804
19	183.35242	54.68816	253.466	120.024506	52.411232	12.154463	63.313408	32.195858	400.0	400.0	20899	41.82364	17.328884	63.03722	-88.16855	-42.148537	0.68242705	145.16205716133118
20	168.35023	80.3183	281.9263	110.18377	290.7645	1.355231	291.0871	284.8572	400.0	400.0	21999	43.28943	17.655996	64.633675	-81.858116	-43.452427	0.5580282	152.23335981369019
21	288.9339	2.6859436	291.61984	286.24796	291.49786	9.577854e-05	291.4982	291.4978	400.0	400.0	23099	44.433613	18.064219	65.6753	-80.20926	-44.62161	0.54640996	159.72557926177979
22	290.08908	1.7261927	291.48544	287.65677	275.7798	0.006408913	275.78156	275.75186	400.0	400.0	24199	45.96313	18.19886	66.05018	-74.957375	-46.17303	0.40676987	166.7284471988678
23	272.72018	2.6997898	276.30035	269.78116	257.7474	4.159075	271.45224	253.88857	400.0	400.0	25299	47.397675	18.020008	67.66196	-69.46775	-47.603935	0.42798114	176.0678050518036
24	277.46167	1.2923577	278.9922	275.8313	273.21225	0.3593637	274.77856	273.11108	400.0	400.0	26399	48.55692	17.97143	69.12069	-64.69243	-48.73439	0.3264114	183.43350791931152
25	264.82715	13.884056	278.7112	250.9431	266.68936	0.63505137	269.3572	266.49493	400.0	400.0	27499	49.660877	17.453524	73.22757	-62.087048	-49.922764	0.2647104	192.24388575553894
26	275.0281	24.935863	293.5865	239.77998	289.03796	1.8330617	289.47873	281.04782	400.0	400.0	28599	51.492336	15.057871	75.828804	-52.44179	-51.850437	0.23591137	199.65758728981018
27	206.79817	72.912926	290.0339	112.47071	31.694025	18.163004	57.775967	-31.991192	400.0	400.0	29699	53.47843	12.981382	75.87914	-38.869534	-53.823174	0.24971008	208.4905457496643
28	-22.629372	37.91808	14.451071	-74.71734	13.52977	22.92415	44.96046	-36.342987	372.0	400.0	30799	54.802616	12.76098	98.56894	-43.92678	-55.005867	0.32340902	218.68366765975952
29	9.622655	61.087315	89.80589	-58.316353	254.78427	50.736927	266.50705	33.631912	400.0	400.0	31899	54.756084	13.835385	96.39243	-42.53925	-54.903275	0.38568553	226.4465217590332
30	99.36637	17.74852	117.11489	81.61785	135.2208	111.96806	262.16156	-31.497902	400.0	400.0	32999	54.936756	14.386732	106.26411	-39.57962	-55.144417	0.37175068	236.155615568161
31	184.68999	42.813213	239.03807	134.40381	243.91606	51.36125	262.06268	49.776436	400.0	400.0	34099	55.529392	14.30256	106.14304	-36.86481	-55.728188	0.3768087	244.5588858127594
32	137.99577	57.19269	208.61418	68.53564	205.7544	1.7227412	207.92705	201.83496	400.0	400.0	35199	56.052425	14.270326	100.799194	-36.09265	-56.261826	0.3433814	252.08976364135742
33	184.47319	51.695717	242.13979	116.722115	210.5903	0.11898105	211.10672	210.51591	400.0	400.0	36299	56.661545	14.065099	102.313736	-36.34521	-56.894543	0.36278394	259.99389386177063
34	91.175385	2.078907	93.25429	89.09647	79.98234	4.732786	100.61206	78.874504	400.0	281.3	37399	57.27641	13.658443	104.06328	-36.443195	-57.48708	0.31123108	266.62485790252686
35	235.28316	86.871574	299.01337	112.45734	234.52246	1.1370314	234.86606	229.56699	400.0	400.0	38499	58.162437	13.682746	105.77379	-34.266685	-58.476234	0.37948596	273.9790930747986
36	224.75664	15.747044	246.4331	209.49663	217.84016	1.1100305	221.05809	216.54214	400.0	400.0	39599	59.429672	13.326666	109.76437	-32.157475	-59.79947	0.39318874	281.3559958934784
37	225.32335	3.8882384	230.81886	222.411	227.74881	1.538465	234.26317	227.30434	400.0	400.0	40699	60.747913	12.89393	106.20289	-25.932564	-61.09581	0.36804438	290.1982820034027
38	236.1222	6.056923	242.17911	230.06526	206.34846	4.9886365	211.39438	201.30104	400.0	400.0	41799	61.817936	12.321837	108.02092	-20.719059	-62.14551	0.32449833	297.07124638557434
39	202.19177	13.992935	220.9355	187.32375	296.8664	0.6782467	297.0281	293.91006	400.0	400.0	42899	62.725933	11.5995655	118.844666	-22.393959	-63.044945	0.32502225	304.43726444244385
40	277.3124	28.686485	298.52216	236.75786	297.69296	0.00077819824	297.69635	297.69278	400.0	400.0	43999	63.715134	10.938364	112.20331	-21.141182	-64.09459	0.32051158	311.1101293563843
41	268.1992	32.24439	297.06964	223.19562	296.95844	0.0002727015	296.9585	296.95724	400.0	400.0	45099	64.87218	10.543442	113.6607	-15.707028	-65.21639	0.29483807	318.7208390235901
42	297.12482	0.09089661	297.2157	297.0339	292.0346	0.023062093	292.13513	292.02725	400.0	400.0	46199	65.81549	10.315354	116.725845	-10.5144825	-66.13109	0.2794324	329.2156755924225
43	290.41815	3.1510966	294.73737	287.3086	296.3204	0.00024811373	296.32147	296.32025	400.0	400.0	47299	66.58758	10.272527	119.57556	-9.146265	-66.87101	0.24777927	336.7137987613678
44	289.26627	8.863296	296.46964	276.78085	211.20737	2.3183405	220.99467	209.33623	400.0	400.0	48399	67.238174	10.2888775	116.4991	-14.94168	-67.52085	0.23926486	343.99810457229614
45	197.28035	8.931282	209.85527	189.9656	187.84552	0.18405534	188.61176	187.63808	400.0	400.0	49499	67.819305	10.384185	114.71558	-22.254696	-68.10657	0.24592862	352.16049361228943
46	119.14917	40.803665	159.95284	78.345505	9.056573	5.544645	33.22317	7.741269	400.0	400.0	50599	68.23605	10.523846	117.79847	-26.252851	-68.49159	0.25156477	361.2441520690918
47	45.471775	41.207092	103.29152	10.26153	213.1374	10.598551	252.97609	199.4439	400.0	400.0	51699	68.372154	11.077966	117.35458	-27.502844	-68.628006	0.269534	371.5229322910309
48	270.65738	20.183277	292.96207	244.08029	282.77386	1.3826959	284.20383	279.9985	400.0	400.0	52799	68.72282	11.487904	122.54751	-30.860275	-69.02092	0.2646536	379.6746335029602
49	279.80768	14.702121	291.25122	259.0522	199.3859	47.991093	255.29633	101.53332	400.0	400.0	53899	69.37373	11.876012	115.496155	-36.07193	-69.67142	0.3054552	387.4910845756531
50	187.55618	33.61595	221.17213	153.94023	171.84401	43.142544	247.51537	86.27096	400.0	400.0	54999	69.741974	12.274725	120.603	-40.988884	-69.99463	0.3230501	395.43632531166077
51	180.01387	19.978336	198.61403	152.29568	242.7284	17.335558	258.81143	190.90794	400.0	400.0	56099	69.954544	12.368639	120.628845	-41.198288	-70.21094	0.32118082	403.10204887390137
52	252.3225	4.225774	257.0033	246.76443	253.46599	2.6667533	260.37485	249.6165	400.0	400.0	57199	70.2402	12.34343	121.054115	-35.087666	-70.51843	0.301399	410.98464369773865
53	254.57483	3.0274198	256.77493	250.29396	258.63174	0.65865695	259.31055	257.3689	400.0	400.0	58299	70.695595	12.216988	128.30981	-25.798649	-70.991425	0.28103077	418.34228444099426
54	236.1792	23.408638	259.58783	212.77055	239.79468	1.09186	241.02858	238.33293	400.0	400.0	59399	71.19107	12.080127	129.39247	-27.149137	-71.50017	0.28148177	427.64920139312744
55	217.36671	17.588478	241.59465	200.37555	225.59883	14.832902	240.50262	192.90096	400.0	400.0	60499	71.738625	12.072949	130.8455	-29.465641	-72.0577	0.28813952	437.1716854572296
56	240.58003	18.779045	260.37427	215.34929	279.07227	2.2908356	281.09122	269.2654	400.0	400.0	61599	72.3209	12.105197	131.62183	-29.22989	-72.704926	0.33777916	443.986932516098
57	287.23242	10.809174	296.00867	272.005	298.31696	0.07545078	298.6458	298.29907	400.0	400.0	62699	73.33206	12.071059	146.83553	-28.118786	-73.69701	0.3572476	451.2064473628998
58	258.28452	11.082092	269.3666	247.20242	194.95834	30.122667	280.37518	168.1576	400.0	400.0	63799	73.90037	12.118169	141.46613	-26.385283	-74.24904	0.39850196	457.43889927864075
59	160.93378	16.007452	182.01053	143.24098	270.5739	1.4500275	270.91223	264.25415	400.0	400.0	64899	74.49568	12.260902	139.1988	-26.886902	-74.84884	0.36466303	464.16824650764465
60	287.65347	14.297927	298.16666	267.43857	297.52133	0.0023013977	297.53134	297.52078	400.0	400.0	65999	75.00177	12.271917	136.81519	-26.263477	-75.33383	0.32464245	470.6493351459503
61	295.32788	1.2275486	296.99332	294.07086	294.64444	0.0010184599	294.6447	294.64005	400.0	400.0	67099	75.31532	12.174115	141.77115	-27.22234	-75.5985	0.26511174	477.35193943977356
62	294.95505	0.013366699	294.9684	294.94168	291.32935	0.0017701248	291.32983	291.32166	400.0	400.0	68199	75.48109	12.185406	145.20003	-29.809769	-75.74574	0.27511302	487.1897659301758
63	240.4165	40.725925	291.4709	191.80276	102.17953	0.4827215	102.899536	101.50526	400.0	400.0	69299	75.8032	12.374648	149.7256	-35.98893	-76.20945	0.31540784	494.375652551651
64	150.24709	68.655685	247.12607	96.21718	235.64738	12.3559265	248.42401	223.20798	400.0	400.0	70399	76.53581	12.867291	151.35785	-41.876244	-76.89044	0.33497715	501.56371092796326
