Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	291.2528	12.770096	304.0229	278.4827	84.003006	96.35455	304.63297	13.498974	400.0	173.4	1099	0.55470604	0.3270055	5.7490726	-1.706995	-0.6970819	0.07193612	2.194413423538208
2	295.9204	10.157562	304.18274	281.61258	44.847065	39.872215	154.6688	-9.31786	400.0	166.75	2199	2.9491212	1.1909215	26.048088	-3.1198778	-3.0998855	0.020112067	7.339489221572876
3	295.05856	12.463388	304.45132	277.44568	153.61913	101.41568	277.0836	-35.658886	400.0	340.05	3299	6.820595	1.2366344	31.00725	-11.255396	-6.887887	0.0075282133	13.271166324615479
4	277.2681	20.25462	304.63074	256.24927	120.28019	101.49401	303.54874	-10.830769	400.0	264.25	4399	10.671693	1.2874094	28.124397	-5.7757235	-10.73346	0.017421344	19.587321281433105
5	279.4849	8.023193	287.5081	271.4617	61.75586	56.006023	180.97485	-20.31412	400.0	235.2	5499	14.22407	1.3833495	26.18238	-0.1321095	-14.277219	0.03013969	25.031046152114868
6	299.43948	2.670431	303.21445	297.4572	36.29183	25.796387	84.08359	-10.915888	400.0	123.65	6599	17.765963	1.4673386	25.263496	2.3214874	-17.853651	0.019571215	30.391751289367676
7	297.7528	4.8388715	304.12762	292.41055	264.92178	56.38724	303.77774	96.082085	400.0	400.0	7699	21.122915	1.387335	28.216393	7.547458	-21.194445	0.01721071	36.46744966506958
8	297.9924	6.140534	304.47757	289.7482	83.73708	77.18672	293.42334	-2.3706062	400.0	199.0	8799	24.326632	1.4245676	32.40565	2.7280197	-24.421608	0.026428537	41.29678964614868
9	304.23068	0.26013184	304.4908	303.97055	95.694534	88.38988	302.31003	-0.09210273	400.0	230.25	9899	27.404312	1.4049658	40.51269	10.929977	-27.4743	0.03187833	46.683696269989014
10	302.66367	2.4891372	304.55884	299.14703	138.32564	112.14732	304.0157	5.3566647	400.0	269.05	10999	30.199274	1.3693659	42.25883	12.199983	-30.256775	0.025408857	53.49422907829285
11	288.68887	10.224868	303.081	280.2794	199.66039	118.667076	304.18942	-131.21269	400.0	368.2	12099	32.857597	1.4199369	42.139122	10.76819	-32.91548	0.027713105	59.37904238700867
12	276.1727	26.77947	304.3357	240.16304	104.34526	110.275314	304.45618	0.013929687	400.0	236.2	13199	35.335434	1.467422	48.731804	6.8013	-35.39696	0.028542927	64.68697714805603
13	282.59717	14.534149	297.13132	268.06302	70.587204	65.166046	257.47766	15.032069	400.0	200.45	14299	37.744263	1.5306293	62.528107	6.527941	-37.832996	0.049826216	69.99899411201477
14	283.16702	19.126278	300.2548	256.46475	198.91826	113.37414	304.62613	-13.322128	400.0	313.6	15399	40.137352	1.5091077	53.13946	20.136086	-40.231827	0.043388378	76.0181176662445
15	229.16203	86.79448	302.2161	107.21107	165.89572	114.92255	303.4731	19.149519	400.0	283.05	16499	42.24781	1.619105	53.583317	16.431911	-42.32088	0.06057595	81.63615846633911
16	108.520195	107.76654	276.2598	-21.333323	155.94836	93.805145	303.155	18.881329	260.75	321.8	17599	44.042618	2.3953245	60.267136	14.45349	-44.106316	0.12617013	87.50563621520996
17	187.46141	94.080246	293.50116	64.84759	196.20729	89.6054	302.82382	27.127909	400.0	335.15	18699	45.57021	3.4584913	66.86108	4.644437	-45.636383	0.1621654	94.14474296569824
18	45.103455	40.24639	98.721886	1.7577382	179.19029	97.5277	302.58682	17.224121	286.33334	334.95	19799	46.711754	5.07333	59.74295	-3.2385554	-46.75565	0.19583455	100.17623162269592
19	280.46017	25.4074	298.50775	244.52881	263.61398	75.88901	300.63293	34.728115	400.0	368.05	20899	47.860306	6.3976603	64.63773	-10.719079	-47.91403	0.19562922	106.32559490203857
20	256.35443	39.9862	299.7552	203.25938	229.17998	90.09193	297.6988	20.183107	400.0	353.5	21999	49.235744	7.0138664	64.31964	-16.064108	-49.306614	0.25022715	112.75150227546692
21	299.53024	0.87713623	300.40738	298.6531	289.01056	13.220628	302.21158	256.27228	400.0	400.0	23099	50.690876	7.552079	70.82229	-21.453545	-50.793736	0.26998767	119.47954177856445
22	297.8747	4.306386	302.951	292.42264	290.06384	13.428036	303.40594	253.38306	400.0	400.0	24199	52.26133	7.916485	69.79737	-24.874928	-52.375805	0.31623176	126.29779553413391
23	290.6096	9.195556	301.4626	278.97852	291.93674	14.162403	304.21597	252.32207	400.0	400.0	25299	53.761402	8.189267	71.35455	-27.356422	-53.882683	0.33421236	132.64134311676025
24	276.97345	25.627771	301.05377	241.4753	272.61118	60.874638	301.34482	13.93694	400.0	384.8	26399	55.196075	8.235132	76.00186	-28.312872	-55.32155	0.36558154	140.45049333572388
25	257.30682	35.783737	293.09055	221.52307	287.1684	28.559431	304.28525	176.40092	400.0	400.0	27499	56.471104	8.407222	79.59351	-28.55444	-56.596714	0.48712945	147.43472456932068
26	298.5752	4.1961412	303.53738	293.2756	292.3907	13.459479	304.2649	250.05008	400.0	400.0	28599	57.79588	8.294314	75.1308	-26.738615	-57.927364	0.43205982	154.37660670280457
27	226.1896	125.66155	301.88052	8.58269	289.1615	15.873981	303.4724	251.64891	322.5	400.0	29699	59.06732	8.232304	85.050415	-26.17223	-59.20348	0.46404842	161.17540407180786
28	267.46628	50.33789	303.52438	196.27977	290.59982	13.593505	304.53998	248.45125	400.0	400.0	30799	60.373104	8.195394	80.969955	-25.467716	-60.50625	0.4580754	168.19452929496765
