Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	296.01416	2.5645142	298.57867	293.44965	298.04465	6.432929	304.6194	282.46024	400.0	400.0	1099	0.97862935	0.2813509	11.718879	-2.5846658	-1.3699841	0.05814367	3.531428337097168
2	281.04453	3.604531	285.84656	277.1622	29.055288	59.86765	162.6914	-87.264084	400.0	169.1	2199	2.926009	1.0529827	15.519433	-5.446498	-2.9845452	0.008532518	10.83826470375061
3	271.02316	12.026702	283.27393	254.68007	19.338905	41.437645	98.233154	-91.35006	400.0	120.85	3299	6.8937573	1.2965906	15.916164	-1.6693358	-7.0371585	0.009817791	17.612210273742676
4	280.16333	3.6453292	283.89124	275.2156	13.656212	59.328083	101.294586	-194.56027	400.0	142.7	4399	11.149908	1.5261068	15.904963	-12.002208	-11.3582	0.016508168	25.35391926765442
5	276.6342	24.570717	301.2049	252.06346	24.057451	36.160294	82.30903	-78.44078	400.0	151.45	5499	15.545398	1.7994938	21.46801	1.5734841	-15.797202	0.030907884	33.61969184875488
6	280.73178	17.701298	294.76413	255.76224	10.562329	57.536247	89.59272	-196.49203	400.0	112.25	6599	19.894468	2.0214233	27.137047	3.1403584	-20.16266	0.049867243	40.87828755378723
7	292.48807	13.144553	303.1182	273.96622	44.57943	37.32682	116.61501	3.260147	400.0	149.6	7699	24.078777	2.23762	33.126743	3.5571444	-24.337416	0.047381848	49.22368621826172
8	292.80655	7.110831	300.04236	283.14066	43.179966	41.312237	138.06192	-15.924561	400.0	151.85	8799	27.9269	2.3549244	44.811214	3.76569	-28.136353	0.06909647	57.59737777709961
9	291.30463	13.040222	304.34485	278.2644	27.860214	33.019802	117.7002	-46.795376	400.0	141.05	9899	31.246258	2.3863847	41.890263	5.5031085	-31.381435	0.07978738	65.48897457122803
10	282.76016	14.080088	298.4294	264.2846	43.001663	48.712856	164.04214	-35.02145	400.0	168.75	10999	34.185413	2.4992824	48.169937	-7.416571	-34.312634	0.08962969	73.24367117881775
11	269.21692	20.908436	285.22238	239.6825	36.1314	36.38573	116.669975	-11.897578	400.0	153.15	12099	37.003586	2.8446016	54.3565	8.938895	-37.15429	0.11482555	81.08456182479858
12	267.09415	18.208935	285.4246	242.26546	57.676765	45.744606	149.65506	-30.063602	400.0	155.65	13199	39.80244	3.0563228	56.617954	14.893627	-39.995342	0.11679985	89.06545209884644
13	293.34543	2.0575562	295.40298	291.28787	44.31337	49.139866	153.90411	-32.337807	400.0	161.45	14299	42.45949	3.1987708	59.62161	17.339588	-42.62353	0.115999885	96.05778241157532
14	230.27351	88.51111	296.4014	78.031876	10.350269	62.19394	142.36452	-148.72092	340.0	156.45	15399	44.78045	3.4014363	62.07091	12.401412	-44.893475	0.118216746	104.09629559516907
15	8.38931	59.06258	95.73052	-92.6381	39.70416	45.751457	147.94006	-27.955273	174.83333	201.5	16499	46.4108	4.29814	85.60306	-1.030751	-46.468353	0.22049575	112.4507303237915
16	50.46587	39.344963	138.55617	8.278985	37.292625	40.675095	184.22389	-10.747251	155.14285	135.8	17599	47.35157	6.042888	75.91296	-8.613908	-47.38978	0.27620393	120.61635708808899
