Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	258.9261	9.085571	268.01166	249.84052	69.46551	81.36905	302.5242	5.137766	400.0	195.5	1099	0.53786826	0.61902386	14.824169	-0.9258304	-0.7010196	0.20043069	1.6894590854644775
2	292.28244	8.171296	303.53653	284.3829	295.4372	5.219644	303.60938	285.557	400.0	400.0	2199	2.7046351	1.2565808	14.499082	-5.9146085	-2.8534174	0.01577915	7.973293304443359
3	280.44254	19.930374	301.7632	253.81657	230.09299	80.44006	303.8963	10.2685175	400.0	383.1	3299	6.3100624	1.5058616	14.361179	-7.54189	-6.3887625	0.012495535	14.639442682266235
4	285.43402	23.333693	303.94077	252.5202	228.08487	84.489235	304.48676	-5.362771	400.0	400.0	4399	10.535385	1.7120432	15.67112	-8.340556	-10.697114	0.014813707	20.966543912887573
5	264.5854	28.766716	293.3521	235.81868	190.94122	137.24442	303.513	-144.90402	400.0	400.0	5499	14.51119	2.1278534	20.474678	-15.908067	-14.67141	0.03771176	27.7049663066864
6	278.2358	23.617586	301.51	245.85216	155.95816	127.56194	301.7426	-32.0193	400.0	302.25	6599	18.227037	2.2011073	24.655872	-20.791214	-18.346375	0.04363699	33.79166007041931
7	303.69217	1.0112196	304.53476	302.2702	168.73259	103.70282	297.23816	-9.963046	400.0	302.8	7699	21.715765	2.2583413	30.209248	-17.275923	-21.846474	0.04723602	41.265018463134766
8	281.60098	10.454561	290.82764	266.98273	228.87085	104.50951	303.0127	17.064346	400.0	332.0	8799	25.106747	2.300536	33.53053	-14.080687	-25.257359	0.058454778	48.89855432510376
9	269.96835	10.400848	280.3692	259.5675	214.2811	88.73922	300.5397	12.156627	400.0	366.95	9899	28.423016	2.321503	49.013386	-21.743141	-28.590054	0.0630945	56.33735108375549
10	294.0627	10.632514	302.39346	279.05646	118.21708	81.737915	282.84793	16.084167	400.0	286.0	10999	31.608673	2.331531	42.933567	-4.070758	-31.771292	0.044490438	62.32328176498413
11	295.39148	5.4360075	302.13586	288.82394	161.64113	78.02945	298.15674	18.902365	400.0	311.05	12099	34.600967	2.2858155	46.870724	-8.348953	-34.767143	0.059212085	68.56154727935791
12	274.08438	27.311914	301.37805	236.76895	145.69653	75.97546	301.133	21.028828	400.0	304.55	13199	37.455936	2.3092833	55.245884	-8.8299265	-37.631454	0.07896927	75.69206666946411
13	281.48627	0.5870514	282.07333	280.89923	154.1394	96.61519	292.47217	18.02295	400.0	308.3	14299	40.211178	2.4070923	71.019966	3.7013648	-40.398125	0.08741563	83.09631276130676
14	301.19083	0.65355355	301.94775	300.35303	125.61887	124.14995	302.87415	-7.3859873	400.0	217.95	15399	42.830265	2.4366403	61.22625	3.3016431	-43.011124	0.075447306	88.43320512771606
15	149.79636	107.782646	271.25745	13.433218	111.75975	113.802315	303.52963	-32.139053	263.75	227.2	16499	44.975372	2.6376348	68.02993	14.233906	-45.070236	0.17382441	93.84768605232239
16	70.41489	103.17681	303.19693	-10.404325	171.94376	137.33112	304.4596	-19.279789	160.42857	281.35	17599	46.94341	2.6626341	72.94788	-3.2508454	-47.101902	0.7071407	99.25425696372986
17	187.41835	120.470535	304.2257	28.784225	118.12346	118.61717	304.51273	-38.674126	304.0	252.9	18699	48.663403	2.6228526	65.70741	10.134217	-48.793167	0.8510078	104.81226706504822
18	115.75408	124.48508	303.57092	-0.6910924	98.23479	143.73297	301.3239	-224.16214	295.0	256.85	19799	50.208733	3.3597453	68.768196	13.888293	-50.351772	0.67806387	110.48409390449524
19	220.05362	77.971794	298.02542	142.08183	275.3358	26.443583	304.52344	218.59613	400.0	400.0	20899	51.53604	4.5038176	72.7058	5.338059	-51.684208	0.6487673	117.43979263305664
20	210.01228	100.440605	292.08057	68.5736	274.7283	43.15646	303.90714	145.49312	400.0	400.0	21999	53.047756	5.3092494	67.282486	0.19287312	-53.2009	0.49582186	124.35647821426392
21	299.77136	2.7084868	303.36453	296.82556	267.65643	70.143524	304.37814	0.09591747	400.0	384.1	23099	54.45589	5.891521	99.58019	-5.2276382	-54.598637	0.49594405	132.5618658065796
22	294.13416	7.0607476	303.30008	286.12036	238.88142	103.09339	303.54736	-28.316084	400.0	384.85	24199	55.817947	6.215129	72.508675	-8.029368	-55.995605	0.44529298	139.66516852378845
23	284.6806	11.007629	295.68823	273.67297	213.68095	109.62998	304.34348	-4.5779276	400.0	337.05	25299	57.383022	6.5811987	71.16224	-10.652263	-57.57518	0.44122893	145.95255994796753
24	203.89012	108.669174	300.4275	27.414686	237.89253	109.92347	300.07785	-134.39676	320.0	400.0	26399	58.782997	6.934912	73.8064	-10.388658	-58.973686	0.5751982	152.385822057724
25	270.79135	37.38605	297.50003	217.92044	229.71335	116.269714	298.26923	-155.62332	400.0	400.0	27499	60.11612	7.0867114	78.986465	-10.990491	-60.332005	0.60547197	158.86016273498535
26	100.65227	89.17522	189.82748	11.477051	244.69998	72.55529	300.60794	-11.353156	400.0	384.8	28599	61.33176	7.1862655	76.81948	-10.011221	-61.53419	0.54783756	165.70119786262512
27	288.49734	12.197941	297.76614	271.2633	257.5007	80.62357	299.25912	21.243235	400.0	369.6	29699	62.362175	7.409207	78.30786	-9.920973	-62.55369	0.5832048	172.2723526954651
28	284.67822	14.171037	297.70593	264.97586	151.99582	115.05767	298.17984	-1.9225543	400.0	272.95	30799	63.550663	7.4806	88.60129	-9.332439	-63.740414	0.53889656	178.64513063430786
29	179.61214	121.59574	284.46796	9.149356	208.03447	110.32113	303.98892	2.2027917	292.0	336.15	31899	64.675026	7.528877	85.56579	-7.8302927	-64.87167	0.6193101	186.41049003601074
30	279.23047	6.6491494	287.31717	271.0313	211.3876	111.55762	304.34113	-15.800698	400.0	316.35	32999	65.85183	7.5144167	86.853745	-6.3686557	-66.07138	0.6398922	192.74523901939392
31	252.98128	62.33482	302.39062	165.05095	258.68643	68.48315	304.34265	32.58804	364.33334	400.0	34099	66.90529	7.5740466	85.34911	-7.818301	-67.119415	0.71984726	199.54926347732544
32	221.96918	105.00009	302.84372	43.217052	262.19626	56.906876	301.32855	33.427013	320.5	385.3	35199	67.92174	7.5748534	87.92783	-7.823418	-68.14578	0.7384897	206.34975910186768
33	229.39136	67.83243	297.2238	161.55893	249.53926	55.072304	297.75003	71.1015	400.0	400.0	36299	68.94128	7.549383	101.637	-7.635589	-69.1629	0.8285822	212.8248860836029
34	212.25883	94.99466	284.88104	78.067764	215.55363	100.152054	302.7951	22.93824	400.0	337.05	37399	69.921394	7.6485395	91.89303	-6.8283024	-70.15591	0.80417633	219.31254863739014
35	300.69748	2.6049123	303.8634	297.48325	254.82413	43.624	303.85608	126.95092	400.0	400.0	38499	70.842026	7.6137123	92.97554	-3.087175	-71.07173	0.81894684	226.17306780815125
36	253.26575	49.47278	293.20084	183.54659	286.21918	22.919853	304.29013	243.51666	400.0	400.0	39599	71.72538	7.656135	96.66809	-3.4227767	-71.96193	0.8157481	234.62193703651428
37	237.7108	34.822952	272.53375	202.88785	270.9779	68.60746	304.4821	-13.374407	400.0	384.5	40699	72.467415	7.789794	97.84627	-9.978295	-72.69497	0.94165903	241.48001337051392
38	281.3369	24.145342	299.8102	247.22961	277.53244	62.076775	304.61102	11.805041	400.0	384.3	41799	73.24325	7.7383227	96.58926	1.6211736	-73.47331	0.84402025	247.98074221611023
39	281.28568	21.82004	298.92978	250.5391	288.31396	19.648865	304.34106	214.19711	400.0	400.0	42899	74.00073	7.7093	95.63606	-1.872036	-74.22682	0.9929247	254.4351270198822
40	300.81436	2.9323575	303.60526	296.76257	292.55634	12.508373	304.2715	260.15442	400.0	400.0	43999	74.72461	7.5830903	108.42883	-12.807161	-74.948555	0.93489015	262.87006187438965
41	300.01318	1.313736	301.3269	298.69943	288.80252	22.116463	303.93942	219.67548	400.0	400.0	45099	75.439354	7.4038396	97.85429	-6.975478	-75.66083	0.90749043	268.846556186676
42	288.5212	16.167551	300.64035	265.67087	278.22308	63.40635	304.30554	14.633321	400.0	385.5	46199	76.048096	7.19553	102.67251	3.9072423	-76.26431	0.901154	275.1440191268921
43	285.24463	23.798903	303.43933	251.62593	274.9589	65.44877	303.27948	3.8812046	400.0	385.45	47299	76.62386	6.985235	101.773735	6.297066	-76.84579	1.0055377	281.55653858184814
44	289.29782	17.76601	303.5947	264.25674	296.20306	7.1120696	304.55396	283.89325	400.0	400.0	48399	77.27222	6.7997637	97.52809	7.182759	-77.50224	0.9206789	288.46472358703613
45	284.31195	0.40878296	284.72073	283.90317	289.5886	18.0246	304.50684	229.66849	400.0	400.0	49499	77.88767	6.6323323	98.719376	7.474189	-78.127426	0.93912053	294.9948220252991
46	289.6641	13.608117	301.61752	270.62567	285.58514	17.37757	303.71997	250.3606	400.0	400.0	50599	78.5438	6.4756813	110.94154	8.217714	-78.79922	0.9102178	301.4594831466675
47	288.23083	19.729813	304.24814	260.43625	279.17627	29.97429	304.47433	178.20453	400.0	400.0	51699	79.214134	6.383346	101.325714	9.396997	-79.47444	0.90809983	308.1066806316376
48	290.19028	10.07387	304.26068	281.22067	285.09192	16.581923	303.83893	248.61581	400.0	400.0	52799	79.797	6.291676	117.74193	8.063835	-80.03169	1.0454783	314.675901889801
49	265.10785	0.86198425	265.96982	264.24585	282.6161	25.814144	304.2228	198.67917	400.0	400.0	53899	80.2244	6.1714478	104.622246	10.075408	-80.4476	0.9662581	321.80751395225525
50	293.50546	7.644162	303.9028	285.74335	291.00568	13.081666	303.15973	246.9961	400.0	400.0	54999	80.630135	6.1331396	105.196434	-1.0867586	-80.85668	0.93144345	328.71612334251404
51	191.39731	104.404564	283.7661	21.03303	274.98657	65.04531	304.2879	-2.680639	318.0	383.55	56099	81.02908	6.1066866	122.25224	-16.05877	-81.24498	0.9132647	335.49887323379517
52	269.49707	12.485928	282.38232	252.59857	284.41742	23.009521	303.7879	212.91153	400.0	400.0	57199	81.36386	6.179628	104.53883	7.551703	-81.57666	0.98356754	342.3565821647644
53	283.4093	0.6095581	284.01886	282.79974	259.13577	89.08699	303.94125	0.23468454	400.0	367.2	58299	81.66828	6.197504	103.794395	7.198881	-81.878136	0.8187226	349.264319896698
54	300.92453	1.0801357	302.05777	299.47086	292.48212	11.414564	304.26282	262.8511	400.0	400.0	59399	81.910576	6.193612	103.787796	4.624006	-82.10409	0.8146569	357.6839270591736
55	267.50967	18.26972	291.02942	246.4875	270.40274	68.952545	304.2532	-12.552194	400.0	383.35	60499	82.1365	6.260231	104.98842	4.0643935	-82.325424	0.9229033	365.83573031425476
56	276.45456	22.844322	300.93707	245.95819	262.2621	67.078476	303.97336	-7.8922772	400.0	383.2	61599	82.30209	6.3041587	103.45259	2.769427	-82.49048	0.8195864	372.24719762802124
57	275.60208	23.160835	298.7629	252.44124	284.3825	19.959877	304.37915	217.85095	400.0	400.0	62699	82.488914	6.3723164	102.64051	1.2007968	-82.67977	0.7980447	380.1967685222626
58	299.68085	3.7405756	303.0331	294.46075	282.4741	25.702133	302.8481	210.77292	400.0	400.0	63799	82.67637	6.461897	110.06726	-0.81614685	-82.8626	0.7941104	387.24779653549194
59	297.8633	4.4130635	304.02585	293.9276	281.9549	16.184921	301.8674	257.88528	400.0	400.0	64899	82.86812	6.5139413	114.32374	0.15200114	-83.05114	0.76039064	395.3037443161011
60	267.13654	9.66587	278.0233	254.53407	284.10764	17.577843	303.16946	242.61566	400.0	400.0	65999	83.016106	6.544412	122.58342	-1.791791	-83.19074	0.74935955	402.4974491596222
61	296.82056	6.3614044	303.18198	290.45917	282.03336	21.111818	303.63052	227.67738	400.0	400.0	67099	83.10786	6.5485463	104.91165	-1.1266024	-83.26857	0.6852387	409.27683210372925
62	200.71872	110.49317	303.66214	34.508816	249.57414	84.557915	301.7178	27.483152	319.5	367.55	68199	83.20039	6.5141397	101.47848	-0.7195914	-83.36272	0.6994592	415.47597670555115
63	279.11176	14.760497	290.867	258.2953	281.95154	19.615696	301.6784	234.28622	400.0	400.0	69299	83.3113	6.48899	104.407234	-0.74798346	-83.47668	0.7846642	422.18620347976685
64	241.13531	51.410866	292.54617	189.72444	281.43826	14.35194	301.64944	255.36235	400.0	400.0	70399	83.401855	6.433061	105.850845	1.2089014	-83.56817	0.7829991	428.71026730537415
65	256.88516	25.985584	293.452	235.43542	271.6041	27.09293	302.7623	208.68343	400.0	400.0	71499	83.50648	6.385691	100.15929	2.9219468	-83.67645	0.67733693	437.1322112083435
66	287.0896	13.654917	299.81332	268.1474	267.956	58.240643	301.7937	20.915415	400.0	384.85	72599	83.55178	6.3813295	102.37137	2.662886	-83.71626	0.72484744	443.76344442367554
67	270.1775	10.2780485	278.89047	255.74525	286.08844	18.092943	301.37595	247.04825	400.0	400.0	73699	83.57461	6.3669953	98.47701	4.8049293	-83.736694	0.7547547	450.2451708316803
