Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	289.2254	7.019821	296.24524	282.2056	143.9036	118.81906	304.60992	-9.4029045	400.0	291.1	1099	0.78554416	0.22398628	1.2869656	-0.14109525	-0.8363678	0.05031727	2.519711971282959
2	251.71448	2.2213314	254.74474	249.482	230.33713	104.79789	304.04218	18.621492	400.0	340.0	2199	3.0372195	1.2233032	5.625306	0.32108712	-3.1263454	0.019970443	9.583778381347656
3	285.48343	23.845268	303.9118	251.81128	33.648876	88.963425	260.51236	-182.42519	400.0	239.45	3299	6.8695416	1.3346545	9.504786	0.648597	-6.9544754	0.013028245	16.03288745880127
4	299.37952	3.7963605	304.62387	295.76178	88.155754	113.95947	281.47067	-99.572624	400.0	325.3	4399	10.723002	1.4248222	13.533125	3.7388217	-10.828904	0.011833609	22.44955801963806
5	302.09113	2.390854	304.48196	299.70026	32.69831	62.7717	188.37997	-104.65988	400.0	196.4	5499	14.69292	1.5105972	17.478888	6.291436	-14.860877	0.0109359	28.03310537338257
6	294.6107	0.91176045	295.36716	293.32812	-58.10623	103.371	46.387085	-248.29387	400.0	223.1	6599	18.982624	1.6709546	22.162138	9.454531	-19.272701	0.0077620973	33.798840045928955
7	286.9404	10.021414	294.60733	272.7843	25.984762	58.66541	124.23007	-148.77005	400.0	213.35	7699	23.523264	1.7504466	27.040184	12.334419	-23.837929	0.007873303	39.967124938964844
8	293.8904	7.3904505	301.67148	283.95676	-23.236835	84.75375	43.476826	-278.233	400.0	210.45	8799	27.75892	1.809636	31.786242	14.563672	-28.064201	0.00917291	46.174724817276
9	276.41937	1.1955414	277.61493	275.22385	-34.184532	130.3882	150.45882	-349.76053	400.0	213.95	9899	31.852364	1.9432358	36.108505	16.930094	-32.183994	0.01210851	52.41700792312622
10	288.03012	0.9434581	289.315	287.07623	-52.264843	119.45002	116.86622	-313.51996	400.0	254.95	10999	35.65812	1.9554247	40.44001	20.14816	-35.946674	0.013352682	58.36292505264282
