Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	302.05005	0.8954315	302.9455	301.15463	293.9835	17.270313	304.5913	227.58446	400.0	400.0	1099	0.6945637	0.25081336	1.2733879	-0.47681832	-0.8395231	0.037834898	2.815051794052124
2	298.399	1.9374595	300.69354	295.95483	280.9688	60.63486	303.98117	19.208406	400.0	383.45	2199	3.1623998	1.251252	5.8193173	-0.13398807	-3.269928	0.0045509543	9.795481443405151
3	298.32736	3.155446	302.7587	295.65588	264.831	44.2994	304.41867	124.00105	400.0	400.0	3299	7.3599124	1.1958548	10.024322	3.5448606	-7.42898	0.0012562015	16.68169856071472
4	293.50107	4.6691036	299.85233	288.76117	235.25623	96.2212	304.18182	3.9173746	400.0	351.85	4399	11.286107	1.1434332	13.965911	3.571083	-11.350348	0.001068127	23.27891230583191
5	271.74084	19.548927	291.28976	252.19191	126.59888	117.891945	304.2737	-42.630264	400.0	266.25	5499	14.927533	1.1873368	17.86485	9.099056	-14.998836	0.00088674814	29.85060739517212
6	279.88776	13.310199	297.04587	264.60486	191.0884	109.12714	302.66934	10.20353	400.0	319.85	6599	18.426332	1.3250431	21.566452	9.746146	-18.511889	0.0022812972	36.41369438171387
7	298.37717	2.3599782	301.02133	295.2914	158.79916	118.048225	304.60324	-5.3578477	400.0	284.3	7699	21.817688	1.3923498	24.992403	10.36426	-21.899775	0.0026402941	42.82303309440613
8	291.52206	7.3235083	299.16275	281.6465	107.47278	94.25122	267.11847	-11.203219	400.0	305.6	8799	25.040787	1.3931558	28.097801	14.610228	-25.128113	0.0035671839	49.70358371734619
9	282.03992	13.801712	295.84164	268.23822	115.644005	83.656845	274.09943	-6.537665	400.0	272.7	9899	28.104065	1.3823339	31.180538	18.365395	-28.19766	0.004455645	56.824936628341675
10	266.93274	4.1996207	269.91312	260.9936	218.10556	95.19543	302.89926	41.926476	400.0	365.95	10999	30.982018	1.4404584	34.067333	21.069145	-31.080132	0.0060608983	63.84577012062073
11	288.53577	11.039032	304.14377	280.444	164.2733	102.985954	302.08896	28.055023	400.0	313.55	12099	33.734463	1.4404693	37.01755	23.588108	-33.83789	0.007991742	70.38570857048035
12	298.02695	6.895577	303.76025	288.3287	189.70187	90.170654	297.40448	18.465775	400.0	332.05	13199	36.42239	1.4310244	39.99484	26.05237	-36.542885	0.008478156	77.55708432197571
13	265.84546	26.896896	292.74234	238.94855	205.44727	88.08893	295.555	17.819862	400.0	349.25	14299	39.07483	1.4520949	43.041245	26.681686	-39.217636	0.010036173	85.73728227615356
14	235.38655	105.87076	303.99753	52.62748	251.30281	82.08943	304.31775	11.06396	336.0	366.5	15399	41.58191	1.4315474	47.23279	28.370619	-41.69438	0.009472481	92.80536961555481
15	157.87096	95.9502	247.43427	24.808653	188.5174	107.79427	298.06128	1.1962727	299.33334	319.45	16499	43.762054	1.8033999	49.939415	27.041973	-43.929314	0.16486615	99.49119758605957
16	175.27316	97.52104	296.0455	24.24511	214.56064	104.44664	291.9694	6.7238703	324.5	332.4	17599	45.986828	2.2843857	53.77287	25.052063	-46.131245	0.17645901	106.14607119560242
17	268.86743	18.098557	286.96597	250.76886	224.4501	83.633766	300.88312	14.525232	400.0	359.95	18699	47.951653	2.7762053	56.31034	18.851793	-48.11466	0.19810376	113.26891112327576
18	141.91936	95.006516	271.51874	13.009988	238.89864	76.76319	299.6358	7.899838	315.5	367.1	19799	49.95154	3.1930285	58.441837	16.566437	-50.156734	0.2239015	120.39266777038574
19	245.76549	23.748236	272.96988	215.10724	244.87105	55.079407	300.2463	29.12442	400.0	384.15	20899	52.074345	3.5091252	60.862072	15.436605	-52.30838	0.22136085	129.1630494594574
20	224.57208	65.97811	290.5502	158.59398	265.41806	33.364616	303.50824	210.0154	400.0	400.0	21999	54.390347	3.7202473	64.00314	14.568138	-54.689014	0.22170746	136.35595965385437
21	161.61296	93.681496	261.47736	20.810448	147.37552	116.46753	295.59747	-58.282	288.4	286.1	23099	56.680237	3.9369137	66.167465	11.413464	-56.983635	0.25069734	143.9150664806366
22	259.281	18.055397	277.3364	241.2256	176.71811	101.146545	301.0954	9.781173	400.0	328.6	24199	58.861176	4.133715	68.105034	11.800837	-59.181606	0.34345683	151.67792582511902
23	242.19392	20.346651	268.02396	218.29773	145.14357	104.16528	303.88748	-21.849483	400.0	318.85	25299	60.883987	4.3291326	71.03175	14.177719	-61.17997	0.32429323	159.38263630867004
24	149.03377	110.586754	275.88068	18.99592	204.72055	123.91144	301.5595	-72.14325	269.4	368.3	26399	62.6952	4.4581423	73.4335	15.245675	-62.989388	0.4642327	167.1930284500122
25	289.08237	8.970612	298.05298	280.11176	244.6271	88.595375	299.34775	12.355504	400.0	369.95	27499	64.42152	4.741787	75.38509	14.004093	-64.74102	0.5429963	176.453449010849
26	133.63506	125.03596	294.54745	-20.297274	181.94649	110.741806	298.25125	7.5135126	315.75	323.15	28599	66.16971	4.996659	77.38541	12.364165	-66.49187	0.51282495	183.30169296264648
27	289.38846	11.995251	303.99844	274.61752	238.76758	94.35667	302.9542	8.087464	400.0	359.8	29699	67.70686	5.4534516	79.07672	9.132808	-68.02686	0.47394422	190.41050934791565
28	297.2663	3.9814606	301.24777	293.28485	241.14836	76.07095	303.10736	34.80835	400.0	375.65	30799	69.28504	5.7394805	81.143394	6.936704	-69.61032	0.5105667	198.2233476638794
29	286.01163	9.758945	293.91757	272.26184	175.1055	121.652245	299.89606	9.843668	400.0	274.65	31899	70.86171	5.9114146	84.39912	6.753227	-71.22063	0.5240273	204.79881954193115
30	274.8181	40.124783	304.30472	218.08786	248.10237	70.9414	303.93903	30.101486	400.0	376.9	32999	72.512596	5.9378033	88.67041	5.6359196	-72.900024	0.5157504	212.30187249183655
31	153.39714	113.00512	290.09283	13.348858	267.82007	60.42547	304.4698	34.289505	293.0	384.95	34099	74.105515	6.189456	91.34398	3.7641816	-74.4706	0.5480897	219.6632866859436
32	225.75946	45.545372	283.83615	172.59862	263.10785	62.024143	304.11957	40.678284	400.0	384.65	35199	75.55951	6.5795035	93.76277	4.388565	-75.93831	0.5806968	226.5839490890503
33	250.05493	23.549053	270.3348	217.03745	261.10538	41.214287	300.85947	156.6593	400.0	393.15	36299	77.06386	6.954396	96.97185	4.7591267	-77.4986	0.61304474	234.10155057907104
