Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	293.18396	11.659225	304.84317	281.52472	139.85747	110.235596	323.6547	8.812063	400.0	262.9	1099	0.83452857	0.23003112	1.1998309	-0.31274828	-0.8845523	0.038326174	3.1100614070892334
2	296.22525	20.833782	312.6436	266.8289	30.923758	25.21847	115.917046	-9.522626	400.0	80.75	2199	3.1876943	1.2222056	5.5136228	0.7341799	-3.2537894	0.010269465	9.014144897460938
3	286.86105	19.959944	314.01996	266.61868	48.69784	30.999582	102.14202	7.1829977	400.0	131.95	3299	7.2022257	1.2434573	9.663096	3.2583842	-7.247939	0.007586492	15.537679195404053
4	276.54727	37.676228	325.04367	233.18567	162.16232	119.38439	337.23242	-7.246795	400.0	264.65	4399	10.961019	1.3980895	13.73273	4.423707	-11.037592	0.008903682	23.15747570991516
5	310.20056	4.0437775	314.24435	306.1568	120.69609	96.656685	321.289	5.825994	400.0	241.25	5499	14.782355	1.5160758	17.76207	7.2769446	-14.878338	0.007704784	29.806597232818604
6	305.0425	11.227039	318.3627	290.89917	126.20538	76.41779	301.42834	14.84961	400.0	277.15	6599	18.524076	1.646684	21.750092	10.387454	-18.633638	0.007305369	36.39442181587219
7	296.50702	32.698864	325.87012	250.88715	99.19123	44.624084	203.27864	23.540539	400.0	239.1	7699	22.227726	1.8121603	25.74233	12.932002	-22.374546	0.008343242	43.84483861923218
8	278.85855	21.489393	307.98495	256.7833	142.91231	87.72372	299.70285	11.249323	400.0	256.85	8799	25.82117	1.9803314	29.532679	15.237497	-25.97618	0.010602033	50.38541293144226
9	276.99408	8.52739	285.52148	268.4667	79.02662	47.461895	188.61972	17.239338	400.0	205.25	9899	29.17846	2.1037273	33.54233	17.083336	-29.325623	0.012560889	56.754770040512085
10	307.78958	13.725634	317.95343	288.38596	145.06044	91.69092	306.22998	17.846123	400.0	266.2	10999	32.34968	2.2104325	37.43343	18.750776	-32.49619	0.015849259	64.37569189071655
11	291.53033	13.19208	310.16565	281.44424	140.91739	88.490005	289.00354	21.209793	400.0	264.15	12099	35.32486	2.2897878	40.918636	20.794779	-35.454002	0.016938077	70.8704297542572
12	305.43213	12.213379	320.58398	290.67526	276.04672	78.16657	337.9676	62.025566	400.0	384.5	13199	38.079563	2.3352346	44.144154	22.799786	-38.2025	0.01664984	77.86147499084473
13	261.71173	19.972786	281.6845	241.73894	285.54132	42.9959	335.18854	178.54984	400.0	400.0	14299	40.60061	2.4274716	47.02454	25.031889	-40.714787	0.017001236	84.96780848503113
14	234.55095	94.712524	300.7979	71.25945	268.38928	100.0401	338.06506	58.86986	336.75	355.95	15399	42.945698	2.5205438	49.343468	27.376446	-43.050667	0.016133044	91.19699954986572
15	263.7074	11.832825	275.54022	251.87457	237.00659	83.50927	329.11002	55.52928	400.0	368.05	16499	44.887585	2.7774868	50.381138	30.673666	-44.968807	0.16649108	98.6181149482727
16	299.509	35.13771	332.42416	250.81119	124.238846	54.07615	279.7544	51.36254	400.0	262.8	17599	46.717674	3.1063325	52.468395	32.76255	-46.815987	0.072752126	105.51768517494202
17	222.49162	56.554356	266.2737	142.6356	224.12273	97.0621	328.59802	41.590565	361.0	357.0	18699	48.495953	3.4024627	54.37861	34.791542	-48.59938	0.1462554	112.77883386611938
18	285.31747	8.069257	296.122	276.73468	283.05704	40.918087	329.7511	175.61546	400.0	400.0	19799	50.22967	3.5608666	56.2503	35.2118	-50.34165	0.19377221	120.69250845909119
19	297.63077	7.150943	305.07193	287.97928	283.42975	75.41976	337.1778	64.564316	400.0	384.95	20899	51.948532	3.6220365	58.184265	35.156128	-52.071194	0.17643939	128.2376925945282
20	242.00677	43.35141	285.3582	198.65536	292.21918	38.04585	337.4618	205.57977	400.0	400.0	21999	53.582047	3.6503441	59.337654	37.173782	-53.69912	0.18279916	139.8551836013794
21	272.12805	17.658491	286.07626	247.21465	298.3858	30.417141	337.61807	227.5886	400.0	400.0	23099	55.046074	3.8377247	61.11469	39.44246	-55.155464	0.17104392	147.6242277622223
22	265.0403	34.088634	310.26382	227.96556	265.38525	84.20154	332.05627	31.281904	400.0	368.65	24199	56.595825	4.02476	62.908596	38.29509	-56.725136	0.1907695	154.70098161697388
23	183.14638	105.53085	271.82382	34.849144	291.02505	62.515438	334.53293	37.66899	292.0	384.45	25299	58.142044	4.145214	64.71586	37.80951	-58.308117	0.29140562	161.93737387657166
24	305.6306	11.7086525	319.19315	290.62244	274.2752	84.92649	330.50833	25.287506	400.0	368.1	26399	59.788696	4.204838	66.259834	37.88811	-59.960403	0.2705437	169.84694361686707
25	288.5919	20.955173	317.7428	269.3961	231.47661	106.77032	333.00302	23.064062	400.0	339.1	27499	61.33282	4.1971216	67.54183	39.185684	-61.492443	0.25834098	178.52657341957092
26	318.01978	11.2178755	326.07233	302.1559	262.92587	79.28973	337.807	53.76018	400.0	374.1	28599	62.81363	4.1800056	68.890945	39.31748	-62.962997	0.27694038	187.3148672580719
27	227.57784	92.088135	316.8332	100.81948	293.90106	55.03822	337.65112	84.832405	331.33334	389.15	29699	64.11327	4.224542	70.270325	38.741386	-64.25963	0.3308981	196.16756296157837
28	293.02603	48.11109	334.36423	225.55542	281.4518	68.25454	334.62558	43.038662	400.0	386.4	30799	65.283066	4.397453	71.50573	38.15957	-65.42912	0.29815912	203.35285449028015
29	305.02237	23.7009	337.00732	280.3511	296.7602	27.777182	337.03146	239.14769	400.0	400.0	31899	66.54747	4.4877	72.56042	38.65449	-66.69446	0.27407572	210.80660700798035
30	298.86963	5.1459503	304.01556	293.72366	305.31964	28.744148	333.42175	223.42247	400.0	400.0	32999	67.655106	4.5661664	73.75491	37.777695	-67.80653	0.29324436	218.4126319885254
31	294.6337	21.531227	325.01755	277.7076	268.61215	107.776344	336.38217	15.963605	400.0	352.05	34099	68.804634	4.5701504	74.83928	37.543213	-68.95611	0.2571616	225.71365094184875
32	277.6066	42.39759	314.43402	218.21558	226.54428	121.527985	337.5939	18.631449	400.0	314.95	35199	69.844315	4.59538	75.87446	36.353733	-69.99851	0.3177472	234.05659651756287
33	317.8166	10.791948	332.10025	306.01837	215.82693	120.42216	332.95145	36.533176	400.0	312.45	36299	70.95838	4.5537004	77.04207	35.740147	-71.128876	0.3162274	242.34638333320618
34	149.59187	111.61979	291.42755	38.031643	247.94498	91.57228	332.67438	0.6141341	242.5	368.55	37399	71.94239	4.503187	77.823685	35.59164	-72.1047	0.44506636	249.74280524253845
35	266.48502	28.903957	307.3511	245.25719	247.96834	107.92134	331.0303	35.567364	400.0	353.5	38499	72.85502	4.4125404	78.68384	36.735863	-73.02551	0.45980135	258.0962190628052
36	295.2245	22.733353	317.95786	272.49115	278.82452	87.16283	332.20474	23.602835	400.0	386.05	39599	73.75928	4.360418	79.67606	37.967438	-73.93454	0.5313642	265.4894292354584
37	256.6866	54.749714	299.90286	179.4407	284.9671	42.160004	323.66132	193.45316	400.0	400.0	40699	74.68254	4.388398	80.71171	37.3418	-74.87982	0.51508665	273.1494598388672
38	268.8893	32.790394	314.2067	237.71207	287.34055	60.312862	333.13052	34.579144	400.0	384.75	41799	75.6423	4.4386325	81.886086	38.226032	-75.84667	0.4763239	282.0304551124573
39	287.04407	18.414013	306.36594	262.26318	268.49893	29.429905	313.9174	216.58151	400.0	400.0	42899	76.556076	4.445706	82.87703	38.74702	-76.764084	0.44070774	289.9107434749603
40	140.53918	108.901	287.43463	27.02351	286.2079	44.091373	337.3902	153.73254	298.0	400.0	43999	77.40934	4.5129323	83.68191	39.237995	-77.614845	0.52070737	297.47223472595215
