Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	262.82123	9.843185	272.6644	252.97803	258.77316	118.969086	336.5686	5.3732543	400.0	338.0	1099	0.5702999	0.23449796	1.1074444	-1.0645012	-0.7021399	0.048082966	2.8635387420654297
2	251.4904	42.071693	310.71582	216.94797	299.85696	42.79031	337.1438	167.80524	400.0	400.0	2199	2.6212351	1.2529885	5.3377705	-0.9716572	-2.7246454	0.0078081903	10.041675806045532
3	244.50432	29.62516	266.9071	202.64249	297.5836	46.02505	333.868	133.27377	400.0	400.0	3299	6.425372	1.7895972	9.971779	-1.1592238	-6.562699	0.008627541	17.06532073020935
4	298.26666	24.987078	316.56842	262.93726	289.55292	61.886528	338.12906	44.173176	400.0	384.45	4399	10.346618	2.2971613	14.45686	-1.6414399	-10.512458	0.01809391	23.975301504135132
5	252.07965	13.862091	265.94174	238.21756	232.14542	107.252075	332.40967	4.546766	400.0	338.0	5499	14.527786	2.5235393	18.821775	1.0903136	-14.727089	0.021320255	30.741349697113037
6	303.62802	22.301805	320.26904	272.10486	236.01457	91.63077	330.59	22.01337	400.0	353.3	6599	18.577833	2.6335983	22.850166	5.467223	-18.759153	0.03357551	37.17695617675781
7	273.44907	23.907766	307.23538	255.44466	192.09055	116.92376	310.37015	25.137472	400.0	291.35	7699	22.373503	2.739096	26.75544	7.6249714	-22.556997	0.039773405	43.265281200408936
8	305.1255	19.555897	326.52652	279.2544	258.28925	66.64695	326.7726	31.933966	400.0	376.65	8799	26.017479	2.8096015	30.274029	11.217941	-26.206512	0.029762719	49.872129678726196
9	277.0995	22.709656	299.80914	254.38983	199.30746	61.16352	290.9817	59.129932	400.0	350.8	9899	29.450554	2.7622278	33.73082	14.795258	-29.62929	0.0218514	56.30736017227173
10	292.03146	18.23558	307.6539	266.45062	232.33638	57.009357	315.95404	35.41849	400.0	385.15	10999	32.603607	2.8316734	37.089867	18.608236	-32.787045	0.020044196	62.91755270957947
11	290.80362	3.283723	294.50235	286.52243	208.31802	85.54308	327.64188	45.827477	400.0	338.3	12099	35.64729	2.8888245	40.20949	21.359179	-35.832355	0.017629787	69.64635801315308
12	277.6987	28.863728	318.51044	256.60495	253.53613	75.85123	327.0967	47.916496	400.0	370.45	13199	38.46578	3.0174265	43.145023	22.563234	-38.646442	0.020236379	78.06885433197021
13	293.4405	14.317932	307.75842	279.12256	233.97835	74.94559	314.65778	25.958477	400.0	368.05	14299	41.19776	3.097009	46.151535	25.105736	-41.381126	0.020073328	85.30178236961365
14	252.18005	34.924606	297.42136	212.39809	236.30229	88.01649	321.1855	24.790447	400.0	352.55	15399	43.75737	3.1890159	49.059147	27.949448	-43.945873	0.024308797	92.02506685256958
15	254.3678	48.72501	314.53918	195.20044	266.2226	69.16376	322.00278	26.706232	400.0	383.65	16499	46.00248	3.2404084	51.544388	29.79325	-46.161835	0.026628768	100.55061197280884
16	273.73978	35.39172	317.45026	230.76805	236.81026	84.70035	327.071	29.872032	400.0	361.25	17599	47.92475	3.432045	53.524864	28.671148	-48.08178	0.030621227	107.06329774856567
17	149.01974	125.09676	329.14304	27.621313	246.91104	68.783295	313.40823	61.698166	245.0	400.0	18699	49.85657	3.6332216	55.587757	16.947392	-50.018524	0.06746581	113.89358329772949
18	176.39948	59.358067	245.46834	100.5469	185.83096	102.3939	337.87863	11.040787	400.0	356.35	19799	51.545277	4.134267	57.65368	11.5893955	-51.72199	0.09666087	120.6173996925354
19	178.80008	38.90119	217.70128	139.8989	176.5627	116.9987	319.06894	16.4694	400.0	319.5	20899	52.984665	4.847482	59.750816	6.1464615	-53.18892	0.0829395	127.45939636230469
20	218.78609	88.81657	323.50656	106.36096	212.83882	95.37969	321.748	33.154343	400.0	345.5	21999	54.50967	5.617298	62.06367	4.3870306	-54.749126	0.085233234	134.52111983299255
21	232.38297	122.779526	312.58423	20.047998	252.39798	97.30384	337.19934	23.090902	317.75	360.2	23099	56.34026	5.8943014	64.3809	2.8019607	-56.604736	0.08446145	141.9560685157776
22	257.0983	64.83539	321.9337	192.26291	210.11096	113.94356	328.2245	5.251909	400.0	347.45	24199	58.266823	5.9333014	67.04674	1.7473507	-58.550293	0.11140366	150.39463877677917
23	126.55977	123.04107	271.36566	-9.230372	253.50859	91.47484	334.3051	-2.5794744	227.8	368.2	25299	60.10692	5.9523306	69.86783	3.5161588	-60.400967	0.14680777	157.46989965438843
24	287.69824	20.513725	307.28543	259.37155	248.4017	100.88931	330.1073	22.420544	400.0	351.05	26399	61.913586	6.2266273	71.92494	4.227645	-62.215454	0.18264934	164.3325686454773
25	254.57611	38.62678	284.94873	200.06844	270.878	96.70392	335.18964	15.062287	400.0	361.2	27499	63.80535	6.346831	73.8697	3.4058235	-64.14294	0.1845278	170.98712182044983
