Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	286.87616	12.621445	299.49762	274.25473	318.92087	11.713855	336.34766	282.23315	400.0	400.0	1099	0.953472	0.28616002	4.1364303	-5.3976903	-1.4835708	0.0707238	3.825469970703125
2	302.54852	5.056963	309.1531	296.87054	35.89201	13.861183	84.71027	15.1294155	400.0	124.5	2199	3.3626056	1.2401428	12.789451	-7.7340674	-3.5027833	0.0129657695	12.062901258468628
3	294.51624	23.264893	320.08762	263.8012	43.6273	29.68259	108.81628	12.048222	400.0	105.55	3299	7.8794656	1.4168531	17.932753	-9.310805	-8.104336	0.019484755	20.67623734474182
4	292.25964	18.517748	312.8784	267.96774	36.823883	19.267406	93.12843	10.50069	400.0	103.9	4399	12.4964	1.4639889	21.900558	0.07072444	-12.748271	0.016512629	29.108763933181763
5	254.85068	15.12748	269.97815	239.72319	43.082905	23.318708	108.29643	14.3769045	400.0	108.85	5499	16.989014	1.5488365	32.01174	0.45790964	-17.223776	0.03063393	37.767070293426514
6	276.35004	10.873155	291.5908	266.9611	52.084736	24.426512	116.34125	28.67844	400.0	137.6	6599	20.963793	1.6131941	33.848	-2.4220734	-21.126253	0.035417236	47.51422381401062
7	305.97	15.388139	326.9239	290.40454	34.787083	16.064379	75.90765	12.709205	400.0	102.75	7699	24.346325	1.692492	35.642982	7.818735	-24.462439	0.030023905	55.84852051734924
8	274.3626	21.005825	298.93582	247.61969	36.251087	21.171482	105.16636	5.252459	400.0	98.4	8799	27.419098	1.778906	42.286777	10.846727	-27.516623	0.036259834	64.18394422531128
9	256.63345	17.61789	274.25134	239.01556	42.8976	22.230124	82.73826	5.340356	400.0	135.95	9899	30.214611	1.980537	50.550175	12.161287	-30.295013	0.04465302	72.57422542572021
10	299.89978	10.598066	314.7215	290.56122	37.989044	20.977097	85.17162	10.982972	400.0	105.6	10999	32.72891	2.1258993	54.509766	15.400927	-32.792065	0.037244532	81.47817778587341
11	316.2861	8.661804	324.7617	304.3891	42.13806	26.204134	114.87392	6.4333305	400.0	121.7	12099	35.07588	2.233674	51.936832	13.617527	-35.12685	0.056536093	90.16075849533081
12	294.0098	20.845598	322.5713	273.4053	41.64673	24.852633	111.68269	13.903209	400.0	108.15	13199	37.299725	2.3382483	55.571907	19.849493	-37.33494	0.054625787	98.71766400337219
13	290.3871	16.307724	306.69482	274.07938	46.91298	25.16937	106.29721	19.860254	400.0	122.8	14299	39.28678	2.3897755	58.774998	19.215912	-39.33139	0.066594064	107.78185725212097
14	173.09213	124.76471	306.8453	19.421997	31.811722	20.225082	82.83125	-1.0351067	273.0	106.25	15399	41.28562	2.4967027	82.41301	14.381231	-41.343422	0.10622761	116.8723623752594
15	50.91706	28.042606	88.2608	5.738546	44.561172	24.274391	97.49226	5.4882464	119.25	110.0	16499	42.893787	3.0302722	73.75526	10.055036	-42.900562	0.34374058	126.10780239105225
16	100.56926	54.302074	191.58919	33.79215	211.63972	103.11384	336.60052	21.336817	198.2	353.3	17599	44.483162	3.8910553	80.975235	1.6767156	-44.7012	0.5049727	137.72551155090332
17	308.89847	9.723017	318.73386	295.65884	224.56021	130.06567	333.19754	-52.023018	400.0	357.1	18699	46.647175	3.9691474	107.441444	2.7829788	-47.001648	1.0812595	147.88670420646667
18	173.63861	127.531876	332.49625	-6.0660977	62.307983	81.66906	332.31076	-44.35475	317.75	201.45	19799	49.265903	3.5589623	105.98886	8.917275	-49.668247	1.2608681	157.20616102218628
19	188.58514	136.47878	327.49173	27.00601	72.42976	82.33713	301.97083	-11.938071	273.0	201.15	20899	51.755116	3.8393734	103.353546	3.6958323	-52.125504	1.1336433	166.6548867225647
20	177.05304	133.87177	322.22388	-0.7775527	53.940742	71.13928	327.12827	-12.386336	288.66666	152.0	21999	54.108803	4.233945	98.12978	-6.6785145	-54.470467	1.0380201	175.68067932128906
21	97.48622	120.1266	333.58377	12.009954	89.43873	119.37488	334.1111	-1.0001107	213.2	153.45	23099	56.317932	4.8186026	90.7303	-17.130978	-56.6758	0.9576362	185.01104259490967
