Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	223.34639	9.790924	233.13731	213.55547	227.66342	142.07056	352.32828	12.591124	400.0	316.2	1099	0.37824532	0.29912108	12.069026	-11.47241	-0.5313716	0.09947417	2.3603127002716064
2	283.0056	12.284289	298.92648	269.02438	79.96917	58.79609	193.10359	10.518987	400.0	147.0	2199	2.6923096	1.2638099	8.442413	-9.936932	-2.8722682	0.020275889	8.050971031188965
3	277.20224	21.094074	293.59155	247.42096	163.62132	108.14972	313.5422	32.442772	400.0	237.85	3299	6.88786	1.6428849	46.095665	-22.815353	-7.102286	0.042760413	14.63033652305603
4	259.96326	25.370483	279.82504	224.15527	162.35202	101.5275	302.44153	12.982807	400.0	267.2	4399	11.163743	1.9066858	23.111242	-14.946152	-11.383221	0.019177614	20.282409191131592
5	312.4803	10.803238	323.28354	301.67706	181.2939	84.480865	335.51898	30.326368	400.0	284.35	5499	15.317502	2.273537	23.683924	-19.070967	-15.525898	0.030019881	26.154378652572632
6	261.62485	47.894962	329.33725	226.29802	142.49504	79.77127	256.4695	16.181728	400.0	273.2	6599	19.168	2.6577222	26.256079	-3.2315748	-19.340984	0.041718796	32.20748448371887
7	241.94739	31.704561	275.4002	199.36656	162.47427	71.60585	276.17432	1.7450982	400.0	286.15	7699	22.624634	2.9828448	26.783714	-10.527637	-22.774673	0.056942426	38.5325391292572
8	308.91757	26.24367	331.66635	272.147	155.45825	81.60795	293.78616	29.784065	400.0	263.6	8799	25.877615	3.3079834	30.179325	-2.9622583	-26.01663	0.06300833	44.308852672576904
9	270.48938	0.27783203	270.7672	270.21155	110.52798	56.6892	286.92947	21.741734	400.0	183.3	9899	28.991127	3.5457015	35.09003	-1.152383	-29.114439	0.078343436	50.06063365936279
10	277.0271	32.153137	322.38434	251.55963	82.789604	66.66463	234.35765	18.471563	400.0	143.45	10999	31.776426	3.8444157	36.648144	1.8458054	-31.89245	0.07347232	54.62954497337341
11	289.60788	32.037697	334.5873	262.40033	51.084496	40.871845	192.6272	19.160803	400.0	106.1	12099	34.541946	3.9440725	39.433598	-9.2335	-34.673767	0.09488803	59.32353925704956
12	285.86972	39.744522	341.1902	249.59703	60.668507	72.30369	340.25592	5.772872	400.0	146.35	13199	37.354424	3.9551399	46.38952	7.535906	-37.550156	0.095027134	64.73402261734009
13	327.38293	6.3361664	333.7191	321.04675	49.248604	72.45987	350.85593	-0.36684126	400.0	121.55	14299	40.355125	3.8767436	57.3317	-2.907674	-40.558685	0.085885055	69.51257085800171
14	208.38478	116.96829	285.66458	6.3173165	63.835815	76.27646	336.86655	10.164403	317.0	123.0	15399	43.10825	3.806682	54.687336	14.76496	-43.317577	0.092635475	75.27621412277222
15	63.482006	68.932365	197.69908	11.877264	137.81068	89.14516	308.03265	23.99761	185.8	296.75	16499	45.181797	4.3622274	78.05403	3.2941928	-45.391613	0.36412176	81.35978078842163
16	181.58574	136.13318	322.17184	13.059965	129.7303	107.15579	352.00833	2.5843608	275.6	230.7	17599	47.362083	4.6822906	70.6804	11.131213	-47.588673	0.4164178	88.09412145614624
17	125.17859	102.794876	260.98343	15.985129	129.40295	107.87418	348.43774	12.385025	240.5	230.8	18699	49.188988	5.469262	76.867195	9.806985	-49.43069	0.5654052	93.7560544013977
18	88.0289	78.45554	242.2438	3.216326	138.8855	96.56353	293.3833	14.98945	203.33333	287.0	19799	50.95107	6.3063545	71.1485	3.1242976	-51.194668	0.6756815	100.67925882339478
19	85.910805	95.93202	250.80186	15.418166	237.1377	100.50045	337.00937	16.571703	235.5	351.4	20899	52.40687	7.285885	70.919334	-0.29050863	-52.653084	0.7694244	107.02683758735657
20	284.13034	32.41728	318.57312	240.70607	219.40405	95.92356	338.30225	13.623354	400.0	346.15	21999	53.92135	7.9833016	73.401985	-3.6777797	-54.182068	0.6820212	113.48754024505615
21	256.47202	39.664898	303.47687	206.45801	216.71634	96.84607	337.02072	32.90149	400.0	360.95	23099	55.639503	8.315325	73.037605	-4.839082	-55.90316	0.7163263	121.10914134979248
22	271.98077	30.87893	302.8597	241.10185	250.21301	67.94353	349.82883	29.221827	400.0	384.9	24199	57.35079	8.525143	78.90489	-5.9363503	-57.602512	0.7051002	127.5989043712616
23	209.77325	42.350243	258.57184	155.30174	244.24773	65.86733	336.91473	1.6900378	400.0	384.4	25299	58.752056	8.906733	86.11463	-6.436365	-59.020123	0.6899017	133.7958755493164
24	249.38972	61.116802	327.9188	178.85564	270.75937	27.565416	332.27927	229.75903	400.0	400.0	26399	60.271347	9.148779	78.68661	-5.434402	-60.545498	0.8007538	140.44320106506348
25	249.13191	13.635446	260.72006	229.98964	277.94464	33.690266	324.90826	193.25642	400.0	400.0	27499	61.759506	9.313255	92.44033	-4.0469575	-62.04643	0.7529551	147.08975982666016
26	270.6976	12.463593	283.1612	258.234	255.9957	43.643604	332.14435	185.91377	400.0	400.0	28599	63.227802	9.433063	90.30587	-3.4011643	-63.51309	0.7573465	153.74575185775757
27	270.402	11.6142	285.4446	257.1689	284.2255	31.545898	331.17557	215.3433	400.0	400.0	29699	64.67564	9.498101	89.090996	-2.1594372	-64.957375	0.72028095	160.3413224220276
28	285.03568	30.418999	307.89133	242.04541	279.09555	43.293064	333.20917	195.23616	400.0	400.0	30799	66.036026	9.532678	104.14385	-1.7530763	-66.311844	0.69692725	166.95154929161072
29	209.36763	77.7762	297.29004	108.17057	242.95354	76.515724	340.45398	33.703445	400.0	387.1	31899	67.33633	9.588483	93.687614	-1.2468624	-67.62122	0.7680728	175.1461009979248
30	185.98181	117.280365	300.85834	24.935802	261.32922	72.428764	341.13663	-2.0022755	315.66666	383.55	32999	68.41825	9.655213	94.12622	-0.7485776	-68.70535	0.78411746	181.716881275177
31	268.66116	27.181807	300.01746	233.7252	286.5426	44.006775	351.635	194.10301	400.0	400.0	34099	69.490486	9.688502	104.19136	0.2036283	-69.774765	0.79134315	187.6781520843506
32	263.03088	9.51506	272.54593	253.51581	311.21826	27.557762	351.2408	252.24403	400.0	400.0	35199	70.623474	9.6825485	94.656654	1.4857974	-70.91716	0.76337075	194.0257043838501
33	315.1391	38.124737	350.65738	262.25046	288.87024	71.2852	352.0308	0.87695813	400.0	383.1	36299	71.81913	9.682415	90.704346	2.0105224	-72.11439	0.729643	200.26365494728088
34	297.3901	13.953586	316.41284	283.3339	297.17554	71.76608	350.71277	2.445987	400.0	383.25	37399	72.9545	9.607836	114.06599	3.0777385	-73.246735	0.7913522	206.51205229759216
35	294.92163	30.169968	337.5446	271.9357	293.84595	33.474632	348.88428	203.8767	400.0	400.0	38499	74.001396	9.607267	95.56686	4.391858	-74.29676	0.74672943	213.90081071853638
36	305.75668	9.327362	315.08405	296.42932	292.76254	24.421297	340.99088	237.71643	400.0	400.0	39599	75.08929	9.457146	100.09069	5.901664	-75.38973	0.75237536	220.82188844680786
37	256.42416	24.987532	285.6391	224.59953	292.7834	22.196075	323.49594	244.23837	400.0	400.0	40699	75.98956	9.444293	99.79926	6.116514	-76.30035	0.8063124	227.7379069328308
38	290.6854	20.037733	313.88815	264.99536	305.6637	18.6782	348.36234	274.5358	400.0	400.0	41799	77.03415	9.283875	104.48804	4.902669	-77.34066	0.76689035	234.14272046089172
39	275.2899	45.276554	315.08957	211.95114	313.84088	21.324135	350.7848	263.49405	400.0	400.0	42899	77.95978	9.076747	101.3897	4.655491	-78.258354	0.7266207	242.1652853488922
40	285.45358	3.684143	289.13773	281.76944	286.96478	56.906723	352.21664	61.943443	400.0	386.3	43999	78.8094	8.888218	103.68705	3.6453726	-79.10723	0.72503304	250.3727309703827
41	283.16092	26.669939	319.7928	257.06628	282.65274	64.226944	342.9724	44.673004	400.0	385.05	45099	79.627045	8.806411	103.955315	4.6104393	-79.92848	0.791954	256.96383118629456
42	281.86963	27.107567	317.96915	252.64629	305.66998	25.765123	347.5399	242.25966	400.0	400.0	46199	80.38492	8.693742	100.409996	5.226833	-80.68198	0.79256916	263.48826265335083
