Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	176.38638	84.07761	260.464	92.30877	130.63782	75.33122	334.06824	50.102497	400.0	400.0	1099	0.83291084	0.10842314	1.0952442	0.34868443	-0.8550513	0.07965308	15.73941707611084
2	75.30251	20.235058	94.94549	47.45877	158.52943	82.998795	335.01538	46.95752	400.0	400.0	2199	1.9618602	0.9573983	4.7049327	-1.7599901	-2.0766091	0.02655294	80.34166193008423
3	84.56139	24.343603	117.680244	59.861145	121.88285	76.474754	275.46152	51.157333	400.0	400.0	3299	3.8685827	1.7530577	8.23586	-3.4077346	-3.9971187	0.021552367	147.30541586875916
4	83.5619	4.9793973	88.77902	76.85726	129.09686	71.98847	305.1287	48.71659	400.0	400.0	4399	5.6802464	2.5339649	11.508163	-4.5174837	-5.8073244	0.029847808	213.95118832588196
5	102.651276	34.152042	136.80331	68.49923	185.54837	108.940254	327.2584	41.187794	400.0	400.0	5499	7.4724894	3.211083	14.388644	-5.1427917	-7.59683	0.04331592	269.5878396034241
6	128.50632	60.488945	212.92166	74.30258	162.9164	97.31052	332.93112	43.528442	400.0	400.0	6599	9.422425	3.741405	17.154308	-5.6582527	-9.559064	0.050280895	332.72677302360535
7	76.215256	15.467211	97.99603	63.57841	190.3371	91.62516	328.74164	40.680202	400.0	400.0	7699	11.203158	4.0602684	19.864096	-6.5195518	-11.36419	0.054463062	395.0476408004761
8	124.97192	47.503754	189.86519	77.47345	163.42221	85.777176	300.7477	41.332603	400.0	400.0	8799	13.144133	4.3524566	22.632366	-7.2403526	-13.321495	0.05522246	454.5737783908844
9	57.48465	0.26224136	57.74689	57.22241	118.11311	87.7638	307.10403	40.94546	400.0	400.0	9899	14.797174	4.675652	25.26729	-8.1382475	-14.988054	0.05194752	520.6681840419769
10	175.99513	85.54789	268.83972	62.397144	150.2004	84.440506	327.1895	57.046246	400.0	400.0	10999	16.971613	5.2605453	27.928736	-8.853947	-17.179232	0.05270176	586.0694680213928
11	237.13637	102.406044	326.5384	93.76442	172.42802	93.70931	327.99533	42.954685	400.0	400.0	12099	19.26891	5.9095592	30.846252	-9.446312	-19.48896	0.059292797	655.7376170158386
12	107.144714	46.698273	167.24806	53.39106	150.90146	82.95246	307.82007	47.357265	400.0	400.0	13199	21.374344	6.424566	33.523197	-10.149149	-21.611912	0.058691114	718.9626998901367
13	152.75089	51.999878	204.75076	100.75101	141.10384	86.848045	320.61182	42.313465	400.0	400.0	14299	23.524902	6.76141	35.97691	-10.526859	-23.778791	0.0679384	785.9630913734436
