Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	227.68033	80.79346	308.4738	146.88687	259.92633	38.061695	337.21213	200.12001	400.0	400.0	1099	0.6097864	0.21271029	1.2784761	-3.1430602	-0.73691887	0.09268059	3.1113545894622803
2	156.56061	107.13206	306.8238	64.64666	151.11058	55.546078	336.4945	68.63802	400.0	400.0	2199	1.8907994	1.0833105	8.242137	-12.862774	-1.9936323	0.017631035	10.180967807769775
3	80.7894	7.076933	89.57216	72.24208	143.40022	56.84744	289.54843	47.149757	400.0	400.0	3299	4.244057	2.0109115	9.069127	-7.089495	-4.378702	0.02557932	17.380062341690063
4	150.40657	79.27221	255.8784	64.7633	119.665	74.70407	318.1812	49.159603	400.0	400.0	4399	6.7995524	2.9831586	13.2576	-9.438989	-6.9530334	0.04360057	24.6260347366333
5	194.43721	122.95345	317.39066	71.48376	130.36865	67.42517	333.3586	48.265995	400.0	400.0	5499	9.443138	3.9937081	17.468857	-17.445862	-9.624252	0.06370728	31.49479651451111
6	81.656975	5.4820623	89.175285	76.25899	139.11606	79.75244	279.15387	48.56362	400.0	400.0	6599	11.572881	4.8345647	21.480892	-11.42753	-11.77369	0.08707346	38.08601999282837
7	138.71205	97.553185	275.19528	53.02967	223.34457	88.35041	343.5272	58.444477	400.0	400.0	7699	14.013659	5.7489824	25.374086	-16.191975	-14.214464	0.11271257	46.762147665023804
8	73.46393	13.460938	86.87827	55.05903	254.73056	64.293884	344.06824	139.43831	400.0	400.0	8799	15.79748	6.419056	29.056957	-15.338668	-15.997965	0.12885332	53.52788043022156
9	74.991844	10.682701	85.674545	64.30914	293.26932	31.554003	342.25574	211.3337	400.0	400.0	9899	17.492666	6.978219	32.466095	-20.412249	-17.71473	0.13305536	60.18272638320923
10	150.88121	82.75454	252.98624	50.29695	224.68747	94.35474	337.24722	46.56374	400.0	400.0	10999	19.565575	7.484606	35.66444	-23.474949	-19.8131	0.13200764	67.06044411659241
11	151.7807	86.56907	274.14316	87.15322	282.81314	28.747265	325.00812	237.24237	400.0	400.0	12099	22.19075	8.008018	38.4954	-19.929462	-22.501104	0.12854633	74.60921239852905
12	172.30066	99.291595	312.06055	90.647255	302.34274	29.461119	341.3001	220.51913	400.0	400.0	13199	24.613014	8.178746	41.182083	-17.6214	-24.941444	0.12557635	82.37947988510132
