Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	76.35961	4.9524307	81.31204	71.40718	130.37198	66.57929	293.05215	50.36733	400.0	400.0	1099	0.17525023	0.11022433	0.5220624	-0.20407285	-0.24230969	0.04540868	3.014176845550537
2	90.1757	12.337256	100.0551	72.781685	145.74583	82.9039	302.93686	47.002922	400.0	400.0	2199	1.1501108	0.6961497	3.34204	-1.3692089	-1.2655245	0.025267042	10.534137487411499
3	152.45607	97.569595	290.21255	76.714836	138.36215	91.59793	303.25748	43.43743	400.0	400.0	3299	2.9622805	1.2541368	6.3638844	-2.8506386	-3.061207	0.031827148	17.6887366771698
4	139.24194	50.84634	209.17574	89.78456	181.89531	80.88436	284.33456	41.18589	400.0	400.0	4399	5.0356464	1.9300985	10.168497	-4.3405337	-5.137049	0.052720267	26.338616609573364
5	76.29254	14.925644	91.218185	61.366898	177.63179	112.792206	333.41547	44.467102	400.0	400.0	5499	6.881943	2.7131875	13.863914	-6.532202	-7.005906	0.09704941	33.584877014160156
6	99.81393	13.491561	118.6272	87.65432	240.03616	25.266329	300.7112	189.98798	400.0	400.0	6599	8.812227	3.2239933	17.485313	-6.712309	-8.988856	0.15372193	41.129687547683716
7	89.25718	27.20003	120.07288	53.910507	252.46077	20.201838	280.32925	219.31903	400.0	400.0	7699	10.7090435	3.70052	20.93005	-6.9569335	-10.902252	0.17921503	47.930832386016846
8	119.524506	82.96725	236.5328	53.461277	299.61212	22.565405	335.79117	253.53262	400.0	400.0	8799	12.759847	4.3063025	24.432861	-8.41497	-12.971057	0.18226625	56.430235147476196
9	90.05025	0.22946548	90.27971	89.82078	280.805	33.187054	325.07043	210.1406	400.0	400.0	9899	14.837265	4.8472967	27.947474	-9.203718	-15.09278	0.17978369	63.37389922142029
10	145.40419	77.18818	254.10489	82.38545	279.5556	32.139965	328.186	221.81944	400.0	400.0	10999	17.074066	5.244524	31.384043	-9.339583	-17.35881	0.16156745	70.64227652549744
11	130.44794	81.14722	243.01859	54.844414	292.28192	27.132704	329.1687	232.4095	400.0	400.0	12099	19.447906	5.9034224	34.61915	-9.272804	-19.74384	0.13212234	77.29136538505554
12	71.796814	4.372507	76.78956	66.140915	260.2031	23.526022	296.36118	215.99214	400.0	400.0	13199	21.751978	6.427933	37.605995	-8.954259	-22.07848	0.10826871	84.5106270313263
13	200.86865	106.117546	306.9862	94.751114	277.29782	29.987772	339.72293	228.209	400.0	400.0	14299	24.013678	6.862594	40.868473	-7.5425067	-24.34625	0.09212528	91.71203398704529
14	139.78355	62.74265	228.4978	93.9111	285.4963	27.229736	340.27798	244.80153	400.0	400.0	15399	26.362925	7.2696486	43.617268	-5.9271164	-26.679909	0.08283711	100.08274698257446
15	281.7096	9.365522	292.12772	269.4177	294.81863	20.31189	327.84158	255.88264	400.0	400.0	16499	28.796055	7.7487626	46.387684	-4.573363	-29.095963	0.08370063	107.7535240650177
16	276.79355	20.136904	294.5546	248.63477	302.40042	18.483768	344.6249	260.19547	400.0	400.0	17599	31.198128	8.283427	48.837597	-4.583735	-31.486233	0.090164736	115.38434791564941
17	243.39117	22.190887	265.58206	221.20029	278.9634	30.351028	325.808	229.01619	400.0	400.0	18699	33.37848	8.855491	51.23711	-7.771089	-33.6675	0.104071215	123.07604837417603
18	271.06757	13.116858	280.4828	252.51823	293.35388	29.037205	338.38727	225.98578	400.0	400.0	19799	35.75381	9.150669	53.47808	-8.55768	-36.050446	0.12021201	130.51125860214233
19	264.44846	17.881865	288.40158	245.44858	298.19565	31.159494	331.89935	227.05386	400.0	400.0	20899	38.033154	9.339389	55.63494	-8.846079	-38.33166	0.13995609	137.72312879562378
20	279.91006	9.0721855	291.76605	269.73547	308.37585	28.777834	344.8248	236.52722	400.0	400.0	21999	40.232525	9.316577	57.642117	-8.955482	-40.519985	0.14588022	146.4097158908844
21	271.99133	6.1377106	278.12906	265.85364	301.85126	23.516764	347.39316	261.82462	400.0	400.0	23099	42.270447	9.209333	59.518665	-8.559997	-42.5461	0.15268111	154.90585803985596
22	271.95035	37.11428	305.93204	220.31648	298.57367	30.479155	339.88437	253.00653	400.0	400.0	24199	44.17676	9.151276	61.213524	-7.7006555	-44.44426	0.15442567	162.5245795249939
23	289.5753	1.8240106	291.82806	287.36066	298.6853	28.083445	343.8944	253.46814	400.0	400.0	25299	46.005917	9.152439	62.821636	-7.130526	-46.26038	0.146324	170.19128894805908
24	246.70549	5.255107	253.70602	241.04453	303.33646	24.394173	344.88974	272.5048	400.0	400.0	26399	47.659817	9.144907	64.3433	-6.4287167	-47.89969	0.13723588	177.37222337722778
25	260.1635	1.1967163	261.36023	258.9668	313.33185	21.428097	341.15506	261.9223	400.0	400.0	27499	49.1645	9.172943	65.765945	-5.1796308	-49.393677	0.13353075	184.6441524028778
26	253.96101	7.3868637	264.22488	247.14429	314.6449	20.387663	347.66113	270.51535	400.0	400.0	28599	50.575455	9.2408695	67.06465	-4.3151093	-50.79971	0.12669681	191.37792134284973
27	287.1779	28.822594	322.01773	251.43443	312.56097	24.467983	342.93158	253.76846	400.0	400.0	29699	52.09165	9.235977	68.62035	-3.1822865	-52.315155	0.116717584	199.23205137252808
28	276.14172	46.918118	339.54636	227.50266	300.12445	27.18107	335.18	261.28625	400.0	400.0	30799	53.555656	9.337917	69.84352	-1.7232611	-53.77376	0.10961242	207.96857380867004
29	265.6145	26.371223	291.98572	239.24327	306.5144	20.006123	339.68134	270.1099	400.0	400.0	31899	54.9095	9.426875	71.08757	-0.47906148	-55.125427	0.11162355	215.1408154964447
30	268.72534	10.566356	277.3086	253.84042	294.9955	28.415667	343.03464	247.44333	400.0	400.0	32999	56.160923	9.359196	72.256294	0.7965795	-56.382877	0.11361507	222.62563967704773
31	253.84729	24.670853	279.10056	220.37166	310.55304	19.462082	336.75284	272.12134	400.0	400.0	34099	57.42895	9.347967	73.64843	1.7791135	-57.67596	0.11951004	231.3519172668457
32	253.3102	20.685892	269.38516	224.1054	305.9306	22.954865	332.2466	246.08968	400.0	400.0	35199	58.719124	9.3205	74.843155	2.9233918	-58.94313	0.111098565	239.00266122817993
33	278.78836	32.11431	310.90268	246.67406	296.86523	23.319166	336.97083	255.70268	400.0	400.0	36299	59.886063	9.26753	76.078026	4.4704266	-60.10481	0.101133496	245.98784470558167
34	281.7553	9.957154	291.82968	268.1977	309.95526	21.899103	342.37726	256.4454	400.0	400.0	37399	60.99467	9.201205	77.154755	5.4997687	-61.217087	0.09401936	253.44074177742004
35	266.10168	1.4599926	267.83878	264.26657	309.0771	22.935251	343.72772	262.60367	400.0	400.0	38499	62.047184	9.100662	78.12978	6.10273	-62.248013	0.081652336	260.73238587379456
36	263.63028	21.822588	279.71863	232.77797	297.59576	19.986343	331.74432	267.09784	400.0	400.0	39599	62.939686	9.08241	79.05447	6.4330044	-63.11971	0.08208037	268.4903562068939
37	265.5512	14.717766	280.26898	250.83345	305.941	20.730345	338.79968	266.90897	400.0	400.0	40699	63.709515	9.085527	80.057816	6.852883	-63.88335	0.077337116	275.26655077934265
38	281.5261	20.360191	302.54556	253.97398	302.0689	18.826399	336.90106	266.6341	400.0	400.0	41799	64.45583	9.086282	80.97499	8.2137165	-64.62607	0.0867042	282.0491678714752
39	274.2634	26.792707	294.06775	236.38597	304.6096	24.349255	346.3169	271.64227	400.0	400.0	42899	65.15065	9.080146	81.785446	9.1831875	-65.31942	0.08654652	289.26251196861267
40	284.6965	23.91384	318.22162	264.07935	312.23914	21.138798	346.6591	275.81152	400.0	400.0	43999	65.888756	9.085016	82.40412	11.764089	-66.050865	0.08538813	296.5462453365326
41	293.844	0.47201538	294.316	293.37198	308.2709	18.758293	338.922	266.07532	400.0	400.0	45099	66.582565	9.058665	82.99094	13.679111	-66.739975	0.08540501	303.6848301887512
42	292.27213	29.980858	328.75983	255.32631	302.79465	26.082361	339.1381	246.62033	400.0	400.0	46199	67.28429	9.1667	83.49427	12.335381	-67.4367	0.08620375	310.9848804473877
43	273.35266	2.1744208	276.23077	270.9758	292.13177	22.428513	337.3609	256.21066	400.0	400.0	47299	67.96252	9.146113	83.98867	15.45894	-68.11117	0.087479435	318.34209537506104
44	302.36954	21.852467	318.8247	271.4877	298.00833	25.28818	338.31076	255.11934	400.0	400.0	48399	68.53179	9.21554	84.4933	14.568798	-68.68087	0.083445616	326.1619930267334
45	298.80182	29.205551	328.0074	269.59628	294.8593	25.252476	337.9593	257.1549	400.0	400.0	49499	69.23903	9.245367	84.86866	17.022108	-69.39026	0.08866731	335.0080723762512
46	285.35056	33.419685	329.80948	249.23349	301.69196	21.300613	338.88812	263.03818	400.0	400.0	50599	69.85899	9.26449	85.035	17.925821	-70.01177	0.07906843	343.7307450771332
47	298.97128	19.955912	324.82526	276.24448	309.53116	22.0405	337.95074	268.16022	400.0	400.0	51699	70.414215	9.249277	85.28245	17.927998	-70.56656	0.07197719	350.983847618103
48	306.94885	25.735863	327.78864	270.68753	306.31635	25.11351	339.44574	246.38234	400.0	400.0	52799	71.05514	9.18567	85.51374	17.488293	-71.204346	0.070965245	358.23679876327515
49	307.34967	16.228287	323.57794	291.12137	310.16522	24.276703	339.48407	253.2555	400.0	400.0	53899	71.56084	9.195133	85.627464	16.501352	-71.70842	0.07072016	365.51351022720337
50	287.7714	21.613052	315.78198	263.1717	303.8227	29.48041	339.41492	231.65965	400.0	400.0	54999	72.0436	9.086336	85.80937	15.747849	-72.19096	0.067161255	372.8102731704712
51	266.31232	22.277988	282.9368	234.82286	307.0364	27.131353	340.56442	260.2831	400.0	400.0	56099	72.48656	9.023217	85.94464	15.137336	-72.63137	0.074053	380.2797439098358
52	271.31216	16.09422	290.5599	251.16788	303.10654	24.273664	340.02512	258.33234	400.0	400.0	57199	72.84732	8.926213	86.119865	14.8822	-72.99158	0.06732096	387.6687285900116
