x,y,angle_x,angle_y,input_x,input_y
0.018,0.024,9.482,10.366,-0.417,-0.161
0.017,0.024,9.080,10.366,-0.428,-0.182
0.015,0.024,8.679,10.366,-0.425,-0.201
0.014,0.023,8.277,10.286,-0.425,-0.222
0.013,0.022,7.875,10.286,-0.434,-0.246
0.011,0.022,7.393,10.205,-0.436,-0.271
0.010,0.021,6.911,10.125,-0.436,-0.290
0.008,0.021,6.509,10.045,-0.442,-0.317
0.006,0.020,6.107,9.884,-0.453,-0.344
0.005,0.019,5.625,9.643,-0.464,-0.361
0.003,0.018,5.223,9.402,-0.475,-0.370
0.001,0.017,4.661,9.080,-0.486,-0.387
-0.000,0.017,4.179,8.759,-0.491,-0.385
-0.004,0.015,3.054,7.955,-0.557,-0.379
-0.008,0.012,1.688,7.232,-0.782,-0.370
-0.011,0.010,0.161,6.509,-0.763,-0.368
-0.015,0.008,-1.848,5.786,-0.727,-0.372
-0.019,0.005,-3.777,5.062,-0.650,-0.392
-0.022,0.002,-5.625,4.259,-0.591,-0.411
-0.024,-0.000,-6.991,3.616,-0.548,-0.424
-0.026,-0.002,-7.714,3.134,-0.513,-0.424
-0.028,-0.003,-8.357,2.732,-0.483,-0.468
-0.029,-0.005,-9.000,2.170,-0.467,-0.680
-0.031,-0.006,-9.482,1.527,-0.450,-0.675
-0.032,-0.008,-9.964,0.804,-0.447,-0.667
-0.033,-0.009,-10.527,0.000,-0.439,-0.651
-0.035,-0.011,-11.009,-0.884,-0.424,-0.631
-0.036,-0.012,-11.491,-1.768,-0.418,-0.608
-0.037,-0.014,-11.893,-2.571,-0.409,-0.588
-0.038,-0.015,-12.375,-3.375,-0.406,-0.585
-0.039,-0.017,-12.777,-4.098,-0.390,-0.578
-0.040,-0.019,-13.098,-4.821,-0.380,-0.574
-0.041,-0.020,-13.500,-5.625,-0.375,-0.544
-0.042,-0.022,-13.821,-6.268,-0.359,-0.506
-0.043,-0.023,-14.223,-7.071,-0.354,-0.484
-0.044,-0.025,-14.545,-7.554,-0.340,-0.452
-0.045,-0.026,-14.866,-8.196,-0.327,-0.449
-0.045,-0.028,-15.188,-8.759,-0.316,-0.428
-0.046,-0.029,-15.509,-9.241,-0.301,-0.415
-0.047,-0.030,-15.750,-9.723,-0.291,-0.409
-0.047,-0.032,-15.991,-10.125,-0.287,-0.404
-0.048,-0.033,-16.232,-10.607,-0.278,-0.404
-0.048,-0.034,-16.393,-11.009,-0.269,-0.398
-0.049,-0.035,-16.554,-11.491,-0.267,-0.392
-0.049,-0.037,-16.714,-11.893,-0.263,-0.380
-0.049,-0.038,-16.795,-12.295,-0.254,-0.374
-0.049,-0.039,-16.955,-12.696,-0.250,-0.369
-0.049,-0.040,-17.036,-13.018,-0.237,-0.359
-0.049,-0.040,-17.116,-13.339,-0.226,-0.351
-0.049,-0.041,-17.196,-13.661,-0.209,-0.346
-0.049,-0.042,-17.196,-14.062,-0.192,-0.340
-0.048,-0.043,-17.196,-14.384,-0.179,-0.322
-0.048,-0.044,-17.196,-14.625,-0.168,-0.314
-0.048,-0.044,-17.196,-14.946,-0.155,-0.308
-0.047,-0.045,-17.196,-15.188,-0.135,-0.291
-0.047,-0.045,-17.196,-15.429,-0.108,-0.287
-0.046,-0.046,-17.196,-15.670,0.124,-0.274
-0.045,-0.046,-17.196,-15.911,0.153,-0.265
-0.044,-0.047,-17.116,-16.152,0.185,-0.255
-0.043,-0.048,-16.795,-16.473,0.223,-0.245
-0.042,-0.048,-16.634,-16.714,0.264,-0.242
-0.041,-0.048,-16.312,-16.875,0.276,-0.217
-0.040,-0.048,-16.071,-16.955,0.290,-0.205
-0.038,-0.048,-15.589,-17.116,0.295,-0.196
-0.037,-0.048,-15.188,-17.277,0.320,-0.179
-0.034,-0.048,-14.384,-17.357,0.336,-0.155
-0.033,-0.048,-13.821,-17.438,0.360,-0.123
-0.030,-0.047,-12.938,-17.438,0.354,0.103
-0.026,-0.046,-11.812,-17.357,0.393,0.146
-0.023,-0.045,-10.688,-17.116,0.401,0.180
-0.021,-0.044,-10.125,-17.036,0.400,0.200
-0.017,-0.043,-8.839,-16.554,0.392,0.218
-0.013,-0.041,-7.714,-16.152,0.417,0.234
-0.010,-0.040,-6.670,-15.670,0.437,0.253
-0.008,-0.039,-6.027,-15.348,0.419,0.254
-0.005,-0.038,-5.384,-15.027,0.417,0.260
-0.003,-0.036,-4.741,-14.545,0.425,0.265
-0.001,-0.035,-4.098,-14.223,0.435,0.264
0.001,-0.034,-3.375,-13.741,0.444,0.276
0.004,-0.033,-2.812,-13.500,0.501,0.283
0.006,-0.031,-2.009,-13.098,0.716,0.307
0.008,-0.030,-1.205,-12.777,0.717,0.323
0.010,-0.029,-0.080,-12.295,0.713,0.344
0.013,-0.027,1.125,-11.812,0.681,0.350
0.015,-0.025,2.170,-11.250,0.655,0.348
0.017,-0.024,3.455,-10.607,0.634,0.340
0.019,-0.022,4.420,-10.125,0.608,0.326
0.021,-0.020,5.464,-9.562,0.609,0.336
0.024,-0.019,6.509,-9.080,0.581,0.338
0.026,-0.017,7.554,-8.679,0.535,0.352
0.028,-0.015,8.518,-8.116,0.487,0.368
0.030,-0.013,9.321,-7.554,0.446,0.373
0.031,-0.011,10.205,-6.911,0.423,0.377
0.033,-0.009,10.848,-6.348,0.392,0.373
0.035,-0.008,11.571,-5.705,0.380,0.376
0.037,-0.006,12.214,-5.143,0.365,0.373
0.038,-0.004,12.777,-4.580,0.349,0.379
0.040,-0.002,13.339,-4.018,0.345,0.385
0.042,0.000,13.982,-3.214,0.335,0.382
0.043,0.002,14.545,-2.732,0.316,0.420
0.044,0.004,15.188,-2.009,0.299,0.632
0.047,0.008,16.152,-0.402,0.277,0.622
0.048,0.010,16.554,0.643,0.267,0.600
0.049,0.012,16.875,1.607,0.245,0.544
0.050,0.013,17.277,2.652,0.240,0.524
0.051,0.015,17.679,3.616,0.224,0.496
0.051,0.017,18.000,4.500,0.203,0.487
0.052,0.019,18.321,5.304,0.190,0.490
0.053,0.020,18.562,6.107,0.180,0.489
0.053,0.022,18.804,6.911,0.171,0.451
0.053,0.023,19.125,7.714,0.155,0.412
0.054,0.025,19.366,8.438,0.131,0.376
0.054,0.026,19.688,9.161,0.109,0.344
0.054,0.028,19.768,9.643,-0.125,0.313
0.054,0.029,19.848,10.286,-0.137,0.304
0.054,0.030,19.848,10.768,-0.150,0.277
0.054,0.031,19.768,11.170,-0.164,0.268
0.053,0.033,19.768,11.652,-0.175,0.257
0.053,0.034,19.768,12.054,-0.200,0.242
0.052,0.034,19.688,12.536,-0.234,0.229
0.051,0.035,19.688,12.857,-0.268,0.206
0.050,0.036,19.607,13.179,-0.307,0.202
0.049,0.037,19.527,13.500,-0.346,0.188
0.047,0.038,19.125,14.062,-0.398,0.179
0.044,0.039,18.643,14.625,-0.470,0.164
0.041,0.040,17.839,15.027,-0.532,0.126
0.039,0.040,16.955,15.348,-0.561,-0.106
0.036,0.040,16.152,15.429,-0.548,-0.137
0.032,0.040,14.866,15.348,-0.559,-0.145
0.029,0.040,13.741,15.348,-0.565,-0.149
0.027,0.039,13.259,15.348,-0.549,-0.171
0.024,0.039,12.616,15.268,-0.561,-0.191
0.022,0.038,11.812,15.268,-0.570,-0.207
