x,y,angle_x,angle_y,input_x,input_y
-0.012,-0.051,-1.929,-8.518,-0.363,-0.279
-0.018,-0.055,-3.134,-9.080,-0.328,-0.268
-0.024,-0.059,-3.857,-9.562,-0.424,-0.258
-0.030,-0.063,-4.982,-10.125,-0.390,-0.227
-0.035,-0.066,-6.268,-10.607,-0.273,-0.200
-0.039,-0.069,-6.830,-10.768,-0.238,-0.187
-0.044,-0.072,-7.232,-10.929,-0.251,-0.219
-0.046,-0.073,-7.554,-11.009,-0.173,-0.194
-0.047,-0.074,-7.634,-11.089,-0.121,-0.138
-0.047,-0.073,-7.634,-11.089,0.123,0.115
-0.047,-0.072,-7.393,-10.929,0.154,0.125
-0.045,-0.071,-6.991,-10.446,0.185,0.117
-0.042,-0.069,-6.509,-10.125,0.221,0.126
-0.039,-0.067,-5.705,-9.562,0.214,0.114
-0.034,-0.065,-4.821,-9.161,0.227,0.103
-0.026,-0.060,-3.536,-8.759,0.297,0.185
-0.021,-0.057,-2.330,-8.277,0.194,0.192
-0.015,-0.053,-1.446,-7.473,0.151,0.170
-0.010,-0.049,-0.804,-6.911,0.374,0.164
-0.004,-0.044,0.482,-6.188,0.383,0.149
0.002,-0.041,2.089,-5.545,0.263,0.118
0.008,-0.037,3.455,-5.143,0.218,0.102
0.014,-0.033,4.500,-4.741,0.252,0.108
0.019,-0.030,5.545,-4.339,0.248,0.102
0.024,-0.026,6.589,-4.179,0.160,0.140
0.028,-0.022,7.232,-3.777,0.105,0.149
0.031,-0.019,7.473,-3.295,-0.116,0.142
0.036,-0.014,7.473,-2.652,0.173,0.189
0.038,-0.011,7.795,-1.929,0.125,0.109
0.040,-0.007,8.277,-1.527,-0.132,-0.129
0.042,-0.004,8.277,-1.527,-0.134,0.114
0.044,-0.001,8.277,-1.446,-0.138,0.159
0.044,0.002,8.277,-0.964,-0.156,0.373
0.045,0.005,8.277,0.402,-0.163,0.331
0.045,0.007,8.277,2.170,-0.184,0.151
0.044,0.009,8.196,2.973,-0.222,-0.128
0.043,0.010,8.116,3.054,-0.275,0.108
0.040,0.012,7.714,3.214,-0.349,0.165
0.038,0.012,7.152,3.777,-0.325,-0.130
0.034,0.011,6.429,3.777,-0.299,-0.219
0.031,0.009,5.786,3.536,-0.273,-0.269
0.027,0.007,5.223,3.054,-0.261,-0.285
0.024,0.004,4.741,2.330,-0.266,-0.293
0.020,0.001,4.500,1.527,-0.290,-0.494
0.015,-0.002,4.259,-0.080,-0.356,-0.405
0.010,-0.006,3.696,-1.446,-0.373,-0.294
0.005,-0.009,2.812,-2.411,-0.375,-0.258
-0.001,-0.012,1.929,-3.134,-0.580,-0.289
-0.006,-0.015,0.000,-3.696,-0.491,-0.273
-0.015,-0.018,-2.491,-4.500,-0.415,-0.273
-0.021,-0.021,-3.857,-5.062,-0.321,-0.205
-0.026,-0.023,-4.741,-5.223,-0.336,-0.182
-0.032,-0.026,-5.384,-5.304,-0.350,-0.213
-0.037,-0.027,-6.107,-5.384,-0.329,-0.204
-0.042,-0.029,-6.830,-5.464,-0.285,-0.203
-0.046,-0.029,-7.393,-5.545,-0.277,-0.191
-0.050,-0.030,-7.955,-5.545,-0.240,-0.187
-0.054,-0.030,-8.357,-5.545,-0.226,-0.174
-0.057,-0.030,-8.679,-5.545,-0.203,-0.163
-0.059,-0.030,-8.759,-5.545,-0.200,-0.153
-0.060,-0.030,-8.759,-5.545,-0.192,-0.144
-0.060,-0.030,-8.839,-5.545,-0.143,-0.146
-0.060,-0.029,-8.839,-5.545,-0.104,-0.132
-0.059,-0.029,-8.839,-5.545,0.146,-0.137
-0.057,-0.029,-8.518,-5.545,0.193,-0.133
-0.055,-0.028,-8.036,-5.545,0.207,0.108
-0.051,-0.027,-7.473,-5.304,0.228,0.122
-0.048,-0.026,-6.750,-4.982,0.211,0.117
-0.045,-0.024,-5.946,-4.661,0.176,0.108
-0.041,-0.023,-5.223,-4.339,0.164,-0.100
-0.037,-0.021,-4.580,-4.339,0.137,0.123
-0.031,-0.019,-3.938,-4.179,0.210,0.173
-0.027,-0.017,-3.295,-3.777,0.151,0.137
-0.023,-0.016,-2.812,-3.375,0.129,0.102
-0.019,-0.014,-2.571,-3.134,0.156,-0.113
-0.015,-0.013,-2.250,-3.134,0.184,-0.111
-0.011,-0.013,-1.688,-3.134,0.187,-0.120
-0.006,-0.012,-1.045,-3.134,0.415,-0.120
-0.002,-0.012,0.482,-3.134,0.352,-0.112
0.002,-0.011,2.250,-3.134,0.205,-0.102
0.006,-0.011,3.295,-3.134,0.143,-0.113
0.012,-0.011,4.018,-3.134,0.261,-0.119
0.015,-0.011,4.902,-3.134,0.191,-0.123
0.018,-0.011,5.705,-3.134,-0.109,-0.133
0.020,-0.011,5.705,-3.134,-0.123,-0.149
0.021,-0.011,5.705,-3.214,-0.126,-0.134
0.022,-0.011,5.705,-3.214,-0.133,-0.114
0.023,-0.010,5.705,-3.214,-0.148,0.103
0.023,-0.010,5.705,-3.134,-0.190,0.104
0.022,-0.009,5.625,-2.973,-0.248,-0.112
0.020,-0.009,5.304,-2.973,-0.271,-0.115
0.019,-0.009,4.902,-2.973,-0.261,-0.111
0.016,-0.009,4.741,-2.973,-0.324,-0.102
0.014,-0.008,4.580,-2.973,-0.332,0.105
0.012,-0.008,4.420,-2.893,-0.351,-0.100
0.009,-0.008,4.098,-2.893,-0.375,0.110
0.006,-0.007,3.455,-2.812,-0.371,0.103
0.002,-0.007,2.732,-2.652,-0.335,-0.103
-0.002,-0.007,1.929,-2.652,-0.527,-0.112
-0.005,-0.007,0.161,-2.652,-0.413,-0.121
-0.009,-0.007,-1.205,-2.652,-0.286,-0.131
-0.012,-0.007,-1.768,-2.652,-0.286,-0.157
-0.016,-0.008,-2.089,-2.652,-0.348,-0.184
-0.019,-0.009,-2.732,-2.732,-0.390,-0.215
-0.022,-0.011,-4.339,-2.732,-0.298,-0.293
-0.025,-0.013,-4.982,-2.812,-0.181,-0.320
-0.027,-0.014,-4.982,-2.812,-0.186,-0.334
-0.029,-0.016,-4.982,-2.812,-0.209,-0.358
-0.031,-0.017,-4.982,-2.973,-0.223,-0.355
-0.032,-0.018,-5.062,-3.616,-0.233,-0.295
-0.034,-0.019,-5.143,-4.018,-0.250,-0.246
-0.035,-0.021,-5.143,-4.098,-0.269,-0.256
-0.036,-0.022,-5.304,-4.098,-0.268,-0.277
-0.037,-0.023,-5.304,-4.179,-0.268,-0.272
-0.038,-0.024,-5.304,-4.179,-0.279,-0.288
-0.039,-0.025,-5.384,-4.259,-0.275,-0.296
-0.039,-0.025,-5.384,-4.580,-0.262,-0.219
-0.039,-0.025,-5.384,-4.741,-0.252,-0.183
-0.039,-0.024,-5.384,-4.741,-0.251,-0.158
-0.039,-0.023,-5.384,-4.741,-0.238,-0.132
-0.039,-0.022,-5.384,-4.741,-0.240,-0.114
-0.039,-0.022,-5.384,-4.741,-0.251,0.100
-0.039,-0.022,-5.384,-4.580,-0.268,-0.118
-0.040,-0.021,-5.384,-4.661,-0.284,-0.116
-0.040,-0.021,-5.384,-4.661,-0.265,0.104
-0.039,-0.021,-5.384,-4.500,-0.240,0.103
-0.040,-0.021,-5.384,-4.500,-0.262,-0.106
-0.040,-0.021,-5.384,-4.500,-0.261,-0.109
-0.039,-0.021,-5.384,-4.500,-0.253,-0.110
-0.039,-0.021,-5.384,-4.500,-0.258,-0.106
