x,y,angle_x,angle_y,input_x,input_y
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.100,-0.161
0.000,0.000,4.179,1.929,-0.100,-0.161
0.000,0.000,4.179,1.929,-0.100,-0.161
0.000,0.000,4.179,1.929,-0.100,-0.161
0.000,0.000,4.179,1.929,-0.100,-0.161
0.000,0.000,4.179,1.929,-0.100,-0.161
0.000,0.000,4.179,1.929,-0.100,-0.161
0.000,0.000,4.179,1.929,0.100,-0.161
0.000,0.000,4.259,1.929,-0.109,-0.161
0.000,0.000,4.179,1.929,-0.104,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-0.101,-0.161
0.000,0.000,4.179,1.929,-3.699,-0.161
0.000,0.000,-11.893,1.929,-2.865,-0.161
0.000,0.000,-31.098,1.929,-0.246,-0.161
0.000,0.000,-36.884,1.929,1.222,-0.161
0.000,0.000,-32.063,1.929,0.896,-0.161
0.000,0.000,-26.196,1.929,5.741,-0.161
0.000,0.000,-0.161,1.929,4.080,-0.161
0.000,0.000,29.571,1.929,-0.207,-0.161
0.000,0.000,36.804,1.929,-1.989,-0.161
0.000,0.000,29.009,1.929,-1.320,-0.161
0.000,0.000,20.170,1.929,1.834,-0.161
0.000,0.000,25.554,1.929,2.043,-0.161
0.000,0.000,36.563,1.929,0.652,-0.161
0.000,0.000,43.795,1.929,-0.676,-0.161
0.000,0.000,42.991,1.929,-5.430,-0.161
0.000,0.000,14.062,1.929,-3.609,-0.161
0.000,0.000,-8.438,1.929,-0.331,-0.161
0.000,0.000,-16.393,1.929,1.477,-0.161
0.000,0.000,-11.009,1.929,-1.198,-0.161
0.000,0.000,-13.420,1.929,-1.746,-0.161
0.000,0.000,-22.580,1.929,-0.648,-0.161
0.000,0.000,-27.723,1.929,0.392,-0.161
