x,y,angle_x,angle_y,input_x,input_y
-0.031,-0.038,-5.545,-6.188,0.203,0.180
-0.026,-0.033,-4.741,-5.464,0.181,0.168
-0.021,-0.027,-4.018,-4.741,0.166,0.160
-0.016,-0.022,-3.455,-4.179,0.171,0.161
-0.010,-0.018,-2.893,-3.616,0.187,0.164
-0.004,-0.013,-2.330,-2.812,0.206,0.135
0.002,-0.008,-1.607,-2.330,0.213,0.128
0.007,-0.004,-0.723,-1.929,0.428,0.139
0.014,0.000,0.964,-1.446,0.409,0.142
0.020,0.004,3.054,-0.884,0.303,0.356
0.026,0.008,4.821,0.643,0.156,0.333
0.031,0.012,5.625,2.330,-0.100,0.204
0.039,0.016,5.625,4.018,0.193,0.107
0.044,0.019,6.027,4.661,0.233,-0.170
0.048,0.021,6.830,4.500,0.194,-0.162
0.051,0.022,7.634,4.420,0.138,-0.142
0.055,0.023,8.196,4.420,-0.103,-0.130
0.057,0.024,8.277,4.420,0.100,-0.123
0.059,0.024,8.357,4.420,0.115,-0.120
0.061,0.024,8.679,4.420,-0.103,-0.124
0.062,0.024,8.679,4.420,-0.101,-0.135
0.063,0.023,8.679,4.420,0.109,-0.148
0.062,0.022,8.839,4.420,-0.114,-0.171
0.061,0.020,8.839,4.420,-0.155,-0.216
0.059,0.018,8.759,4.339,-0.186,-0.253
0.057,0.016,8.759,4.259,-0.227,-0.294
0.055,0.013,8.679,3.857,-0.274,-0.290
0.051,0.011,8.438,3.295,-0.319,-0.261
0.048,0.007,7.875,2.893,-0.321,-0.248
0.043,0.004,7.312,2.571,-0.309,-0.252
0.038,0.001,6.589,2.170,-0.290,-0.251
0.033,-0.003,5.946,1.848,-0.283,-0.261
0.028,-0.006,5.464,1.446,-0.296,-0.505
0.019,-0.012,4.420,-0.884,-0.309,-0.419
0.012,-0.017,3.938,-2.491,-0.328,-0.313
0.005,-0.021,3.375,-3.455,-0.355,-0.247
-0.001,-0.025,2.652,-4.018,-0.367,-0.225
-0.008,-0.029,1.768,-4.420,-0.590,-0.229
-0.016,-0.033,-0.241,-4.821,-0.558,-0.239
-0.023,-0.038,-2.250,-5.223,-0.465,-0.248
-0.030,-0.042,-4.098,-5.625,-0.332,-0.255
-0.037,-0.045,-5.143,-6.107,-0.272,-0.241
-0.044,-0.048,-5.625,-6.348,-0.294,-0.245
-0.050,-0.050,-6.027,-6.670,-0.331,-0.242
-0.055,-0.052,-6.589,-6.911,-0.338,-0.236
-0.061,-0.054,-7.875,-7.312,-0.271,-0.213
-0.064,-0.054,-8.518,-7.554,-0.206,-0.181
-0.065,-0.054,-8.759,-7.554,-0.182,-0.164
-0.066,-0.052,-8.759,-7.554,-0.182,-0.139
-0.065,-0.050,-8.759,-7.554,-0.177,0.107
-0.064,-0.046,-8.759,-7.393,-0.155,0.158
-0.062,-0.042,-8.759,-7.232,-0.119,0.223
-0.060,-0.036,-8.759,-6.429,0.128,0.238
